seqnames	i	seqid	accession	matchnums_seqids_to_bigdf	Entry	Entry Name	Gene Names	Protein names	Organism	Organism (ID)	Reviewed	RefSeq	CDD	Pfam	Gene encoded by	Length	Mass	matchnums_seqids_to_bigdf	Entry	PDBsum	matchnums_seqids_to_bigdf	Entry	PDB	matchnums_seqids_to_bigdf	Entry	AlphaFoldDB	counts_identical_proteins	seqids_wGenBank_codes_txt	seqids_wGenBank_codes_counts
AAR33363_Pseudomonadota_Geobacter_sulfurreducens	11	AAR33363	Q74H64	165	Q74H64	Q74H64_GEOSL	GSU0028	Biopolymer transport membrane proton channel, TolQ-related protein	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	243231	unreviewed	NP_951090.1;WP_010940706.1;		PF01618;		225	24518	165	Q74H64	Q74H64	165	Q74H64	Q74H64	165	Q74H64	Q74H64;	13	WP_010940706.1	1
AAR36419_Pseudomonadota_Geobacter_sulfurreducens	12	AAR36419	Q748H5	164	Q748H5	Q748H5_GEOSL	motA GSU3027	Flagellar basal body stator protein MotA	Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA)	243231	unreviewed	NP_954069.1;WP_010943654.1;		PF01618;PF20560;		254	26957	164	Q748H5	Q748H5	164	Q748H5	Q748H5	164	Q748H5	Q748H5;	11	WP_010943654.1	1
ABA03969_Pseudomonadota_Nitrobacter_winogradskyi	13	ABA03969	Q3SUS2	25	Q3SUS2	Q3SUS2_NITWN	Nwi_0703	Biopolymer transport protein ExbB	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed			PF01618;		400	39847	25	Q3SUS2	Q3SUS2	25	Q3SUS2	Q3SUS2	25	Q3SUS2	Q3SUS2;	1		0
ABA04498_Pseudomonadota_Nitrobacter_winogradskyi	14	ABA04498	Q3ST93	163	Q3ST93	Q3ST93_NITWN	Nwi_1236	MotA/TolQ/ExbB proton channel	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed	WP_011314527.1;		PF01618;		257	28161	163	Q3ST93	Q3ST93	163	Q3ST93	Q3ST93	163	Q3ST93	Q3ST93;	2	WP_011314527.1	1
ABA04528_Pseudomonadota_Nitrobacter_winogradskyi	15	ABA04528	Q3ST63	24	Q3ST63	Q3ST63_NITWN	Nwi_1267	Biopolymer transport protein ExbB	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed			PF01618;		318	32594	24	Q3ST63	Q3ST63	24	Q3ST63	Q3ST63	24	Q3ST63	Q3ST63;	1		0
ABA05299_Pseudomonadota_Nitrobacter_winogradskyi	16	ABA05299	Q3SQZ2	23	Q3SQZ2	Q3SQZ2_NITWN	Nwi_2040	Biopolymer transport protein ExbB	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed			PF01618;		421	42617	23	Q3SQZ2	Q3SQZ2	23	Q3SQZ2	Q3SQZ2	23	Q3SQZ2	Q3SQZ2;	1		0
ABA05559_Pseudomonadota_Nitrobacter_winogradskyi	17	ABA05559	Q3SQ82	22	Q3SQ82	Q3SQ82_NITWN	Nwi_2305	Biopolymer transport protein ExbB	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed			PF01618;		320	32978	22	Q3SQ82	Q3SQ82	22	Q3SQ82	Q3SQ82	22	Q3SQ82	Q3SQ82;	1		0
ABA05973_Pseudomonadota_Nitrobacter_winogradskyi	18	ABA05973	Q3SP18	21	Q3SP18	Q3SP18_NITWN	tolQ Nwi_2720	Tol-Pal system protein TolQ	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	323098	unreviewed	WP_011315919.1;		PF01618;		237	26015	21	Q3SP18	Q3SP18	21	Q3SP18	Q3SP18	21	Q3SP18	Q3SP18;	6	WP_011315919.1	1
ABC76751_Pseudomonadota_Syntrophus_aciditrophicus	19	ABC76751	Q2LRP2	161	Q2LRP2	Q2LRP2_SYNAS	SYN_00185	TolQ protein	Syntrophus aciditrophicus (strain SB)	56780	unreviewed			PF01618;		248	26624	161	Q2LRP2	Q2LRP2	161	Q2LRP2	Q2LRP2	161	Q2LRP2	Q2LRP2;	2	WP_011416784.1	1
ABC77078_Pseudomonadota_Syntrophus_aciditrophicus	20	ABC77078	Q2LSL8	162	Q2LSL8	Q2LSL8_SYNAS	SYN_00959	Chemotaxis protein	Syntrophus aciditrophicus (strain SB)	56780	unreviewed			PF01618;PF20560;		303	32508	162	Q2LSL8	Q2LSL8	162	Q2LSL8	Q2LSL8	162	Q2LSL8	Q2LSL8;	1		0
ABF85904_Pseudomonadota_Myxococcus_xanthus	21	ABF85904	Q1DE42	159	Q1DE42	Q1DE42_MYXXD	MXAN_0818	MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011550941.1;		PF01618;		226	23977	159	Q1DE42	Q1DE42	159	Q1DE42	Q1DE42	159	Q1DE42	Q1DE42;	19	WP_011550941.1	1
ABF87376_Pseudomonadota_Myxococcus_xanthus	22	ABF87376	Q1D811	157	Q1D811	Q1D811_MYXXD	MXAN_3003	MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK1622)	246197	unreviewed			PF01618;		260	27750	157	Q1D811	Q1D811	157	Q1D811	Q1D811	157	Q1D811	Q1D811;	10		0
ABF90492_Pseudomonadota_Myxococcus_xanthus	23	ABF90492	Q1CYB8	154	Q1CYB8	Q1CYB8_MYXXD	MXAN_6483	MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011556413.1;		PF01618;		240	25495	154	Q1CYB8	Q1CYB8	154	Q1CYB8	Q1CYB8	154	Q1CYB8	Q1CYB8;	11	WP_011556413.1	1
ABF90777_Pseudomonadota_Myxococcus_xanthus	24	ABF90777	Q1CX94	153	Q1CX94	Q1CX94_MYXXD	MXAN_6862	MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011556787.1;		PF01618;		245	25938	153	Q1CX94	Q1CX94	153	Q1CX94	Q1CX94	153	Q1CX94	Q1CX94;	17	WP_011556787.1	1
ABF91342_Pseudomonadota_Myxococcus_xanthus	25	ABF91342	Q1D3D8	156	Q1D3D8	Q1D3D8_MYXXD	MXAN_4669	MotA/TolQ/ExbB proton channel family protein	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011554661.1;		PF01618;		240	25460	156	Q1D3D8	Q1D3D8	156	Q1D3D8	Q1D3D8	156	Q1D3D8	Q1D3D8;	11	WP_011554661.1	1
ABF91581_Pseudomonadota_Myxococcus_xanthus	26	ABF91581	Q1D0D3	155	Q1D0D3	Q1D0D3_MYXXD	MXAN_5753	Transporter, MotA/TolQ/ExbB proton channel family	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011555704.1;		PF01618;		236	25157	155	Q1D0D3	Q1D0D3	155	Q1D0D3	Q1D0D3	155	Q1D0D3	Q1D0D3;	29	WP_011555704.1	1
ABF92363_Pseudomonadota_Myxococcus_xanthus	27	ABF92363	Q1DCB8	158	Q1DCB8	Q1DCB8_MYXXD	MXAN_1448	Transporter, MotA/TolQ/ExbB proton channel family	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011551564.1;		PF01618;		227	23843	158	Q1DCB8	Q1DCB8	158	Q1DCB8	Q1DCB8	158	Q1DCB8	Q1DCB8;	13	WP_011551564.1	1
ABF92421_Pseudomonadota_Myxococcus_xanthus	28	ABF92421	Q1DFL7	160	Q1DFL7	Q1DFL7_MYXXD	MXAN_0275	TonB system transport protein ExbB/TolQ	Myxococcus xanthus (strain DK1622)	246197	unreviewed	WP_011550420.1;		PF01618;		250	26512	160	Q1DFL7	Q1DFL7	160	Q1DFL7	Q1DFL7	160	Q1DFL7	Q1DFL7;	17	WP_011550420.1	1
ABG59284_Bacteroidota_Cytophaga_hutchinsonii	29	ABG59284	A0A6N4SS77	61	A0A6N4SS77	A0A6N4SS77_CYTH3	exbB CHU_2018	Outer membrane transport energization protein ExbB	Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465)	269798	unreviewed	WP_011585401.1;		PF01618;		275	29286	61	A0A6N4SS77	A0A6N4SS77	61	A0A6N4SS77	A0A6N4SS77	61	A0A6N4SS77	A0A6N4SS77;	3	WP_011585401.1	1
ABG60812_Bacteroidota_Cytophaga_hutchinsonii	30	ABG60812	A0A6N4SWT3	62	A0A6N4SWT3	A0A6N4SWT3_CYTH3	exbB CHU_3579	Outer membrane transport energization protein ExbB	Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465)	269798	unreviewed	WP_011586919.1;		PF01618;		234	25246	62	A0A6N4SWT3	A0A6N4SWT3	62	A0A6N4SWT3	A0A6N4SWT3	62	A0A6N4SWT3	A0A6N4SWT3;	3	WP_011586919.1	1
ABL64659_Chlorobi_Chlorobium_phaeobacteroides	31	ABL64659	A1BE32	63	A1BE32	A1BE32_CHLPD	Cpha266_0603	Outer membrane transport energization protein ExbB	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	290317	unreviewed	WP_011744492.1;		PF01618;		248	26927	63	A1BE32	A1BE32	63	A1BE32	A1BE32	63	A1BE32	A1BE32;	3	WP_011744492.1	1
ABL64907_Chlorobi_Chlorobium_phaeobacteroides	32	ABL64907	A1BET0	64	A1BET0	A1BET0_CHLPD	Cpha266_0856	Cell division and transport-associated protein TolQ	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	290317	unreviewed	WP_011744735.1;		PF01618;		225	24686	64	A1BET0	A1BET0	64	A1BET0	A1BET0	64	A1BET0	A1BET0;	3	WP_011744735.1	1
ABQ60495_Pseudomonadota_Brucella_ovis	33	ABQ60495	A0A0H3AQG5	6	A0A0H3AQG5	A0A0H3AQG5_BRUO2	BOV_1612	Biopolymer transport protein ExbB	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	444178	unreviewed			PF01618;		310	31807	6	A0A0H3AQG5	A0A0H3AQG5	6	A0A0H3AQG5	A0A0H3AQG5	6	A0A0H3AQG5	A0A0H3AQG5;	1		0
ABQ61581_Pseudomonadota_Brucella_ovis	34	ABQ61581	A0A0H3ASY9	7	A0A0H3ASY9	A0A0H3ASY9_BRUO2	tolQ BOV_1642	Tol-Pal system protein TolQ	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	444178	unreviewed	WP_006013602.1;		PF01618;		236	25465	7	A0A0H3ASY9	A0A0H3ASY9	7	A0A0H3ASY9	A0A0H3ASY9	7	A0A0H3ASY9	A0A0H3ASY9;	18	WP_006013602.1	1
ABQ62189_Pseudomonadota_Brucella_ovis	35	ABQ62189	A0A0H3ASX5	43	A0A0H3ASX5	A0A0H3ASX5_BRUO2	motA BOV_A0117	Chemotaxis motA protein	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512)	444178	unreviewed			PF01618;PF20560;		339	37354	43	A0A0H3ASX5	A0A0H3ASX5	43	A0A0H3ASX5	A0A0H3ASX5	43	A0A0H3ASX5	A0A0H3ASX5;	1		0
ABY95376_Bacillota_Thermoanaerobacter_pseudethanolicus	36	ABY95376	B0KBT1	65	B0KBT1	B0KBT1_THEP3	Teth39_1739	MotA/TolQ/ExbB proton channel	Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) (Clostridium thermohydrosulfuricum)	340099	unreviewed			PF01618;PF20560;		272	29404	65	B0KBT1	B0KBT1	65	B0KBT1	B0KBT1	65	B0KBT1	B0KBT1;	2		0
ACB73533_Verrucomicrobia_Opitutus_terrae	37	ACB73533	B1ZPC8	66	B1ZPC8	B1ZPC8_OPITP	Oter_0242	MotA/TolQ/ExbB proton channel	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	452637	unreviewed	WP_012373071.1;		PF01618;		218	23602	66	B1ZPC8	B1ZPC8	66	B1ZPC8	B1ZPC8	66	B1ZPC8	B1ZPC8;	2	WP_012373071.1	1
ACB73691_Verrucomicrobia_Opitutus_terrae	38	ACB73691	B1ZR24	68	B1ZR24	B1ZR24_OPITP	Oter_0401	MotA/TolQ/ExbB proton channel	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	452637	unreviewed	WP_012373229.1;		PF01618;PF20560;		287	30603	68	B1ZR24	B1ZR24	68	B1ZR24	B1ZR24	68	B1ZR24	B1ZR24;	2	WP_012373229.1	1
ACB75629_Verrucomicrobia_Opitutus_terrae	39	ACB75629	B1ZQM0	67	B1ZQM0	B1ZQM0_OPITP	Oter_2347	MotA/TolQ/ExbB proton channel	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	452637	unreviewed			PF01618;		221	23784	67	B1ZQM0	B1ZQM0	67	B1ZQM0	B1ZQM0	67	B1ZQM0	B1ZQM0;	1		0
ACB76604_Verrucomicrobia_Opitutus_terrae	40	ACB76604	B1ZU38	69	B1ZU38	B1ZU38_OPITP	Oter_3325	MotA/TolQ/ExbB proton channel	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	452637	unreviewed	WP_012376133.1;		PF01618;		234	25558	69	B1ZU38	B1ZU38	69	B1ZU38	B1ZU38	69	B1ZU38	B1ZU38;	2	WP_012376133.1	1
ACB77180_Verrucomicrobia_Opitutus_terrae	41	ACB77180	B1ZZA8	70	B1ZZA8	B1ZZA8_OPITP	Oter_3906	MotA/TolQ/ExbB proton channel	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	452637	unreviewed	WP_012376709.1;		PF01618;		196	21091	70	B1ZZA8	B1ZZA8	70	B1ZZA8	B1ZZA8	70	B1ZZA8	B1ZZA8;	2	WP_012376709.1	1
ACD89825_Chlorobi_Chlorobium_limicola	42	ACD89825	B3EHP5	72	B3EHP5	B3EHP5_CHLL2	Clim_0744	Protein TolQ	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	290315	unreviewed	WP_012465705.1;		PF01618;		225	24478	72	B3EHP5	B3EHP5	72	B3EHP5	B3EHP5	72	B3EHP5	B3EHP5;	4	WP_012465705.1	1
ACD90995_Chlorobi_Chlorobium_limicola	43	ACD90995	B3EFN3	71	B3EFN3	B3EFN3_CHLL2	Clim_1963	MotA/TolQ/ExbB proton channel	Chlorobium limicola (strain DSM 245 / NBRC 103803 / 6330)	290315	unreviewed	WP_012466864.1;		PF01618;		248	26837	71	B3EFN3	B3EFN3	71	B3EFN3	B3EFN3	71	B3EFN3	B3EFN3;	4	WP_012466864.1	1
ACF11057_Chlorobi_Chlorobaculum_parvum	44	ACF11057	B3QMA4	73	B3QMA4	B3QMA4_CHLP8	Cpar_0637	Protein TolQ	Chlorobaculum parvum (strain DSM 263 / NCIMB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum)	517417	unreviewed	WP_012501890.1;		PF01618;		220	24209	73	B3QMA4	B3QMA4	73	B3QMA4	B3QMA4	73	B3QMA4	B3QMA4;	2	WP_012501890.1	1
ACF11913_Chlorobi_Chlorobaculum_parvum	45	ACF11913	B3QPR0	74	B3QPR0	B3QPR0_CHLP8	Cpar_1515	MotA/TolQ/ExbB proton channel	Chlorobaculum parvum (strain DSM 263 / NCIMB 8327) (Chlorobium vibrioforme subsp. thiosulfatophilum)	517417	unreviewed	WP_012502746.1;		PF01618;		249	26827	74	B3QPR0	B3QPR0	74	B3QPR0	B3QPR0	74	B3QPR0	B3QPR0;	2	WP_012502746.1	1
ACF14374_Chlorobi_Chloroherpeton_thalassium	46	ACF14374	B3QUC5	75	B3QUC5	B3QUC5_CHLT3	Ctha_1920	MotA/TolQ/ExbB proton channel	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	517418	unreviewed	WP_012500458.1;		PF01618;		258	28014	75	B3QUC5	B3QUC5	75	B3QUC5	B3QUC5	75	B3QUC5	B3QUC5;	2	WP_012500458.1	1
ACF14782_Chlorobi_Chloroherpeton_thalassium	47	ACF14782	B3QWM2	76	B3QWM2	B3QWM2_CHLT3	Ctha_2332	MotA/TolQ/ExbB proton channel	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	517418	unreviewed	WP_012500864.1;		PF01618;		250	27398	76	B3QWM2	B3QWM2	76	B3QWM2	B3QWM2	76	B3QWM2	B3QWM2;	2	WP_012500864.1	1
ACF43024_Chlorobi_Pelodictyon_phaeoclathratiforme	48	ACF43024	B4SE33	78	B4SE33	B4SE33_PELPB	Ppha_0729	MotA/TolQ/ExbB proton channel	Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1)	324925	unreviewed	WP_012507519.1;		PF01618;		248	26901	78	B4SE33	B4SE33	78	B4SE33	B4SE33	78	B4SE33	B4SE33;	3	WP_012507519.1	1
ACF44367_Chlorobi_Pelodictyon_phaeoclathratiforme	49	ACF44367	B4SDJ9	77	B4SDJ9	B4SDJ9_PELPB	Ppha_2164	Protein TolQ	Pelodictyon phaeoclathratiforme (strain DSM 5477 / BU-1)	324925	unreviewed	WP_012508844.1;		PF01618;		219	24144	77	B4SDJ9	B4SDJ9	77	B4SDJ9	B4SDJ9	77	B4SDJ9	B4SDJ9;	3	WP_012508844.1	1
ACI21187_Nitrospirae_Thermodesulfovibrio_yellowstonii	50	ACI21187	B5YK92	80	B5YK92	B5YK92_THEYD	THEYE_A0816	Chemotaxis MotA protein	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	289376	unreviewed	WP_012545908.1;YP_002248657.1;		PF01618;PF20560;		253	27464	80	B5YK92	B5YK92	80	B5YK92	B5YK92	80	B5YK92	B5YK92;	4	WP_012545908.1	1
ACI21445_Nitrospirae_Thermodesulfovibrio_yellowstonii	51	ACI21445	B5YK89	79	B5YK89	B5YK89_THEYD	THEYE_A0813	Lateral flagellar motor protein MotA	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	289376	unreviewed	WP_012546161.1;YP_002248654.1;		PF01618;PF20560;		288	31067	79	B5YK89	B5YK89	79	B5YK89	B5YK89	79	B5YK89	B5YK89;	4	WP_012546161.1	1
ACI22061_Nitrospirae_Thermodesulfovibrio_yellowstonii	52	ACI22061	B5YKM7	81	B5YKM7	B5YKM7_THEYD	THEYE_A0959	TolQ protein	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	289376	unreviewed	YP_002248792.1;		PF01618;		209	23272	81	B5YKM7	B5YKM7	81	B5YKM7	B5YKM7	81	B5YKM7	B5YKM7;	2		0
ACL22206_Bacillota_Desulfitobacterium_hafniense	53	ACL22206	B8FTW4	82	B8FTW4	B8FTW4_DESHD	Dhaf_4199	MotA/TolQ/ExbB proton channel	Desulfitobacterium hafniense (strain DSM 10664 / DCB-2)	272564	unreviewed	WP_015945101.1;		PF01618;PF20560;		257	27949	82	B8FTW4	B8FTW4	82	B8FTW4	B8FTW4	82	B8FTW4	B8FTW4;	2	WP_015945101.1	1
ACL63649_Pseudomonadota_Anaeromyxobacter_dehalogenans	54	ACL63649	B8J9U6	84	B8J9U6	B8J9U6_ANAD2	A2cp1_0290	MotA/TolQ/ExbB proton channel	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed	WP_012524356.1;		PF01618;		252	26786	84	B8J9U6	B8J9U6	84	B8J9U6	B8J9U6	84	B8J9U6	B8J9U6;	3	WP_012524356.1	1
ACL64052_Pseudomonadota_Anaeromyxobacter_dehalogenans	55	ACL64052	B8JD24	88	B8JD24	B8JD24_ANAD2	A2cp1_0697	Protein TolQ	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed			PF01618;		257	27667	88	B8JD24	B8JD24	88	B8JD24	B8JD24	88	B8JD24	B8JD24;	2		0
ACL64950_Pseudomonadota_Anaeromyxobacter_dehalogenans	56	ACL64950	B8J595	83	B8J595	B8J595_ANAD2	A2cp1_1606	MotA/TolQ/ExbB proton channel	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed	WP_012632880.1;		PF01618;		221	23055	83	B8J595	B8J595	83	B8J595	B8J595	83	B8J595	B8J595;	2	WP_012632880.1	1
ACL65905_Pseudomonadota_Anaeromyxobacter_dehalogenans	57	ACL65905	B8JCG5	86	B8JCG5	B8JCG5_ANAD2	A2cp1_2568	MotA/TolQ/ExbB proton channel	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed	WP_012633693.1;		PF01618;PF20560;		261	27373	86	B8JCG5	B8JCG5	86	B8JCG5	B8JCG5	86	B8JCG5	B8JCG5;	2	WP_012633693.1	1
ACL67494_Pseudomonadota_Anaeromyxobacter_dehalogenans	58	ACL67494	B8JAJ5	85	B8JAJ5	B8JAJ5_ANAD2	A2cp1_4177	MotA/TolQ/ExbB proton channel	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed	WP_012528106.1;		PF01618;		233	24172	85	B8JAJ5	B8JAJ5	85	B8JAJ5	B8JAJ5	85	B8JAJ5	B8JAJ5;	3	WP_012528106.1	1
ACL67782_Pseudomonadota_Anaeromyxobacter_dehalogenans	59	ACL67782	B8JCR2	87	B8JCR2	B8JCR2_ANAD2	A2cp1_4465	MotA/TolQ/ExbB proton channel	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	455488	unreviewed	WP_011423355.1;		PF01618;		224	23769	87	B8JCR2	B8JCR2	87	B8JCR2	B8JCR2	87	B8JCR2	B8JCR2;	5	WP_011423355.1	1
