"i"	"protID"	"spname"	"group"	"assembly"	"symM3"	"symM2"	"symM1"	"sym0"	"sym1"	"sym2"	"sym3"	"strandM3"	"strandM2"	"strandM1"	"strand0"	"strand1"	"strand2"	"strand3"	"accM3"	"accM2"	"accM1"	"acc0"	"acc1"	"acc2"	"acc3"	"nameM3"	"nameM2"	"nameM1"	"name0"	"name1"	"name2"	"name3"	"prot_feature_tables_all_fn"
"11"	"11"	"ABF90777.1"	"Myxococcus_xanthus_DK_1622"	"Delta-proteo"	"GCA_000012685.1"	""	"msrBA"	""	""	""	"aglS"	"gph"	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"ABF88730.1"	"ABF92291.1"	"ABF89935.1"	"ABF90777.1"	"ABF88330.1"	"ABF86057.1"	"ABF87798.1"	"sensory box histidine kinase"	"methionine-R-sulfoxide reductase/methionine-S-sulfoxide reductase"	"general secretion protein E N-terminal domain protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transport protein, ExbD/TolR family"	"adventurous gliding motility protein AglS"	"phosphoglycolate phosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"12"	"12"	"AFE07995.1"	"Corallococcus_coralloides_DSM_2259"	"Delta-proteo"	"GCA_000255295.1"	"fixL3"	"atoS10"	"gspE3"	"aglR2"	""	"aglS"	"gph"	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"AFE08787.1"	"AFE08138.1"	"AFE08993.1"	"AFE07995.1"	"AFE07538.1"	"AFE07996.1"	"AFE08962.1"	"sensory box histidine kinase"	"sensory box histidine kinase"	"general secretion pathway protein E"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer ExbD/TolR family transporter"	"adventurous gliding motility protein AglS"	"phosphoglycolate phosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"13"	"13"	"ADO68798.1"	"Stigmatella_aurantiaca_DW4-3-1"	"Delta-proteo"	"GCA_000165485.1"	""	""	"gspE"	""	""	"aglS"	"gph"	"+"	"-"	"-"	"+"	"+"	"+"	"+"	"ADO68795.1"	"ADO68796.1"	"ADO68797.1"	"ADO68798.1"	"ADO68799.1"	"ADO68800.1"	"ADO68801.1"	"Sensor protein"	"uncharacterized protein"	"General secretion protein E"	"MotA/TolQ/ExbB proton channel family protein"	"Biopolymer transport protein, ExbD/TolR family"	"Adventurous gliding motility protein AglS"	"Phosphoglycolate phosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"14"	"14"	"ACL67782.1"	"Anaeromyxobacter_dehalogenans_2CP-1"	"Delta-proteo"	"GCA_000022145.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"ACL67785.1"	"ACL67784.1"	"ACL67783.1"	"ACL67782.1"	"ACL67781.1"	"ACL67780.1"	"ACL67779.1"	"protein of unknown function DUF111"	"PAS/PAC sensor signal transduction histidine kinase"	"conserved hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"Inorganic diphosphatase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"15"	"15"	"AUX22205.1"	"Sorangium_cellulosum_So_ceGT47"	"Delta-proteo"	"GCA_004135735.1"	""	""	"motA"	"motA"	""	""	""	"-"	"-"	"-"	"+"	"+"	"+"	"+"	"AUX22202.1"	"AUX22203.1"	"AUX22204.1"	"AUX22205.1"	"AUX22206.1"	"AUX22207.1"	"AUX22208.1"	"adventurous gliding motility protein"	"TolR-like protein"	"flagellar motor protein MotA"	"flagellar motor protein MotA"	"biopolymer transporter"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"16"	"16"	"AHZ86892.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AHZ86889.1"	"AHZ86890.1"	"AHZ86891.1"	"AHZ86892.1"	"AHZ86893.1"	"AHZ86894.1"	"AHZ86895.1"	"adventurous gliding motility protein T"	"hypothetical protein"	"hypothetical protein"	"adventurous gliding motility protein R"	"tolR protein"	"adventurous gliding motility protein S"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"17"	"17"	"AHZ86042.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AHZ86045.1"	"AHZ86044.1"	"AHZ86043.1"	"AHZ86042.1"	"AHZ86041.1"	"AHZ86040.1"	"AHZ86039.1"	"ribonuclease R"	"ubiquinone biosynthesis protein"	"hypothetical protein"	"gliding motility protein"	"adventurous gliding motility protein V"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"18"	"18"	"AHZ84904.1"	"Bdellovibrio_bacteriovorus_HD100"	"Bdellovibrionota"	"GCA_000691605.1"	""	""	""	""	""	""	""	"-"	"+"	"+"	"-"	"-"	"-"	"-"	"AHZ84907.1"	"AHZ84906.1"	"AHZ84905.1"	"AHZ84904.1"	"AHZ84903.1"	"AHZ84902.1"	"AHZ84901.1"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"gliding motility protein"	"hypothetical protein"	"adventurous gliding motility protein S"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"19"	"19"	"MBU2986144.1"	"Saccharophagus_degradans_E3M17"	"Gamma-proteo"	"GCA_018860445.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"MBU2986141.1"	"MBU2986142.1"	"MBU2986143.1"	"MBU2986144.1"	"MBU2986145.1"	"MBU2986146.1"	"MBU2986147.1"	"tetratricopeptide repeat protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"AgmX/PglI C-terminal domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"20"	"20"	"ABD82818.1"	"Saccharophagus_degradans_2-40"	"Gamma-proteo"	"GCA_000013665.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ABD82821.1"	"ABD82820.1"	"ABD82819.1"	"ABD82818.1"	"ABD82817.1"	"ABD82816.1"	"ABD82815.1"	"Tetratricopeptide region"	"TPR repeat"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"conserved hypothetical protein"	"biopolymer transport protein"	"conserved hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"21"	"21"	"QEI20720.1"	"Cellvibrio_japonicus_ADPT1-KOJIBIOSE"	"Gamma-proteo"	"GCA_008120875.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QEI21449.1"	"QEI20721.1"	""	"QEI20720.1"	"QEI20719.1"	"QEI20718.1"	"QEI20717.1"	"tetratricopeptide repeat protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"energy transducer TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"22"	"22"	"MBU2985168.1"	"Saccharophagus_degradans_E3M17"	"Gamma-proteo"	"GCA_018860445.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"MBU2985165.1"	"MBU2985166.1"	"MBU2985167.1"	"MBU2985168.1"	"MBU2985169.1"	"MBU2985170.1"	"MBU2985171.1"	"tetratricopeptide repeat protein"	"tetratricopeptide repeat protein"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"biopolymer transporter ExbD"	"AgmX/PglI C-terminal domain-containing protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"23"	"23"	"ABD82214.1"	"Saccharophagus_degradans_2-40"	"Gamma-proteo"	"GCA_000013665.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ABD82217.1"	"ABD82216.1"	"ABD82215.1"	"ABD82214.1"	"ABD82213.1"	"ABD82212.1"	"ABD82211.1"	"Tetratricopeptide TPR_2"	"TPR repeat"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"conserved hypothetical protein"	"biopolymer transport protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"24"	"24"	"QAT17178.1"	"Velamenicoccus_archaeovorus_LiM"	"Omnitrophica"	"GCA_004102945.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"QAT17180.1"	"QAT18026.1"	"QAT17179.1"	"QAT17178.1"	"QAT17177.1"	"QAT17176.1"	"QAT17175.1"	"hypothetical protein"	"excinuclease ABC subunit A"	"hypothetical protein"	"hypothetical protein"	"biopolymer transport protein ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"25"	"25"	"QJE97381.1"	"Luteolibacter_luteus_G-1-1-1"	"Verrucomicrobia"	"GCA_012913485.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"QJE97378.1"	"QJE97379.1"	"QJE97380.1"	"QJE97381.1"	"QJE97382.1"	"QJE97383.1"	"QJE97384.1"	"glutamine--tRNA ligase/YqeY domain fusion protein"	"prolyl oligopeptidase family serine peptidase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"26"	"26"	"SEH96646.1"	"Akkermansia_glycaniphila_isolate_APytT_NA"	"Verrucomicrobia"	"GCA_900097105.1"	""	""	""	NA	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"SEH96682.1"	"SEH96669.1"	"SEH96659.1"	"SEH96646.1"	"SEH96632.1"	"SEH96621.1"	"SEH96610.1"	"protein of unknown function (duf1311)"	"rna polymerase sigma factor region 2"	"sers: serine--trna ligase"	"mota/tolq/exbb proton channel family"	"Hypothetical protein"	"Hypothetical protein"	"rubredoxin-type fold"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"27"	"27"	"ALJ56692.1"	"Xiphinematobacter_sp_Idaho_Grape_NA"	"Verrucomicrobia"	"GCA_001318295.1"	"ubiA"	"hisI"	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"ALJ56695.1"	"ALJ56694.1"	"ALJ56693.1"	"ALJ56692.1"	"ALJ56691.1"	"ALJ56690.1"	"ALJ56689.1"	"4-hydroxybenzoate octaprenyltransferase"	"Phosphoribosyl-AMP cyclohydrolase"	"hypothetical protein"	"colicin uptake protein TolQ"	"hypothetical protein"	"hypothetical protein"	"putative oxidoreductase"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"28"	"28"	"DGBBEKCF_01621"	"Verrucomicrobium_sp_I3b_bin-317"	"Verrucomicrobia"	"PRJEB38681_Verrucomicrobium_sp_CAISZB01"	"efp"	"kdsD"	""	"tolQ_6"	""	"rsmI"	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"DGBBEKCF_01618"	"DGBBEKCF_01619"	"DGBBEKCF_01620"	"DGBBEKCF_01621"	"DGBBEKCF_01622"	"DGBBEKCF_01623"	"DGBBEKCF_01624"	"Elongation factor P"	"Arabinose 5-phosphate isomerase KdsD"	"hypothetical protein"	"Tol-Pal system protein TolQ"	"hypothetical protein"	"Ribosomal RNA small subunit methyltransferase I"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"29"	"29"	"QSR84174.1"	"Methylacidimicrobium_sp_B4_NA"	"Verrucomicrobia"	"GCA_017310545.1"	""	"rsmI"	""	""	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	""	"QSR85840.1"	"QSR85841.1"	"QSR84174.1"	"QSR84173.1"	"QSR84172.1"	"QSR84171.1"	"tRNA-Leu"	"16S rRNA (cytidine(1402)-2'-O)-methyltransferase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel family protein"	"biopolymer transporter ExbD"	"hypothetical protein"	"GuaB3 family IMP dehydrogenase-related protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"30"	"30"	"AWI08418.1"	"Ereboglobus_luteus_Ho45"	"Verrucomicrobia"	"GCA_003096195.1"	"hisN"	""	""	""	""	""	""	"-"	"+"	"-"	"+"	"+"	"+"	"+"	"AWI10485.1"	"AWI08416.1"	"AWI08417.1"	"AWI08418.1"	"AWI08419.1"	"AWI08420.1"	"AWI08421.1"	"histidinol-phosphatase"	"hypothetical protein"	"ABC transporter ATP-binding protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"31"	"31"	"ATC63405.1"	"Nibricoccus_aquaticus_HZ-65"	"Verrucomicrobia"	"GCA_002310495.1"	""	"aspA"	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ATC66002.1"	"ATC63407.1"	"ATC63406.1"	"ATC63405.1"	"ATC63404.1"	"ATC63403.1"	""	"oxidoreductase"	"aspartate ammonia-lyase"	"hypothetical protein"	"flagellar motor protein MotA"	"hypothetical protein"	"hypothetical protein"	"tRNA-Thr"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"32"	"32"	"ACB73533.1"	"Opitutus_terrae_PB90-1"	"Verrucomicrobia"	"GCA_000019965.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"ACB73536.1"	"ACB73535.1"	"ACB73534.1"	"ACB73533.1"	"ACB73532.1"	"ACB73531.1"	""	"peptidase M48 Ste24p"	"LemA family protein"	"Tetratricopeptide TPR_4"	"MotA/TolQ/ExbB proton channel"	"hypothetical protein"	"hypothetical protein"	"tRNA-Thr"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"33"	"33"	"AKJ65567.1"	"Kiritimatiella_glycovorans_L21-Fru-AB"	"Kiritimatiellaeota"	"GCA_001017655.1"	"rsmD"	"uvrA"	""	"exbB_8"	""	""	""	"+"	"-"	"-"	"-"	"-"	"-"	"-"	"AKJ65570.1"	"AKJ65569.1"	"AKJ65568.1"	"AKJ65567.1"	"AKJ65566.1"	"AKJ65565.1"	"AKJ65564.1"	"Ribosomal RNA small subunit methyltransferase D"	"Excinuclease ABC subunit A"	"Outer membrane assembly lipoprotein"	"Biopolymer transport protein ExbB"	"protein TolR"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"34"	"34"	"AVM45415.1"	"Victivallales_Victivallales_CCUG_44730"	"Lentisphaerae"	"GCA_002998355.1"	"gyrB"	"recA"	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"AVM45412.1"	"AVM45413.1"	"AVM45414.1"	"AVM45415.1"	"AVM45416.1"	"AVM45417.1"	"AVM45418.1"	"DNA topoisomerase (ATP-hydrolyzing) subunit B"	"recombinase RecA"	"hypothetical protein"	"biopolymer transporter ExbB"	"hypothetical protein"	"hypothetical protein"	"hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"35"	"35"	"CCB87487.1"	"Parachlamydia_acanthamoebae_UV-7"	"Chlamydiae"	"GCA_000253035.1"	""	"hctA"	""	""	""	""	""	"+"	"+"	"-"	"-"	"-"	"-"	"-"	"CCB87490.1"	"CCB87489.1"	"CCB87488.1"	"CCB87487.1"	"CCB87486.1"	"CCB87485.1"	"CCB87484.1"	"putative uncharacterized protein"	"histone-like developmental protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"putative uncharacterized protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"36"	"36"	"ACF11913.1"	"Chlorobaculum_parvum_NCIB_8327"	"Chlorobi"	"GCA_000020505.1"	""	""	""	""	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"ACF11916.1"	"ACF11915.1"	"ACF11914.1"	"ACF11913.1"	"ACF11912.1"	"ACF11911.1"	"ACF11910.1"	"Glycine hydroxymethyltransferase"	"conserved hypothetical protein"	"DNA primase"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"37"	"37"	"ACF43024.1"	"Pelodictyon_phaeoclathratiforme_BU-1"	"Chlorobi"	"GCA_000020645.1"	""	""	""	NA	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"ACF43021.1"	"ACF43022.1"	"ACF43023.1"	"ACF43024.1"	"ACF43025.1"	"ACF43026.1"	"ACF43027.1"	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	"Glycine hydroxymethyltransferase"	"DNA primase"	"MotA/TolQ/ExbB proton channel"	"conserved hypothetical protein"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"38"	"38"	"ACD90995.1"	"Chlorobium_limicola_DSM_245"	"Chlorobi"	"GCA_000020465.1"	""	""	""	NA	""	""	""	"-"	"-"	"+"	"-"	"-"	"-"	"-"	"ACD90998.1"	"ACD90997.1"	"ACD90996.1"	"ACD90995.1"	"ACD90994.1"	"ACD90993.1"	"ACD90992.1"	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	"Glycine hydroxymethyltransferase"	"DNA primase"	"MotA/TolQ/ExbB proton channel"	"conserved hypothetical protein"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"39"	"39"	"ABL64659.1"	"Chlorobium_phaeobacteroides_DSM_266"	"Chlorobi"	"GCA_000015125.1"	""	""	""	""	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"ABL64656.1"	"ABL64657.1"	"ABL64658.1"	"ABL64659.1"	"ABL64660.1"	"ABL64661.1"	"ABL64662.1"	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	"serine hydroxymethyltransferase"	"DNA primase"	"outer membrane transport energization protein ExbB"	"outer membrane transport energization protein ExbD"	"outer membrane transport energization protein ExbD"	"outer membrane transport energization protein TonB"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"40"	"40"	"ACF14782.1"	"Chloroherpeton_thalassium_ATCC_35110"	"Chlorobi"	"GCA_000020525.1"	""	""	""	""	""	""	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"ACF14785.1"	"ACF14784.1"	"ACF14783.1"	"ACF14782.1"	"ACF14781.1"	"ACF14780.1"	"ACF14779.1"	"hypothetical protein"	"diguanylate cyclase (GGDEF domain)"	"ferrochelatase"	"MotA/TolQ/ExbB proton channel"	"conserved hypothetical protein"	"Biopolymer transport protein ExbD/TolR"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"41"	"41"	"ACF14374.1"	"Chloroherpeton_thalassium_ATCC_35110"	"Chlorobi"	"GCA_000020525.1"	""	""	""	""	""	""	""	"+"	"+"	"+"	"+"	"+"	"+"	"+"	"ACF14371.1"	"ACF14372.1"	"ACF14373.1"	"ACF14374.1"	"ACF14375.1"	"ACF14376.1"	"ACF14377.1"	"glutaredoxin"	"thioredoxin reductase"	"hypothetical protein"	"MotA/TolQ/ExbB proton channel"	"Biopolymer transport protein ExbD/TolR"	"Biopolymer transport protein ExbD/TolR"	"conserved hypothetical protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
"42"	"42"	"AEW03299.1"	"Niastella_koreensis_GR20-10"	"Bacteroidota"	"GCA_000246855.1"	""	""	""	NA	""	""	""	"+"	"+"	"-"	"+"	"+"	"+"	"+"	"AEW03296.1"	"AEW03297.1"	"AEW03298.1"	"AEW03299.1"	"AEW03300.1"	"AEW03301.1"	"AEW03302.1"	"NADH dehydrogenase subunit N"	"protein of unknown function DUF214"	"hypothetical protein"	"outer membrane transport energization protein ExbB"	"outer membrane transport energization protein ExbD"	"outer membrane transport energization protein ExbD"	"TonB family protein"	"~/Downloads/2023-06-12_prot_feature_tables_all_v1.txt"
