Download.script?	GenBank.ID	RefSeq	FTP.path	GenBank.accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	group	spname	strain_name
NA	GCA_000223215.1	GCF_000223215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/215/GCA_000223215.1_ASM22321v1	CP002874.1	NA	NA	Spirochaetes	NA	Brachyspirales	Brachyspiraceae	Brachyspira	intermedia	PWS/A	NA	NA	Spirochaetes	Brachyspra_intermedia_PWS-A	Brachyspira intermedia PWS/A
NA	GCA_000223215.1	GCF_000223215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/215/GCA_000223215.1_ASM22321v1	CP002875.1	NA	NA	Spirochaetes	NA	Brachyspirales	Brachyspiraceae	Brachyspira	intermedia	PWS/A plasmid	NA	NA	Spirochaetes	Brachyspra_intermedia_PWS-A_plasmid	Brachyspira intermedia PWS/A plasmid
NA	GCA_000319185.1	GCF_000319185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/185/GCA_000319185.1_ASM31918v1	HE793032.1	NA	NA	Spirochaetes	NA	Brachyspirales	Brachyspiraceae	Brachyspira	pilosicoli	WesB	NA	NA	Spirochaetes	Brachyspra_pilosicoli_WesB	Brachyspira pilosicoli WesB
NA	GCA_003258315.1	GCF_003258315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/315/GCA_003258315.1_ASM325831v1	CP030032.1	No	Nonmotile	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	sediminis	FA350	Wang et al 2015	NA	Delta-proteo	Bradymonas_sediminis_FA350	Bradymonas sediminis FA350
NA	GCA_900184705.1	GCF_900184705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/184/705/GCA_900184705.1_CAMBI-1	LT859958.1	No	Nonmotile	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	bacterium	CAMBI-1	NA	Green non-sulfur bacteria	Chloroflexi	Brevefilum_bacterium_CAMBI-1	Brevefilum bacterium CAMBI-1
NA	GCA_002706795.1	GCF_002706795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/795/GCA_002706795.1_ASM270679v1	CP017705.1	NA	NA	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	laterosporus	DSM 25	NA	Low gc gram+	Firmicutes	Brevibacillus_laterosprus_DSM_25	Brevibacillus laterosporus DSM 25
NA	GCA_000144605.1	GCF_000144605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/605/GCA_000144605.1_ASM14460v1	CP002102.1	NA	NA	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	subvibrioides	ATCC 15264	NA	NA	Alpha-proteo	Brevundimonas_subvibrioides_ATCC_15264	Brevundimonas subvibrioides ATCC 15264
NA	GCA_000016845.1	GCF_000016845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/845/GCA_000016845.1_ASM1684v1	CP000708.1	NA	NA	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales/Rhizobiales	Brucellaceae	Brucella	ovis	ATCC 25840 chromosome 1	NA	NA	Alpha-proteo	Brucella_ovis_ATCC_25840_chrom1	Brucella ovis ATCC 25840 chromosome 1
NA	GCA_000016845.1	GCF_000016845.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/845/GCA_000016845.1_ASM1684v2	CP000709.1	NA	NA	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales/Rhizobiales	Brucellaceae	Brucella	ovis	ATCC 25840 chromosome 2	NA	NA	Alpha-proteo	Brucella_ovis_ATCC_25840_chrom2	Brucella ovis ATCC 25840 chromosome 2
NA	GCA_000007365.1	GCF_000007365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1	AE013218.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	Sg (Schizaphis graminum)	NA	NA	Gamma-proteo	Buchnera_aphidicola_Sg_Schizaphis_graminum	Buchnera aphidicola Sg (Schizaphis graminum)
NA	GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v1	BA000003.2	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) chromosome	NA	NA	Gamma-proteo	Buchnera_aphidicola_APS_Acyrthosiphon_pisum_chromosome	Buchnera aphidicola APS (Acyrthosiphon pisum) chromosome
NA	GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v2	AP001071.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) plasmid pLeu	NA	NA	Gamma-proteo	Buchnera_aphidicola_APS_Acyrthosiphon_pisum_pl_pLeu	Buchnera aphidicola APS (Acyrthosiphon pisum) plasmid pLeu
NA	GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v3	AP001070.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) plasmid pTrp	NA	NA	Gamma-proteo	Buchnera_aphidicola_APS_Acyrthosiphon_pisum_pl_pTrp	Buchnera aphidicola APS (Acyrthosiphon pisum) plasmid pTrp
NA	GCA_000145215.1	GCF_000145215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/215/GCA_000145215.1_ASM14521v1	CP002164.1	NA	NA	Firmicutes	Clostridia	Thermoanaerobacterales	Family III. Incertae Sedis	Caldicellulosiruptor	obsidiansis	OB47	NA	NA	Firmicutes	Caldicellulosiruptor_obsidiansis_OB47	Caldicellulosiruptor obsidiansis OB47
NA	GCA_000281175.1	GCF_000281175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/175/GCA_000281175.1_ASM28117v1	AP012337.1	No	Nonmotile	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	aerophila	DSM 14535 = NBRC 104270	NA	Green non-sulfur bacteria	Chloroflexi	Caldilinea_aerophila_DSM_14535_EQ_NBRC_104270	Caldilinea aerophila DSM 14535 = NBRC 104270
NA	GCA_000009085.1	GCF_000009085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1	AL111168.1	NA	NA	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	jejuni subsp. Jejuni	NCTC 11168	Purple bacteria and relatives	NA	Epsilon-proteo	Campylobacter_jejuni_subsp_Jejuni_NCTC_11168	Campylobacter jejuni subsp. Jejuni NCTC 11168
NA	GCA_001298465.1	GCF_001298465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/465/GCA_001298465.1_ASM129846v1	CP012541.1	Yes	Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	concisus	ATCC 33237	NA	NA	Epsilon-proteo	Campylobacter_concisus_ATCC_33237	Campylobacter concisus ATCC 33237
NA	GCA_013347225.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/347/225/GCA_013347225.1_ASM1334722v1	CP054595.1	NA	NA	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Accumulibacter	similis	SSB1	NA	NA	Beta-proteo	Accumulibacter_similis_SSB1	Candidatus Accumulibacter similis SSB1
NA	GCA_001029675.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/675/GCA_001029675.1_ASM102967v1	CP011210.1	NA	NA	Patescibacteria (CPR)	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	GW2011_GWC1_49_16	NA	NA	Patescibacteria	Beckwithbacteria_GW2011_GWC1_49_16	Candidatus Beckwithbacteria Candidatus Beckwithbacteria GW2011_GWC1_49_16
NA	GCA_016699465.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/465/GCA_016699465.1_ASM1669946v1	CP064977.1	NA	NA	Patescibacteria (CPR)	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.283_fly_man	NA	NA	Patescibacteria	Campbellbacteria_isolate_EsbW_18-Q3-R4-48_MAXAC283_fly_man	Candidatus Campbellbacteria Candidatus Campbellbacteria isolate EsbW_18-Q3-R4-48_MAXAC.283_fly_man
NA	GCA_009936135.1	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/135/GCA_009936135.1_ASM993613v1	CP047901.1	NA	NA	Patescibacteria (CPR)	NA	NA	Candidatus Chazhemtobacteraceae	Candidatus Chazhemtobacterium	aquaticus	CH65	NA	NA	Patescibacteria	Chazhemtobacterium_aquaticus_CH65	Candidatus Chazhemtobacterium aquaticus CH65
NA	GCA_016699775.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/775/GCA_016699775.1_ASM1669977v1	CP065010.1	NA	NA	Patescibacteria (CPR)	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Mari_18-Q3-R65-66_BAT3C.341_fly	NA	NA	Patescibacteria	Falkowbacteria_Falkowbacteria_Mari_18-Q3-R65-66_BAT3C341_fly	Candidatus Falkowbacteria Candidatus Falkowbacteria Mari_18-Q3-R65-66_BAT3C.341_fly
NA	GCA_004563595.2	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/563/595/GCA_004563595.2_ASM456359v2	CP042461.1	NA	NA	Patescibacteria group	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	28_42_T64	NA	NA	NA	Patescibacteria	Gracilibacteria_28_42_T64_NA	Candidatus Gracilibacteria 28_42_T64 NA
NA	GCA_004563595.2	GCF_004563595.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/563/595/GCA_004563595.2_ASM456359v2	CP042461.1	NA	NA	Patescibacteria (CPR)	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	28_42_T64	NA	NA	Patescibacteria	Gracilibacteria_Gracilibacteria_28_42_T64	Candidatus Gracilibacteria Candidatus Gracilibacteria 28_42_T64
NA	GCA_021654655.1	GCF_021654655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/654/655/GCA_021654655.1_ASM2165465v1	AP025225.1	NA	NA	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Hydrogenosomobacter	endosymbioticus	200920	NA	NA	Alpha-proteo	Hydrogenosomobacter_endosymbioticus_200920	Candidatus Hydrogenosomobacter endosymbioticus 200920
NA	GCA_016699245.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/245/GCA_016699245.1_ASM1669924v1	CP064968.1	NA	NA	Patescibacteria (CPR)	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	isolate Damh_18-Q3-R51-60_MAXAC.235_fly	NA	NA	Patescibacteria	Kaiserbacteria_Kaiserbacteria_isolate_Damh_18-Q3-R51-60_MAXAC235_fly	Candidatus Kaiserbacteria Candidatus Kaiserbacteria isolate Damh_18-Q3-R51-60_MAXAC.235_fly
NA	GCA_000319245.1	GCF_000319245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/245/GCA_000319245.1_ASM31924v1	CP003733.1	NA	NA	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Kinetoplastibacterium	blastocrithidii	isolate RC12	NA	NA	Beta-proteo	Kinetoplastibacterium_blastocrithidii_isolate_RC12	Candidatus Kinetoplastibacterium blastocrithidii isolate RC12
NA	GCA_000219355.1	GCF_000219355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/355/GCA_000219355.1_ASM21935v1	CP002130.1	NA	NA	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	mitochondrii	IricVA	NA	NA	Alpha-proteo	Midichloria_mitochondrii_IricVA	Candidatus Midichloria mitochondrii IricVA
NA	GCA_016699425.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/425/GCA_016699425.1_ASM1669942v1	CP064975.1	NA	NA	Patescibacteria group	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.278_cln	NA	NA	NA	Patescibacteria	Moranbacteria_isolate_EsbW_18-Q3-R4-48_MAXAC278_cln_NA	Candidatus Moranbacteria isolate EsbW_18-Q3-R4-48_MAXAC.278_cln NA
NA	GCA_016699425.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/425/GCA_016699425.1_ASM1669942v1	CP064975.1	NA	NA	Patescibacteria (CPR)	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.278_cln	NA	NA	Patescibacteria	Moranbacteria_isolate_EsbW_18-Q3-R4-48_MAXAC278_cln	Candidatus Moranbacteria Candidatus Moranbacteria isolate EsbW_18-Q3-R4-48_MAXAC.278_cln
NA	GCA_022530585.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/530/585/GCA_022530585.1_ASM2253058v1	CP092821.1	NA	NA	Patescibacteria (CPR)	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	isolate DGGOD1a	NA	NA	Patescibacteria	Nealsonbacteria_Nealsonbacteria_isolate_DGGOD1a	Candidatus Nealsonbacteria Candidatus Nealsonbacteria isolate DGGOD1a
NA	GCA_023898465.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/898/465/GCA_023898465.1_ASM2389846v1	CP060223.1	NA	NA	Patescibacteria (CPR)	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	isolate HK-STAS-PATE-3	NA	NA	Patescibacteria	Nomurabacteria_Nomurabacteria_isolate_HK-STAS-PATE-3	Candidatus Nomurabacteria Candidatus Nomurabacteria isolate HK-STAS-PATE-3
NA	GCA_023898645.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/898/645/GCA_023898645.1_ASM2389864v1	CP060232.1	NA	NA	Patescibacteria group	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	isolate HK-STAS-PATE-40	NA	NA	NA	Patescibacteria	Nomurabacteria_isolate_HK-STAS-PATE-40_NA	Candidatus Nomurabacteria isolate HK-STAS-PATE-40 NA
NA	GCA_000742835.1	GCF_000742835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/835/GCA_000742835.1_ASM74283v1	CP008941.1	NA	NA	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	acanthamoebae	isolate PRA3	NA	NA	Alpha-proteo	Paracaedibacter_acanthamoebae_isolate_PRA3	Candidatus Paracaedibacter acanthamoebae isolate PRA3
NA	GCA_000742835.1	GCF_000742835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/835/GCA_000742835.1_ASM74283v1	CP008942.1	NA	NA	Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	acanthamoebae	isolate PRA3 plasmid	NA	NA	Alpha-proteo	Paracaedibacter_acanthamoebae_isolate_PRA3_plasmid	Candidatus Paracaedibacter acanthamoebae isolate PRA3 plasmid
NA	GCA_016700135.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/135/GCA_016700135.1_ASM1670013v1	CP065004.1	NA	NA	Patescibacteria group	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	isolate Kalu_18-Q3-R12-55_MAXAC.194_uni	NA	NA	NA	Patescibacteria	Roizmanbacteria_isolate_Kalu_18-Q3-R12-55_MAXAC194_uni_NA	Candidatus Roizmanbacteria isolate Kalu_18-Q3-R12-55_MAXAC.194_uni NA
NA	GCA_016700135.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/135/GCA_016700135.1_ASM1670013v1	CP065004.1	NA	NA	Patescibacteria (CPR)	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	isolate Kalu_18-Q3-R12-55_MAXAC.194_uni	NA	NA	Patescibacteria	Roizmanbacteria_Roizmanbacteria_isolate_Kalu_18-Q3-R12-55_MAXAC194_uni	Candidatus Roizmanbacteria Candidatus Roizmanbacteria isolate Kalu_18-Q3-R12-55_MAXAC.194_uni
NA	GCA_016699205.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/205/GCA_016699205.1_ASM1669920v1	CP064964.1	NA	NA	Patescibacteria (CPR)	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	isolate Bjer_18-Q3-R1-45_BAT3C.201_fly	NA	NA	Patescibacteria	Uhrbacteria_isolate_Bjer_18-Q3-R1-45_BAT3C201_fly	Candidatus Uhrbacteria Candidatus Uhrbacteria isolate Bjer_18-Q3-R1-45_BAT3C.201_fly
NA	GCA_004102945.1	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/945/GCA_004102945.1_ASM410294v1	CP019384.1	NA	NA	Candidatus Omnitrophica	NA	NA	NA	Candidatus Velamenicoccus	archaeovorus	LiM	NA	NA	Omnitrophica	Velamenicoccus_archaeovorus_LiM	Candidatus Velamenicoccus archaeovorus LiM
NA	GCA_016700095.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/095/GCA_016700095.1_ASM1670009v1	CP065002.1	NA	NA	Patescibacteria group	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	isolate Kalu_18-Q3-R12-55_MAXAC.182_cln	NA	NA	NA	Patescibacteria	Woesebacteria_isolate_Kalu_18-Q3-R12-55_MAXAC182_cln_NA	Candidatus Woesebacteria isolate Kalu_18-Q3-R12-55_MAXAC.182_cln NA
NA	GCA_016700095.1	GCF_016700095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/095/GCA_016700095.1_ASM1670009v1	CP065002.1	NA	NA	Patescibacteria (CPR)	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	isolate Kalu_18-Q3-R12-55_MAXAC.182_cln	NA	NA	Patescibacteria	Woesebacteria_isolate_Kalu_18-Q3-R12-55_MAXAC182_cln	Candidatus Woesebacteria Candidatus Woesebacteria isolate Kalu_18-Q3-R12-55_MAXAC.182_cln
NA	GCA_001029635.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/635/GCA_001029635.1_ASM102963v1	CP011209.1	NA	NA	Patescibacteria (CPR)	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	GW2011_GWB1_47_1	NA	NA	Patescibacteria	Wolfebacteria_GW2011_GWB1_47_1	Candidatus Wolfebacteria Candidatus Wolfebacteria GW2011_GWB1_47_1
NA	GCA_001318295.1	GCF_001318295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/318/295/GCA_001318295.1_ASM131829v1	CP012665.1	NA	NA	Verrucomicrobia	Spartobacteria	NA	NA	Candidatus Xiphinematobacter	sp. Idaho Grape	NA	NA	NA	Verrucomicrobia	Xiphinematobacter_sp_Idaho_Grape_NA	Candidatus Xiphinematobacter sp. Idaho Grape NA
NA	GCA_000022005.1	GCF_000022005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/005/GCA_000022005.1_ASM2200v1	CP001340.1	NA	NA	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	crescentus	NA1000	Purple bacteria and relatives	NA	Alpha-proteo	Caulobacter_crescentus_NA1000	Caulobacter crescentus NA1000
NA	GCA_008120875.1	GCF_008120875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/120/875/GCA_008120875.1_ASM812087v1	CP043306.1	NA	Motile	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	japonicus	ADPT1-KOJIBIOSE	NA	saprophytic soil bacterium	Gamma-proteo	Cellvibrio_japonicus_ADPT1-KOJIBIOSE	Cellvibrio japonicus ADPT1-KOJIBIOSE
NA	GCA_000007205.1	GCF_000007205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/205/GCA_000007205.1_ASM720v1	AE009440.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	pneumoniae	TW-183	NA	NA	Chlamydiae	Chlamydia_pneumoniae_TW-183	Chlamydia pneumoniae TW-183
NA	GCA_000008725.1	GCF_000008725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1	AE001273.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	trachomatis	D/UW-3/CX	NA	NA	Chlamydiae	Chlamydia_trachomatis_D-UW-3-CX	Chlamydia trachomatis D/UW-3/CX
