	Download script?	GenBank ID	RefSeq	FTP path	GenBank accession	Flagellum	Motility	Phylum	Class	Order	Family	Genus	Species	Strain	Reference	Notes	Isolation source	Habitat/Lifestyle	flag-1	flag-2	flag-3a	flag-3b	flag-4	flag-5	sum	3ish	3plain	manual	which	spname_in_lit	notes31	group	notes32
		GCA_000009605.1	GCF_000009605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v3	AP001070.1	No	Nonmotile	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	aphidicola	APS (Acyrthosiphon pisum) plasmid pTrp																			
		GCA_000145215.1	GCF_000145215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/215/GCA_000145215.1_ASM14521v1	CP002164.1			Firmicutes	Clostridia	Thermoanaerobacterales	Family III. Incertae Sedis	Caldicellulosiruptor	obsidiansis	OB47																			
		GCA_000281175.1	 GCF_000281175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/175/GCA_000281175.1_ASM28117v1	AP012337.1	No	Nonmotile	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	aerophila	DSM 14535 = NBRC 104270 		Green non-sulfur bacteria																	
		GCA_000009085.1	GCF_000009085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1	AL111168.1			Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	jejuni subsp. Jejuni	NCTC 11168	Purple bacteria and relatives																		
		GCA_001298465.1	 GCF_001298465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/465/GCA_001298465.1_ASM129846v1	CP012541.1	Yes	Motile	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	concisus	ATCC 33237 																			
		GCA_013347225.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/347/225/GCA_013347225.1_ASM1334722v1	CP054595.1			Proteobacteria	Betaproteobacteria			Candidatus Accumulibacter	similis	SSB1																			
		GCA_001029675.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/675/GCA_001029675.1_ASM102967v1	CP011210.1			Patescibacteria (CPR)	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	Candidatus Beckwithbacteria	GW2011_GWC1_49_16																			
		GCA_016699465.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/465/GCA_016699465.1_ASM1669946v1	CP064977.1			Patescibacteria (CPR)	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.283_fly_man 																			
		GCA_009936135.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/135/GCA_009936135.1_ASM993613v1	CP047901.1			Patescibacteria (CPR)			Candidatus Chazhemtobacteraceae	Candidatus Chazhemtobacterium	aquaticus	CH65																			
		GCA_016699775.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/775/GCA_016699775.1_ASM1669977v1	CP065010.1			Patescibacteria (CPR)	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Candidatus Falkowbacteria	Mari_18-Q3-R65-66_BAT3C.341_fly 																			
		GCA_004563595.2	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/563/595/GCA_004563595.2_ASM456359v2	CP042461.1			Patescibacteria group	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	28_42_T64																				
		GCA_004563595.2	GCF_004563595.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/563/595/GCA_004563595.2_ASM456359v2	CP042461.1			Patescibacteria (CPR)	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria	28_42_T64																			
		GCA_021654655.1	GCF_021654655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/654/655/GCA_021654655.1_ASM2165465v1	AP025225.1			Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Hydrogenosomobacter	endosymbioticus	200920																			
		GCA_016699245.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/245/GCA_016699245.1_ASM1669924v1	CP064968.1			Patescibacteria (CPR)	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria	isolate Damh_18-Q3-R51-60_MAXAC.235_fly 																			
		GCA_000319245.1	GCF_000319245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/245/GCA_000319245.1_ASM31924v1	CP003733.1			Proteobacteria	Betaproteobacteria			Candidatus Kinetoplastibacterium	blastocrithidii	isolate RC12																			
		GCA_000219355.1	GCF_000219355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/355/GCA_000219355.1_ASM21935v1	CP002130.1			Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	mitochondrii	IricVA																			
		GCA_016699425.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/425/GCA_016699425.1_ASM1669942v1	CP064975.1			Patescibacteria group	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.278_cln 																				
		GCA_016699425.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/425/GCA_016699425.1_ASM1669942v1	CP064975.1			Patescibacteria (CPR)	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	Candidatus Moranbacteria	isolate EsbW_18-Q3-R4-48_MAXAC.278_cln 																			
		GCA_022530585.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/530/585/GCA_022530585.1_ASM2253058v1	CP092821.1			Patescibacteria (CPR)	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	Candidatus Nealsonbacteria	isolate DGGOD1a																			
		GCA_023898465.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/898/465/GCA_023898465.1_ASM2389846v1	CP060223.1			Patescibacteria (CPR)	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	isolate HK-STAS-PATE-3																			
		GCA_023898645.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/898/645/GCA_023898645.1_ASM2389864v1	CP060232.1			Patescibacteria group	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	Candidatus Nomurabacteria	isolate HK-STAS-PATE-40																				
		GCA_000742835.1	GCF_000742835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/835/GCA_000742835.1_ASM74283v1	CP008941.1			Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	acanthamoebae	isolate PRA3																			
		GCA_000742835.1	GCF_000742835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/742/835/GCA_000742835.1_ASM74283v1	CP008942.1			Proteobacteria	Alphaproteobacteria	Holosporales	Candidatus Paracaedibacteraceae	Candidatus Paracaedibacter	acanthamoebae	isolate PRA3 plasmid																			
		GCA_016700135.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/135/GCA_016700135.1_ASM1670013v1	CP065004.1			Patescibacteria group	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	isolate Kalu_18-Q3-R12-55_MAXAC.194_uni  																				
		GCA_016700135.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/135/GCA_016700135.1_ASM1670013v1	CP065004.1			Patescibacteria (CPR)	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	Candidatus Roizmanbacteria	isolate Kalu_18-Q3-R12-55_MAXAC.194_uni 																			
		GCA_016699205.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/699/205/GCA_016699205.1_ASM1669920v1	CP064964.1			Patescibacteria (CPR)	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	Candidatus Uhrbacteria	isolate Bjer_18-Q3-R1-45_BAT3C.201_fly																			
		GCA_004102945.1		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/945/GCA_004102945.1_ASM410294v1	CP019384.1			Candidatus Omnitrophica				Candidatus Velamenicoccus	archaeovorus	LiM																			
		GCA_016700095.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/095/GCA_016700095.1_ASM1670009v1	CP065002.1			Patescibacteria group	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	isolate Kalu_18-Q3-R12-55_MAXAC.182_cln 																				
		GCA_016700095.1	GCF_016700095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/700/095/GCA_016700095.1_ASM1670009v1	CP065002.1			Patescibacteria (CPR)	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	Candidatus Woesebacteria	isolate Kalu_18-Q3-R12-55_MAXAC.182_cln 																			
		GCA_001029635.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/635/GCA_001029635.1_ASM102963v1	CP011209.1			Patescibacteria (CPR)	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	Candidatus Wolfebacteria	GW2011_GWB1_47_1																			
		GCA_001318295.1	GCF_001318295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/318/295/GCA_001318295.1_ASM131829v1	CP012665.1			Verrucomicrobia	Spartobacteria			Candidatus Xiphinematobacter	sp. Idaho Grape																				
		GCA_000022005.1	GCF_000022005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/005/GCA_000022005.1_ASM2200v1	CP001340.1			Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	crescentus	NA1000	Purple bacteria and relatives																		
		GCA_008120875.1	GCF_008120875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/120/875/GCA_008120875.1_ASM812087v1	CP043306.1		Motile	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	japonicus	ADPT1-KOJIBIOSE		saprophytic soil bacterium																	
		GCA_000007205.1	GCF_000007205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/205/GCA_000007205.1_ASM720v1	AE009440.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	pneumoniae	TW-183																			
		GCA_000008725.1	GCF_000008725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1	AE001273.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	trachomatis	D/UW-3/CX																			
		GCA_000470765.1	GCF_000470765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/765/GCA_000470765.1_ASM47076v1	CP004033.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	pecorum	PV3056/3																			
		GCA_002997735.1	GCF_002997735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/997/735/GCA_002997735.1_ASM299773v1	CP027206.1	No	Nonmotile	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	muridarum	Nigg isolate CM021																			
		GCA_900093645.1	GCF_900093645.1	https://ftp.ncbi.nlm.nih.gov//genomes/all/GCA/900/093/645/GCA_900093645.1_AB751O23				Chlamydiae	Chlamydiae	Chlamydiales		Chlamydiales bacterium	Chlamydiales bacterium	SCGC AB-751-O23		Flagellated environmental Chlamydias 																	
		GCA_900093625.1	GCF_900093625.1	https://ftp.ncbi.nlm.nih.gov//genomes/all/GCA/900/093/625/GCA_900093625.1_SCG7109				Chlamydiae	Chlamydiae	Chlamydiales		Chlamydiales bacterium	Chlamydiales bacterium	SCGC AG-110-M15		Flagellated environmental Chlamydias 																	
		GCA_900093655.1	GCF_900093655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/093/655/GCA_900093655.1_SCG7086				Chlamydiae	Chlamydiae	Chlamydiales		Chlamydiales bacterium	Chlamydiales bacterium	SCGC AG-110-P3		Flagellated environmental Chlamydias 																	
	Y	GCA_018304665.1	GCF_018304665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/304/665/GCA_018304665.1_ASM1830466v1	CP072632.1	Pilus?	Motile	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Chloracidobacterium 	thermophilum	strain B chromosome 1																			
		GCA_000020505.1	GCF_000020505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/505/GCA_000020505.1_ASM2050v1	CP001099.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	parvum	NCIB 8327	Green sulfur bacteria																		
		GCA_000015125.1	GCF_000015125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1	CP000492.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	phaeobacteroides	DSM 266	Green sulfur bacteria																		
		GCA_000020465.1	GCF_000020465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/465/GCA_000020465.1_ASM2046v1	CP001097.1	No	Nonmotile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	limicola	DSM 245 	Green sulfur bacteria																		
		GCA_000018865.1	 GCF_000018865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/865/GCA_000018865.1_ASM1886v1	CP000909.1	No	Nonmotile	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	aurantiacus	J-10-fl		Green non-sulfur bacteria, thermophilic																	
		GCA_000020525.1	GCF_000020525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/525/GCA_000020525.1_ASM2052v1	CP001100.1	No	Motile	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	thalassium	ATCC 35110	Green sulfur bacteria																		
		GCA_000427095.1	GCF_000427095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/095/GCA_000427095.1_T49	HF951689.1	No	Motile	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	calidirosea	T49	Lee et al 2011	Recently described phylum. Thermophyle, NZ																	
		GCA_001484725.1	GCF_001484725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/725/GCA_001484725.1_ASM148472v1	CP012395.1			Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	autoethanogenum	DSM 10061		Low gc gram+																	
		GCA_015097275.1	GCF_015097275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/097/275/GCA_015097275.1_ASM1509727v1	AP023322.1	No	Nonmotile	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	secundus	subsp. similis 2CBH44 																			
		GCA_000255295.1	GCF_000255295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/295/GCA_000255295.1_ASM25529v1	CP003389.1		Gliding	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	coralloides	DSM 2259																			
		GCA_000023145.1	GCF_000023145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/145/GCA_000023145.1_ASM2314v1	CP001620.1	No	Nonmotile	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	kroppenstedtii	DSM 44385																			
		GCA_000014145.1	GCF_000014145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/145/GCA_000014145.1_ASM1414v1	CP000383.1	No	Nonmotile	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	hutchinsonii	ATCC 33406																			
		GCA_000186385.1	GCF_000186385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/385/GCA_000186385.1_ASM18638v1	CP002454.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	maricopensis	DSM 21211																			
		GCA_000800395.1	GCF_000800395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/395/GCA_000800395.1_ASM80039v1	 CP010028.1	Yes	Motile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	radiopugnans	DY59																			
		GCA_001507665.1	GCF_001507665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/507/665/GCA_001507665.1_ASM150766v1	CP013910.1	No	Nonmotile	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	actinosclerus	BM2	Joo et al 2016	Isolated from soil in South Korea. They showed strong resistance to gamma radiation																	
		GCA_000025725.1	GCF_000025725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/725/GCA_000025725.1_ASM2572v1	CP001968.1	Yes	Motile		Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	acetiphilus	DSM 12809																			
		GCA_000021925.1	GCF_000021925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/925/GCA_000021925.1_ASM2192v1	CP001336.1			Firmicutes	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	hafniense	DCB-2		Low gc gram+																	
		GCA_002009335.2	GCF_002009335.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/009/335/GCA_002009335.2_ASM200933v2	CP019913.2			Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfobacteraceae	Desulfococcus	multivorans	DSM 2059 		sulfate-reducing bacterium from the genus of Desulfococcus which has been isolated from a sewage digester in Germany																	
		GCA_000025945.1	 GCF_000025945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/945/GCA_000025945.1_ASM2594v1			Motile	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfobacteraceae	Desulfotalea	psychrophila	LSv54		sulphate reducing bacterium from permanently cold Arctic sediments, has the largest of all known flagellin genes 																	
		GCA_014701235.1	GCF_014701235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/701/235/GCA_014701235.1_ASM1470123v1	AP022873.1			Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	thermophila	T55J																			
		GCA_900187105.1	GCF_900187105.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/105/GCA_900187105.1_50618_F01	LT906482.1			Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	corrodens	NCTC10596																			
		GCA_023213235.1	N/A	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/213/235/GCA_023213235.1_ASM2321323v1	CP096137.1			Elusimicrobia				Elusimicrobia	bacterium	isolate JAD_PAG50586_1																			
		GCA_000020145.1	GCF_000020145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/145/GCA_000020145.1_ASM2014v1	CP001055.1			Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	minutum	Pei191																			
