fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
GCA_000247565.1_ASM24756v1_protein|AFA40896.1 proton conductor component of flagella motor [Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)]	GCA_000247565.1_ASM24756v1_protein	GCA_000247565.1	ASM24756v1	AFA40896.1	GCA_000247565.1_ASM24756v1_protein|AFA40896.1 proton conductor component of flagella motor	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia	glossinidia	endosymbiont of Glossina morsitans morsitans (Yale colony)
GCA_001022965.1_ASM102296v1_protein|KLP57591.1 flagellar motor protein MotA [Enterobacter genomosp. O]	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP57591.1	GCA_001022965.1_ASM102296v1_protein|KLP57591.1 flagellar motor protein MotA	Enterobacter genomosp. O	Enterobacter	genomosp.	O
GCA_001721185.1_ASM172118v1_protein|AOM39478.1 flagellar motor stator protein MotA [Xenorhabdus hominickii]	GCA_001721185.1_ASM172118v1_protein	GCA_001721185.1	ASM172118v1	AOM39478.1	GCA_001721185.1_ASM172118v1_protein|AOM39478.1 flagellar motor stator protein MotA	Xenorhabdus hominickii	Xenorhabdus	hominickii	
GCA_000009825.1_ASM982v1_protein|BAD64518.1 motility protein A [Alkalihalobacillus clausii KSM-K16]	GCA_000009825.1_ASM982v1_protein	GCA_000009825.1	ASM982v1	BAD64518.1	GCA_000009825.1_ASM982v1_protein|BAD64518.1 motility protein A	Alkalihalobacillus clausii KSM-K16	Alkalihalobacillus	clausii	KSM-K16
GCA_000013045.1_ASM1304v1_protein|ABC44034.1 putative biopolymer transport protein [Salinibacter ruber DSM 13855]	GCA_000013045.1_ASM1304v1_protein	GCA_000013045.1	ASM1304v1	ABC44034.1	GCA_000013045.1_ASM1304v1_protein|ABC44034.1 putative biopolymer transport protein	Salinibacter ruber DSM 13855	Salinibacter	ruber	DSM 13855
GCA_000012745.1_ASM1274v1_protein|AAZ97196.1 probable chemotaxis transmembrane protein MotA [Thiobacillus denitrificans ATCC 25259]	GCA_000012745.1_ASM1274v1_protein	GCA_000012745.1	ASM1274v1	AAZ97196.1	GCA_000012745.1_ASM1274v1_protein|AAZ97196.1 probable chemotaxis transmembrane protein MotA	Thiobacillus denitrificans ATCC 25259	Thiobacillus	denitrificans	ATCC 25259
GCA_001023305.1_ASM102330v1_protein|KLR25774.1 flagellar motor protein MotA [Enterobacter bugandensis]	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR25774.1	GCA_001023305.1_ASM102330v1_protein|KLR25774.1 flagellar motor protein MotA	Enterobacter bugandensis	Enterobacter	bugandensis	
GCA_000168235.2_ASM16823v2_protein|EDR32241.1 chemotaxis protein motA [Yersinia pestis biovar Orientalis str. IP275]	GCA_000168235.2_ASM16823v2_protein	GCA_000168235.2	ASM16823v2	EDR32241.1	GCA_000168235.2_ASM16823v2_protein|EDR32241.1 chemotaxis protein motA	Yersinia pestis biovar Orientalis str. IP275	Yersinia	pestis	biovar Orientalis str. IP275
GCA_004150405.1_ASM415040v1_protein|RYJ17830.1 flagellar motor stator protein MotA [Rahnella variigena]	GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1	ASM415040v1	RYJ17830.1	GCA_004150405.1_ASM415040v1_protein|RYJ17830.1 flagellar motor stator protein MotA	Rahnella variigena	Rahnella	variigena	
GCA_001188755.1_ASM118875v1_protein|AKS91147.1 flagellar motor stator protein MotA [Yersinia pestis 8787]	GCA_001188755.1_ASM118875v1_protein	GCA_001188755.1	ASM118875v1	AKS91147.1	GCA_001188755.1_ASM118875v1_protein|AKS91147.1 flagellar motor stator protein MotA	Yersinia pestis 8787	Yersinia	pestis	8787
GCA_002918555.1_ASM291855v1_protein|POT54755.1 flagellar motor stator protein MotA [Citrobacter amalonaticus]	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT54755.1	GCA_002918555.1_ASM291855v1_protein|POT54755.1 flagellar motor stator protein MotA	Citrobacter amalonaticus	Citrobacter	amalonaticus	
GCA_000024325.1_ASM2432v1_protein|ACV67875.1 MotA/TolQ/ExbB proton channel [Desulfohalobium retbaense DSM 5692]	GCA_000024325.1_ASM2432v1_protein	GCA_000024325.1	ASM2432v1	ACV67875.1	GCA_000024325.1_ASM2432v1_protein|ACV67875.1 MotA/TolQ/ExbB proton channel	Desulfohalobium retbaense DSM 5692	Desulfohalobium	retbaense	DSM 5692
GCA_000195755.1_ASM19575v1_protein|AAS95121.1 chemotaxis protein PomA [Desulfovibrio vulgaris str. Hildenborough]	GCA_000195755.1_ASM19575v1_protein	GCA_000195755.1	ASM19575v1	AAS95121.1	GCA_000195755.1_ASM19575v1_protein|AAS95121.1 chemotaxis protein PomA	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio	vulgaris	str. Hildenborough
GCA_004343195.1_ASM434319v1_protein|TCV95526.1 chemotaxis protein MotA [Biostraticola tofi]	GCA_004343195.1_ASM434319v1_protein	GCA_004343195.1	ASM434319v1	TCV95526.1	GCA_004343195.1_ASM434319v1_protein|TCV95526.1 chemotaxis protein MotA	Biostraticola tofi	Biostraticola	tofi	
GCA_000008185.1_ASM818v1_protein|AAS13283.1 motility protein A [Treponema denticola ATCC 35405]	GCA_000008185.1_ASM818v1_protein	GCA_000008185.1	ASM818v1	AAS13283.1	GCA_000008185.1_ASM818v1_protein|AAS13283.1 motility protein A	Treponema denticola ATCC 35405	Treponema	denticola	ATCC 35405
GCA_001171065.1_4840_6_7_protein|CNK31042.1 flagellar motor protein MotA [Yersinia frederiksenii]	GCA_001171065.1_4840_6_7_protein	GCA_001171065.1	4840	CNK31042.1	GCA_001171065.1_4840_6_7_protein|CNK31042.1 flagellar motor protein MotA	Yersinia frederiksenii	Yersinia	frederiksenii	
GCA_000245735.2_ASM24573v2_protein|EHR42267.1 chemotaxis protein MotA [Alishewanella jeotgali KCTC 22429]	GCA_000245735.2_ASM24573v2_protein	GCA_000245735.2	ASM24573v2	EHR42267.1	GCA_000245735.2_ASM24573v2_protein|EHR42267.1 chemotaxis protein MotA	Alishewanella jeotgali KCTC 22429	Alishewanella	jeotgali	KCTC 22429
GCA_000773965.1_ASM77396v1_protein|KGT93171.1 flagellar motor protein MotA [Enterobacter cancerogenus]	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT93171.1	GCA_000773965.1_ASM77396v1_protein|KGT93171.1 flagellar motor protein MotA	Enterobacter cancerogenus	Enterobacter	cancerogenus	
GCA_000190755.3_ASM19075v3_protein|EGW21349.1 MotA/TolQ/ExbB proton channel [Methylobacter tundripaludum SV96]	GCA_000190755.3_ASM19075v3_protein	GCA_000190755.3	ASM19075v3	EGW21349.1	GCA_000190755.3_ASM19075v3_protein|EGW21349.1 MotA/TolQ/ExbB proton channel	Methylobacter tundripaludum SV96	Methylobacter	tundripaludum	SV96
GCA_002095575.1_ASM209557v1_protein|ORN01923.1 flagellar motor stator protein MotA [Pantoea septica]	GCA_002095575.1_ASM209557v1_protein	GCA_002095575.1	ASM209557v1	ORN01923.1	GCA_002095575.1_ASM209557v1_protein|ORN01923.1 flagellar motor stator protein MotA	Pantoea septica	Pantoea	septica	
GCA_004344785.1_ASM434478v1_protein|TCZ23880.1 flagellar motor stator protein MotA [Pantoea agglomerans]	GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1	ASM434478v1	TCZ23880.1	GCA_004344785.1_ASM434478v1_protein|TCZ23880.1 flagellar motor stator protein MotA	Pantoea agglomerans	Pantoea	agglomerans	
GCA_000319285.1_ASM31928v1_protein|CCJ73890.1 Flagellar motor rotation protein MotA [Cronobacter condimenti 1330]	GCA_000319285.1_ASM31928v1_protein	GCA_000319285.1	ASM31928v1	CCJ73890.1	GCA_000319285.1_ASM31928v1_protein|CCJ73890.1 Flagellar motor rotation protein MotA	Cronobacter condimenti 1330	Cronobacter	condimenti	1330
GCA_000878365.1_ASM87836v1_protein|KIU35409.1 flagellar motor protein MotA [Atlantibacter hermannii]	GCA_000878365.1_ASM87836v1_protein	GCA_000878365.1	ASM87836v1	KIU35409.1	GCA_000878365.1_ASM87836v1_protein|KIU35409.1 flagellar motor protein MotA	Atlantibacter hermannii	Atlantibacter	hermannii	
GCA_000012805.1_ASM1280v1_protein|ABA59126.1 MotA/TolQ/ExbB proton channel [Nitrosococcus oceani ATCC 19707]	GCA_000012805.1_ASM1280v1_protein	GCA_000012805.1	ASM1280v1	ABA59126.1	GCA_000012805.1_ASM1280v1_protein|ABA59126.1 MotA/TolQ/ExbB proton channel	Nitrosococcus oceani ATCC 19707	Nitrosococcus	oceani	ATCC 19707
GCA_004150405.1_ASM415040v1_protein|RYJ18907.1 flagellar motor stator protein MotA [Rahnella variigena]	GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1	ASM415040v1	RYJ18907.1	GCA_004150405.1_ASM415040v1_protein|RYJ18907.1 flagellar motor stator protein MotA	Rahnella variigena	Rahnella	variigena	
GCA_003818135.1_ASM381813v1_protein|RPH29934.1 flagellar motor stator protein MotA [Buttiauxella warmboldiae]	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH29934.1	GCA_003818135.1_ASM381813v1_protein|RPH29934.1 flagellar motor stator protein MotA	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
GCA_000014805.1_ASM1480v1_protein|ABK36904.1 chemotaxis MotA protein [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	GCA_000014805.1_ASM1480v1_protein	GCA_000014805.1	ASM1480v1	ABK36904.1	GCA_000014805.1_ASM1480v1_protein|ABK36904.1 chemotaxis MotA protein	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas	hydrophila	subsp. hydrophila ATCC 7966
GCA_000732325.1_ASM73232v1_protein|GAK41226.1 flagellar motor protein MotA [Paenibacillus sp. TCA20]	GCA_000732325.1_ASM73232v1_protein	GCA_000732325.1	ASM73232v1	GAK41226.1	GCA_000732325.1_ASM73232v1_protein|GAK41226.1 flagellar motor protein MotA	Paenibacillus sp. TCA20	Paenibacillus	sp.	TCA20
GCA_004344785.1_ASM434478v1_protein|TCZ24251.1 flagellar motor stator protein MotA [Pantoea agglomerans]	GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1	ASM434478v1	TCZ24251.1	GCA_004344785.1_ASM434478v1_protein|TCZ24251.1 flagellar motor stator protein MotA	Pantoea agglomerans	Pantoea	agglomerans	
GCA_000196255.1_ASM19625v1_protein|CAG19221.1 putative sodium-driven polar flagellar protein MotA [Photobacterium profundum SS9]	GCA_000196255.1_ASM19625v1_protein	GCA_000196255.1	ASM19625v1	CAG19221.1	GCA_000196255.1_ASM19625v1_protein|CAG19221.1 putative sodium-driven polar flagellar protein MotA	Photobacterium profundum SS9	Photobacterium	profundum	SS9
GCA_000020365.1_ASM2036v1_protein|ACN14746.1 MotA1 [Desulforapulum autotrophicum HRM2]	GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1	ASM2036v1	ACN14746.1	GCA_000020365.1_ASM2036v1_protein|ACN14746.1 MotA1	Desulforapulum autotrophicum HRM2	Desulforapulum	autotrophicum	HRM2
GCA_000773975.1_ASM77397v1_protein|KGT93325.1 flagellar motor protein MotA [Erwinia typographi]	GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1	ASM77397v1	KGT93325.1	GCA_000773975.1_ASM77397v1_protein|KGT93325.1 flagellar motor protein MotA	Erwinia typographi	Erwinia	typographi	
GCA_000021985.1_ASM2198v1_protein|ACL72407.1 putative chemotaxis (motility protein A) transmembrane [Thioalkalivibrio sulfidiphilus HL-EbGr7]	GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1	ASM2198v1	ACL72407.1	GCA_000021985.1_ASM2198v1_protein|ACL72407.1 putative chemotaxis (motility protein A) transmembrane	Thioalkalivibrio sulfidiphilus HL-EbGr7	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
GCA_000168855.1_ASM16885v1_protein|EED69694.1 MotA/TolQ/ExbB proton channel [Comamonas testosteroni KF-1]	GCA_000168855.1_ASM16885v1_protein	GCA_000168855.1	ASM16885v1	EED69694.1	GCA_000168855.1_ASM16885v1_protein|EED69694.1 MotA/TolQ/ExbB proton channel	Comamonas testosteroni KF-1	Comamonas	testosteroni	KF-1
GCA_000013705.1_ASM1370v1_protein|ABE50207.1 putative chemotaxis transmembrane protein MotA [Methylobacillus flagellatus KT]	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE50207.1	GCA_000013705.1_ASM1370v1_protein|ABE50207.1 putative chemotaxis transmembrane protein MotA	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
GCA_000015365.1_ASM1536v1_protein|ABM19854.1 flagellar motor component [Marinobacter nauticus VT8]	GCA_000015365.1_ASM1536v1_protein	GCA_000015365.1	ASM1536v1	ABM19854.1	GCA_000015365.1_ASM1536v1_protein|ABM19854.1 flagellar motor component	Marinobacter nauticus VT8	Marinobacter	nauticus	VT8
GCA_000284615.1_ASM28461v1_protein|CCG96131.1 proton conductor component of flagella motor [Marinobacter nauticus ATCC 49840]	GCA_000284615.1_ASM28461v1_protein	GCA_000284615.1	ASM28461v1	CCG96131.1	GCA_000284615.1_ASM28461v1_protein|CCG96131.1 proton conductor component of flagella motor	Marinobacter nauticus ATCC 49840	Marinobacter	nauticus	ATCC 49840
GCA_001319955.1_5139_5_3_protein|CFQ36265.1 flagellar motor protein MotA [Yersinia bercovieri]	GCA_001319955.1_5139_5_3_protein	GCA_001319955.1	5139	CFQ36265.1	GCA_001319955.1_5139_5_3_protein|CFQ36265.1 flagellar motor protein MotA	Yersinia bercovieri	Yersinia	bercovieri	
GCA_001022965.1_ASM102296v1_protein|KLP57512.1 flagellar motor protein MotA [Enterobacter genomosp. O]	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP57512.1	GCA_001022965.1_ASM102296v1_protein|KLP57512.1 flagellar motor protein MotA	Enterobacter genomosp. O	Enterobacter	genomosp.	O
GCA_001023305.1_ASM102330v1_protein|KLR25637.1 flagellar motor protein MotA [Enterobacter bugandensis]	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR25637.1	GCA_001023305.1_ASM102330v1_protein|KLR25637.1 flagellar motor protein MotA	Enterobacter bugandensis	Enterobacter	bugandensis	
GCA_002278205.1_ASM227820v1_protein|PAN74106.1 flagellar motor stator protein MotA [Enterobacter cloacae]	GCA_002278205.1_ASM227820v1_protein	GCA_002278205.1	ASM227820v1	PAN74106.1	GCA_002278205.1_ASM227820v1_protein|PAN74106.1 flagellar motor stator protein MotA	Enterobacter cloacae	Enterobacter	cloacae	
GCA_000773965.1_ASM77396v1_protein|KGT89687.1 flagellar motor protein MotA [Enterobacter cancerogenus]	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT89687.1	GCA_000773965.1_ASM77396v1_protein|KGT89687.1 flagellar motor protein MotA	Enterobacter cancerogenus	Enterobacter	cancerogenus	
GCA_000014765.1_ASM1476v1_protein|ABI58474.1 putative chemotaxis (motility protein A) transmembrane [Nitrosomonas eutropha C91]	GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1	ASM1476v1	ABI58474.1	GCA_000014765.1_ASM1476v1_protein|ABI58474.1 putative chemotaxis (motility protein A) transmembrane	Nitrosomonas eutropha C91	Nitrosomonas	eutropha	C91
GCA_002918555.1_ASM291855v1_protein|POT59380.1 flagellar motor stator protein MotA [Citrobacter amalonaticus]	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT59380.1	GCA_002918555.1_ASM291855v1_protein|POT59380.1 flagellar motor stator protein MotA	Citrobacter amalonaticus	Citrobacter	amalonaticus	
GCA_000006945.2_ASM694v2_protein|AAL20839.1 proton conductor component of motor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL20839.1	GCA_000006945.2_ASM694v2_protein|AAL20839.1 proton conductor component of motor	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
GCA_000298015.1_Aero_vero_AMC34_V1_protein|EKB18759.1 hypothetical protein HMPREF1168_02533 [Aeromonas veronii AMC34]	GCA_000298015.1_Aero_vero_AMC34_V1_protein	GCA_000298015.1	Aero	EKB18759.1	GCA_000298015.1_Aero_vero_AMC34_V1_protein|EKB18759.1 hypothetical protein HMPREF1168_02533	Aeromonas veronii AMC34	Aeromonas	veronii	AMC34
GCA_003818135.1_ASM381813v1_protein|RPH29221.1 flagellar motor stator protein MotA [Buttiauxella warmboldiae]	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH29221.1	GCA_003818135.1_ASM381813v1_protein|RPH29221.1 flagellar motor stator protein MotA	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
GCA_000023705.1_ASM2370v1_protein|ACT48168.1 flagellar motor protein MotA [Methylotenera mobilis JLW8]	GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1	ASM2370v1	ACT48168.1	GCA_000023705.1_ASM2370v1_protein|ACT48168.1 flagellar motor protein MotA	Methylotenera mobilis JLW8	Methylotenera	mobilis	JLW8
