fullnames	fns	genome_id	assembly_id	gids	desc	taxon	genus	species	strain
RYJ18907.1 flagellar motor stator protein MotA [Rahnella variigena]|GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1_ASM415040v1_protein	GCA_004150405.1	ASM415040v1	RYJ18907.1	RYJ18907.1 flagellar motor stator protein MotA	Rahnella variigena	Rahnella	variigena	
RPH29934.1 flagellar motor stator protein MotA [Buttiauxella warmboldiae]|GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH29934.1	RPH29934.1 flagellar motor stator protein MotA	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
ABK36904.1 chemotaxis MotA protein [Aeromonas hydrophila subsp. hydrophila ATCC 7966]|GCA_000014805.1_ASM1480v1_protein	GCA_000014805.1_ASM1480v1_protein	GCA_000014805.1	ASM1480v1	ABK36904.1	ABK36904.1 chemotaxis MotA protein	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas	hydrophila	subsp. hydrophila ATCC 7966
GAK41226.1 flagellar motor protein MotA [Paenibacillus sp. TCA20]|GCA_000732325.1_ASM73232v1_protein	GCA_000732325.1_ASM73232v1_protein	GCA_000732325.1	ASM73232v1	GAK41226.1	GAK41226.1 flagellar motor protein MotA	Paenibacillus sp. TCA20	Paenibacillus	sp.	TCA20
TCZ24251.1 flagellar motor stator protein MotA [Pantoea agglomerans]|GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1_ASM434478v1_protein	GCA_004344785.1	ASM434478v1	TCZ24251.1	TCZ24251.1 flagellar motor stator protein MotA	Pantoea agglomerans	Pantoea	agglomerans	
CAG19221.1 putative sodium-driven polar flagellar protein MotA [Photobacterium profundum SS9]|GCA_000196255.1_ASM19625v1_protein	GCA_000196255.1_ASM19625v1_protein	GCA_000196255.1	ASM19625v1	CAG19221.1	CAG19221.1 putative sodium-driven polar flagellar protein MotA	Photobacterium profundum SS9	Photobacterium	profundum	SS9
ACN14746.1 MotA1 [Desulforapulum autotrophicum HRM2]|GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1_ASM2036v1_protein	GCA_000020365.1	ASM2036v1	ACN14746.1	ACN14746.1 MotA1	Desulforapulum autotrophicum HRM2	Desulforapulum	autotrophicum	HRM2
KGT93325.1 flagellar motor protein MotA [Erwinia typographi]|GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1_ASM77397v1_protein	GCA_000773975.1	ASM77397v1	KGT93325.1	KGT93325.1 flagellar motor protein MotA	Erwinia typographi	Erwinia	typographi	
ACL72407.1 putative chemotaxis (motility protein A) transmembrane [Thioalkalivibrio sulfidiphilus HL-EbGr7]|GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1	ASM2198v1	ACL72407.1	ACL72407.1 putative chemotaxis (motility protein A) transmembrane	Thioalkalivibrio sulfidiphilus HL-EbGr7	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
EED69694.1 MotA/TolQ/ExbB proton channel [Comamonas testosteroni KF-1]|GCA_000168855.1_ASM16885v1_protein	GCA_000168855.1_ASM16885v1_protein	GCA_000168855.1	ASM16885v1	EED69694.1	EED69694.1 MotA/TolQ/ExbB proton channel	Comamonas testosteroni KF-1	Comamonas	testosteroni	KF-1
ABE50207.1 putative chemotaxis transmembrane protein MotA [Methylobacillus flagellatus KT]|GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1_ASM1370v1_protein	GCA_000013705.1	ASM1370v1	ABE50207.1	ABE50207.1 putative chemotaxis transmembrane protein MotA	Methylobacillus flagellatus KT	Methylobacillus	flagellatus	KT
ABM19854.1 flagellar motor component [Marinobacter nauticus VT8]|GCA_000015365.1_ASM1536v1_protein	GCA_000015365.1_ASM1536v1_protein	GCA_000015365.1	ASM1536v1	ABM19854.1	ABM19854.1 flagellar motor component	Marinobacter nauticus VT8	Marinobacter	nauticus	VT8
CCG96131.1 proton conductor component of flagella motor [Marinobacter nauticus ATCC 49840]|GCA_000284615.1_ASM28461v1_protein	GCA_000284615.1_ASM28461v1_protein	GCA_000284615.1	ASM28461v1	CCG96131.1	CCG96131.1 proton conductor component of flagella motor	Marinobacter nauticus ATCC 49840	Marinobacter	nauticus	ATCC 49840
CFQ36265.1 flagellar motor protein MotA [Yersinia bercovieri]|GCA_001319955.1_5139_5_3_protein	GCA_001319955.1_5139_5_3_protein	GCA_001319955.1	5139	CFQ36265.1	CFQ36265.1 flagellar motor protein MotA	Yersinia bercovieri	Yersinia	bercovieri	
KLP57512.1 flagellar motor protein MotA [Enterobacter genomosp. O]|GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1_ASM102296v1_protein	GCA_001022965.1	ASM102296v1	KLP57512.1	KLP57512.1 flagellar motor protein MotA	Enterobacter genomosp. O	Enterobacter	genomosp.	O
KLR25637.1 flagellar motor protein MotA [Enterobacter bugandensis]|GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1_ASM102330v1_protein	GCA_001023305.1	ASM102330v1	KLR25637.1	KLR25637.1 flagellar motor protein MotA	Enterobacter bugandensis	Enterobacter	bugandensis	
PAN74106.1 flagellar motor stator protein MotA [Enterobacter cloacae]|GCA_002278205.1_ASM227820v1_protein	GCA_002278205.1_ASM227820v1_protein	GCA_002278205.1	ASM227820v1	PAN74106.1	PAN74106.1 flagellar motor stator protein MotA	Enterobacter cloacae	Enterobacter	cloacae	
KGT89687.1 flagellar motor protein MotA [Enterobacter cancerogenus]|GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1_ASM77396v1_protein	GCA_000773965.1	ASM77396v1	KGT89687.1	KGT89687.1 flagellar motor protein MotA	Enterobacter cancerogenus	Enterobacter	cancerogenus	
ABI58474.1 putative chemotaxis (motility protein A) transmembrane [Nitrosomonas eutropha C91]|GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1_ASM1476v1_protein	GCA_000014765.1	ASM1476v1	ABI58474.1	ABI58474.1 putative chemotaxis (motility protein A) transmembrane	Nitrosomonas eutropha C91	Nitrosomonas	eutropha	C91
POT59380.1 flagellar motor stator protein MotA [Citrobacter amalonaticus]|GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1_ASM291855v1_protein	GCA_002918555.1	ASM291855v1	POT59380.1	POT59380.1 flagellar motor stator protein MotA	Citrobacter amalonaticus	Citrobacter	amalonaticus	
AAL20839.1 proton conductor component of motor [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]|GCA_000006945.2_ASM694v2_protein	GCA_000006945.2_ASM694v2_protein	GCA_000006945.2	ASM694v2	AAL20839.1	AAL20839.1 proton conductor component of motor	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella	enterica	subsp. enterica serovar Typhimurium str. LT2
EKB18759.1 hypothetical protein HMPREF1168_02533 [Aeromonas veronii AMC34]|GCA_000298015.1_Aero_vero_AMC34_V1_protein	GCA_000298015.1_Aero_vero_AMC34_V1_protein	GCA_000298015.1	Aero	EKB18759.1	EKB18759.1 hypothetical protein HMPREF1168_02533	Aeromonas veronii AMC34	Aeromonas	veronii	AMC34
RPH29221.1 flagellar motor stator protein MotA [Buttiauxella warmboldiae]|GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1_ASM381813v1_protein	GCA_003818135.1	ASM381813v1	RPH29221.1	RPH29221.1 flagellar motor stator protein MotA	Buttiauxella warmboldiae	Buttiauxella	warmboldiae	
ACT48168.1 flagellar motor protein MotA [Methylotenera mobilis JLW8]|GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1_ASM2370v1_protein	GCA_000023705.1	ASM2370v1	ACT48168.1	ACT48168.1 flagellar motor protein MotA	Methylotenera mobilis JLW8	Methylotenera	mobilis	JLW8
ACL72454.1 MotA/TolQ/ExbB proton channel [Thioalkalivibrio sulfidiphilus HL-EbGr7]|GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1_ASM2198v1_protein	GCA_000021985.1	ASM2198v1	ACL72454.1	ACL72454.1 MotA/TolQ/ExbB proton channel	Thioalkalivibrio sulfidiphilus HL-EbGr7	Thioalkalivibrio	sulfidiphilus	HL-EbGr7
BAC14501.1 motility protein A (flagellar motor rotation) [Oceanobacillus iheyensis HTE831]|GCA_000011245.1_ASM1124v1_protein	GCA_000011245.1_ASM1124v1_protein	GCA_000011245.1	ASM1124v1	BAC14501.1	BAC14501.1 motility protein A (flagellar motor rotation)	Oceanobacillus iheyensis HTE831	Oceanobacillus	iheyensis	HTE831
CAD76169.1 chemotaxis pomA protein [Rhodopirellula baltica SH 1]|GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1_ASM19611v1_protein	GCA_000196115.1	ASM19611v1	CAD76169.1	CAD76169.1 chemotaxis pomA protein	Rhodopirellula baltica SH 1	Rhodopirellula	baltica	SH 1
KOQ92299.1 flagellar motor protein MotA [Pluralibacter gergoviae]|GCA_001276415.1_ASM127641v1_protein	GCA_001276415.1_ASM127641v1_protein	GCA_001276415.1	ASM127641v1	KOQ92299.1	KOQ92299.1 flagellar motor protein MotA	Pluralibacter gergoviae	Pluralibacter	gergoviae	
AAU48340.1 chemotaxis MotA protein [Burkholderia mallei ATCC 23344]|GCA_000011705.1_ASM1170v1_protein	GCA_000011705.1_ASM1170v1_protein	GCA_000011705.1	ASM1170v1	AAU48340.1	AAU48340.1 chemotaxis MotA protein	Burkholderia mallei ATCC 23344	Burkholderia	mallei	ATCC 23344
CAH37322.1 chemotaxis protein MotA [Burkholderia pseudomallei K96243]|GCA_000011545.1_ASM1154v1_protein	GCA_000011545.1_ASM1154v1_protein	GCA_000011545.1	ASM1154v1	CAH37322.1	CAH37322.1 chemotaxis protein MotA	Burkholderia pseudomallei K96243	Burkholderia	pseudomallei	K96243
ABC37631.1 chemotaxis MotA protein [Burkholderia thailandensis E264]|GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1_ASM1236v1_protein	GCA_000012365.1	ASM1236v1	ABC37631.1	ABC37631.1 chemotaxis MotA protein	Burkholderia thailandensis E264	Burkholderia	thailandensis	E264
ABZ98915.1 Chemotaxis MotA protein; putative membrane protein; putative signal peptide [Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)']|GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1_ASM1768v1_protein	GCA_000017685.1	ASM1768v1	ABZ98915.1	ABZ98915.1 Chemotaxis MotA protein; putative membrane protein; putative signal peptide	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira	biflexa	serovar Patoc strain 'Patoc 1 (Paris)'
AAN57256.1 stator-force generator of H+ coupled flagellar motor MotA [Shewanella oneidensis MR-1]|GCA_000146165.2_ASM14616v2_protein	GCA_000146165.2_ASM14616v2_protein	GCA_000146165.2	ASM14616v2	AAN57256.1	AAN57256.1 stator-force generator of H+ coupled flagellar motor MotA	Shewanella oneidensis MR-1	Shewanella	oneidensis	MR-1
