genomeID	domain	phylum	class	order	family	genus	species1	species2	locus_tag	location	ssu_len	contig_len
RS_GCF_017052595.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma_A	s__Mesomycoplasma_A	procyoni	[locus_tag=NZ_JAFIDB010000019.1]	[location=6..935]	[ssu_len=930]	[contig_len=935]
RS_GCF_029854295.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma_A	s__Mesomycoplasma_A	lagogenitalium	[locus_tag=NZ_CP122979.1]	[location=580845..582368]	[ssu_len=1524]	[contig_len=973223]
RS_GCF_012934855.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	phocoenae	[locus_tag=NZ_CP051481.1]	[location=554115..555629]	[ssu_len=1515]	[contig_len=693115]
RS_GCF_016924775.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	gypis	[locus_tag=NZ_JAFFTD010000001.1]	[location=172423..173938]	[ssu_len=1516]	[contig_len=373938]
RS_GCF_013008815.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	miroungirhinis	[locus_tag=NZ_CP053097.1]	[location=144167..145681]	[ssu_len=1515]	[contig_len=779550]
RS_GCF_018914005.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	zalophi_A	[locus_tag=NZ_JAHMHI010000005.1]	[location=54..883]	[ssu_len=830]	[contig_len=891]
RS_GCF_025486335.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	zalophi	[locus_tag=NZ_JAOOPZ010000003.1]	[location=25422..26938]	[ssu_len=1517]	[contig_len=132552]
RS_GCF_003688445.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	subdolum	[locus_tag=NZ_REFI01000005.1]	[location=134821..136336]	[ssu_len=1516]	[contig_len=209865]
RS_GCF_900660445.2	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	salivarium	[locus_tag=NZ_LR214938.2]	[location=712423..713941]	[ssu_len=1519]	[contig_len=728347]
RS_GCF_004365165.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	hyosynoviae	[locus_tag=NZ_SOCH01000002.1]	[location=130495..132009]	[ssu_len=1515]	[contig_len=289775]
RS_GCF_000420105.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	orale	[locus_tag=NZ_ATUH01000005.1]	[location=8741..10255]	[ssu_len=1515]	[contig_len=44775]
RS_GCF_900660715.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	arthritidis	[locus_tag=NZ_LR215047.1]	[location=191316..192833]	[ssu_len=1518]	[contig_len=806209]
RS_GCF_006385795.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	falconis	[locus_tag=NZ_VFSS01000021.1]	[location=4..1525]	[ssu_len=1522]	[contig_len=1525]
GB_GCA_000620005.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	spumans	[locus_tag=JHVF01000006.1]	[location=1..325]	[ssu_len=325]	[contig_len=46774]
RS_GCF_006491995.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	neophronis	[locus_tag=NZ_VHHP01000031.1]	[location=7..1525]	[ssu_len=1519]	[contig_len=1528]
RS_GCF_006385185.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	equirhinis	[locus_tag=NZ_VFIX01000016.1]	[location=7..1523]	[ssu_len=1517]	[contig_len=1526]
RS_GCF_003332325.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	phocae	[locus_tag=NZ_CP029295.1-			
RS_GCF_012934885.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	phocoeninasale	[locus_tag=NZ_CP051480.1]	[location=462649..464166]	[ssu_len=1518]	[contig_len=776009]
RS_GCF_000085865.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	hominis	[locus_tag=NC_013511.1]	[location=330275..331788]	[ssu_len=1514]	[contig_len=665445]
RS_GCF_003855455.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	struthionis	[locus_tag=NZ_CP034044.1]	[location=496565..498082]	[ssu_len=1518]	[contig_len=737591]
RS_GCF_025779955.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	enhydrae	[locus_tag=NZ_JAOXHI010000015.1]	[location=3175..4694]	[ssu_len=1520]	[contig_len=4731]
RS_GCF_003383595.3	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	phocicerebrale	[locus_tag=NZ_CP033058.2]	[location=247990..249509]	[ssu_len=1520]	[contig_len=740800]
RS_GCF_900660725.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	arginini_A	[locus_tag=NZ_LR215044.1]	[location=441473..442991]	[ssu_len=1519]	[contig_len=712140]
RS_GCF_000828855.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	canadense	[locus_tag=NZ_AP014631.1]	[location=330573..332091]	[ssu_len=1519]	[contig_len=693241]
RS_GCF_900476125.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	alkalescens	[locus_tag=NZ_LS991949.1]	[location=502085..503602]	[ssu_len=1518]	[contig_len=821059]
RS_GCF_000367765.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	auris_A	[locus_tag=NZ_AORI01000012.1]	[location=33011..34528]	[ssu_len=1518]	[contig_len=128240]
RS_GCF_003253435.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	auris	[locus_tag=NZ_QKUB01000001.1]	[location=167070..168587]	[ssu_len=1518]	[contig_len=170748]
RS_GCF_000702805.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	anseris	[locus_tag=NZ_JNJX01000009.1]	[location=36989..38503]	[ssu_len=1515]	[contig_len=41475]
RS_GCF_900660735.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma	cloacale	[locus_tag=NZ_LR215049.1]	[location=394969..396484]	[ssu_len=1516]	[contig_len=689509]
RS_GCF_900660575.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_B	s__Mycoplasmopsis_B	pulmonis	[locus_tag=NZ_LR215008.1]	[location=799737..801259]	[ssu_len=1523]	[contig_len=951507]
RS_GCF_002245785.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_B	s__Mycoplasmopsis_B	testudinea	[locus_tag=NZ_NNCE01000002.1]	[location=47377..48894]	[ssu_len=1518]	[contig_len=169341]
RS_GCF_002276225.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_B	s__Mycoplasmopsis_B	agassizii_A	[locus_tag=NZ_NQNY01000003.1]	[location=91362..92877]	[ssu_len=1516]	[contig_len=107399]
RS_GCF_002272945.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_B	s__Mycoplasmopsis_B	agassizii	[locus_tag=NZ_NQMN01000001.1]	[location=636503..638018]	[ssu_len=1516]	[contig_len=654010]
RS_GCF_000687815.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_H	s__Mycoplasma_H	elephantis	[locus_tag=NZ_JHXU01000013.1]	[location=15685..17198]	[ssu_len=1514]	[contig_len=23104]
RS_GCF_024498255.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasma_H	s__Mycoplasma_H	equigenitalium	[locus_tag=NZ_CP101808.1]	[location=630670..632183]	[ssu_len=1514]	[contig_len=806532]
RS_GCF_000712185.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	opalescens	[locus_tag=NZ_JOOB01000014.1]	[location=9007..10517]	[ssu_len=1511]	[contig_len=24323]
RS_GCF_018913985.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	zalophidermidis	[locus_tag=NZ_JAHMHK010000010.1]	[location=2457..3328]	[ssu_len=872]	[contig_len=3329]
RS_GCF_013008635.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	miroungigenitalium	[locus_tag=NZ_CP053096.1]	[location=74742..76320]	[ssu_len=1579]	[contig_len=815486]
RS_GCF_004216495.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	phocirhinis	[locus_tag=NZ_CP034841.1]	[location=163771..165281]	[ssu_len=1511]	[contig_len=865472]
RS_GCF_000702705.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	simbae	[locus_tag=NZ_JNJG01000002.1]	[location=3266..4776]	[ssu_len=1511]	[contig_len=4823]
RS_GCF_000695835.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	californica	[locus_tag=NZ_CP007521.1]	[location=555690..557201]	[ssu_len=1512]	[contig_len=793841]
RS_GCF_002356075.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	bovigenitalium_A	[locus_tag=NZ_AP017902.1]	[location=61335..62847]	[ssu_len=1513]	[contig_len=853553]
RS_GCF_900660525.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	bovigenitalium	[locus_tag=NZ_LR214970.1]	[location=254928..256440]	[ssu_len=1513]	[contig_len=841512]
RS_GCF_006546935.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	mucosicanis	[locus_tag=NZ_SMDN01000024.1]	[location=3252..4762]	[ssu_len=1511]	[contig_len=4805]
RS_GCF_000686585.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	lipofaciens	[locus_tag=NZ_JMKY01000005.1]	[location=137464..138974]	[ssu_len=1511]	[contig_len=139000]
RS_GCF_900660665.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	maculosa	[locus_tag=NZ_LR215037.1]	[location=26425..27938]	[ssu_len=1514]	[contig_len=909262]
RS_GCF_000687775.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	felifaucium	[locus_tag=NZ_JHXS01000037.1]	[location=401..1170]	[ssu_len=770]	[contig_len=1171]
RS_GCF_016925555.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	tauri	[locus_tag=NZ_CP070479.1]	[location=537310..538821]	[ssu_len=1512]	[contig_len=764150]
RS_GCF_000702785.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	primatum	[locus_tag=NZ_JNJV01000027.1]	[location=5489..7053]	[ssu_len=1565]	[contig_len=13990]
GB_GCA_005061465.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	bovis_A	[locus_tag=LAUS01000004.1]	[location=41623..43134]	[ssu_len=1512]	[contig_len=254357]
RS_GCF_000183385.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	bovis	[locus_tag=NC_014760.1]	[location=321094..322605]	[ssu_len=1512]	[contig_len=1003404]
RS_GCF_000266865.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	agalactiae_A	[locus_tag=NZ_AJPR01000004.1]	[location=3076..4586]	[ssu_len=1511]	[contig_len=71585]
RS_GCF_000063605.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	agalactiae	[locus_tag=NC_009497.1]	[location=620011..621522]	[ssu_len=1512]	[contig_len=877438]
RS_GCF_021384925.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	agalactiae_B	[locus_tag=NZ_JAGRRE010000010.1]	[location=19610..21120]	[ssu_len=1511]	[contig_len=363850]
RS_GCF_024498215.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	caviae	[locus_tag=NZ_CP101806.1-			
RS_GCF_000209735.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	fermentans	[locus_tag=NC_021002.1]	[location=905067..906577]	[ssu_len=1511]	[contig_len=1004014]
RS_GCF_000621085.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	gallinarum	[locus_tag=NZ_JHZE01000014.1]	[location=2133..3642]	[ssu_len=1510]	[contig_len=7525]
RS_GCF_900660695.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	meleagridis	[locus_tag=NZ_LR215042.1]	[location=144424..145936]	[ssu_len=1513]	[contig_len=644173]
RS_GCF_000701805.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	iners	[locus_tag=NZ_JNJW01000023.1]	[location=45..1559]	[ssu_len=1515]	[contig_len=2356]
RS_GCF_900660705.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	columbinasalis	[locus_tag=NZ_LR215043.1-			
RS_GCF_900660685.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis	s__Mycoplasmopsis	columbina	[locus_tag=NZ_LR215041.1]	[location=284734..286245]	[ssu_len=1512]	[contig_len=776661]
RS_GCF_000178375.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	alligatoris	[locus_tag=NZ_ADNC01000027.1]	[location=256291..257793]	[ssu_len=1503]	[contig_len=318011]
RS_GCF_000025845.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	crocodyli	[locus_tag=NC_014014.1]	[location=161583..163083]	[ssu_len=1501]	[contig_len=934379]
RS_GCF_900660655.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	anatis	[locus_tag=NZ_LR215035.1]	[location=869692..871195]	[ssu_len=1504]	[contig_len=978241]
RS_GCF_007858495.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	anserisalpingitidis_A	[locus_tag=NZ_CP041663.1]	[location=634805..636308]	[ssu_len=1504]	[contig_len=919993]
RS_GCF_007859615.1	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mycoplasmopsis_A	s__Mycoplasmopsis_A	anserisalpingitidis	[locus_tag=NZ_CP042295.1]	[location=932521..934024]	[ssu_len=1504]	[contig_len=959110]
