	i	protID	spname	symM3	symM2	symM1	sym0	sym1	sym2	sym3	strandM3	strandM2	strandM1	strand0	strand1	strand2	strand3	accM3	accM2	accM1	acc0	acc1	acc2	acc3	nameM3	nameM2	nameM1	name0	name1	name2	name3	genome_dir	gene_order_table_fn
11	12	BAC58952.1	Vibrio parahaemolyticus RIMD 2210633	VP0686	VP0687	VP0688	VP0689	VP0690	VP0691	VP0692	-	-	-	+	+	+	+	BAC58949.1	BAC58950.1	BAC58951.1	BAC58952.1	BAC58953.1	BAC58954.1	BAC58955.1	1-deoxyxylulose-5-phosphate synthase	geranyltranstransferase	"exodeoxyribonuclease, small subunit"	sodium-driven polar flagellar protein MotA	sodium-driven polar flagellar protein MotB	thiamin biosynthesis protein ThiI	"transcriptional regulator, LysR family"	GCA_000196095.1_ASM19609v1	genomes/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_feature_table.txt
12	13	QTD53836.1	Sulfidibacter corallicola	galE	pseB						+	-	+	+	+	+	+	QTD53833.1	QTD53834.1	QTD53835.1	QTD53836.1	QTD53837.1	QTD53838.1	QTD53839.1	UDP-glucose 4-epimerase GalE	"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)"	HEAT repeat domain-containing protein	MotA/TolQ/ExbB proton channel family protein	OmpA family protein	hypothetical protein	ACP S-malonyltransferase	GCA_017498545.1_ASM1749854v1	genomes/GCA_017498545.1_ASM1749854v1/GCA_017498545.1_ASM1749854v1_feature_table.txt
13	14	ATX82900.1	Mariprofundus ferrinatatus	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ATX82897.1	ATX82898.1	ATX82899.1	ATX82900.1	ATX82901.1	ATX82902.1	ATX82903.1	Flagellar hook-length control protein FliK	flagellar basal-body rod modification protein FlgD	flagellar hook protein FlgE	chemotaxis protein MotA	chemotaxis protein MotB	chemotaxis protein MotB	flagellar FliL protein	GCA_002795825.1_ASM279582v1	genomes/GCA_002795825.1_ASM279582v1/GCA_002795825.1_ASM279582v1_feature_table.txt
14	15	ATX78565.1	Mariprofundus aestuarium	NA	NA	NA	NA	NA	NA	NA	+	+	+	+	+	+	+	ATX78562.1	ATX78563.1	ATX78564.1	ATX78565.1	ATX78566.1	ATX78567.1	ATX78568.1	hook-length control protein FliK	flagellar basal-body rod modification protein FlgD	flagellar hook protein FlgE	chemotaxis protein MotA	Flagellar motor protein MotB	chemotaxis protein MotB	flagellar FliL protein	GCA_002795805.1_ASM279580v1	genomes/GCA_002795805.1_ASM279580v1/GCA_002795805.1_ASM279580v1_feature_table.txt
15	16	ALF47869.1	Campylobacter concisus		dfp	glmU	motP	motS	fliP		+	+	+	-	-	-	-	ALF47872.1	ALF47871.1	ALF47870.1	ALF47869.1	ALF47868.1	ALF47867.1	ALF47866.1	hypothetical protein	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	flagellar motor protein	flagellar motor protein	"flagellar export apparatus, flagellar biosynthetic protein FliP"	"type I secretion system, outer membrane protein, TolC family"	GCA_001298465.1_ASM129846v1	genomes/GCA_001298465.1_ASM129846v1/GCA_001298465.1_ASM129846v1_feature_table.txt
16	18	USF23676.1	Mucispirillum schaedleri ASF457		ansA	tme	pomA	motB		fliN	-	+	+	-	-	-	-	USF23679.1	USF23678.1	USF23677.1	USF23676.1	USF23675.1	USF23674.1	USF23673.1	hypothetical protein	L-asparaginase 1	NADP-dependent malic enzyme	Chemotaxis protein PomA	Motility protein B	hypothetical protein	Flagellar motor switch protein FliN	GCA_000487995.2_ASM48799v2	genomes/GCA_000487995.2_ASM48799v2/GCA_000487995.2_ASM48799v2_feature_table.txt
17	19	QAR32385.1	Geovibrio thiophilus								+	+	+	+	+	+	+	QAR32382.1	QAR32383.1	QAR32384.1	QAR32385.1	QAR32386.1	QAR32387.1	QAR32388.1	flagellar hook-length control protein FliK	hypothetical protein	flagellar hook-basal body complex protein	motility protein A	flagellar motor protein MotB	flagellar basal body protein FliL	FliM/FliN family flagellar motor switch protein	GCA_004087915.1_ASM408791v1	genomes/GCA_004087915.1_ASM408791v1/GCA_004087915.1_ASM408791v1_feature_table.txt
18	21	ATO49114.1	Brevibacillus laterosporus DSM 25								-	+	-	-	-	-	-	ATO49116.1	ATO52008.1	ATO49115.1	ATO49114.1	ATO49113.1	ATO49112.1	ATO49111.1	flagellar protein FliT	N-acetyltransferase	erythromycin biosynthesis sensory transduction protein eryC1	chemotaxis protein	chemotaxis protein	cold-shock protein	ribosomal subunit interface protein	GCA_002706795.1_ASM270679v1	genomes/GCA_002706795.1_ASM270679v1/GCA_002706795.1_ASM270679v1_feature_table.txt
19	22	CAL34488.1	Campylobacter jejuni subsp. jejuni NCTC 11168 			polA	motA	motB	flhB	ahpC	+	+	-	-	-	+	+	CAL34491.1	CAL34490.1	CAL34489.1	CAL34488.1	CAL34487.1	CAL34486.1	CAL34485.1	putative nucleoside hydrolase	putative MFS (Major Facilitator Superfamily) transport protein	DNA polymerase I	putative flagellar motor proton channel	putative flagellar motor protein	flagellar biosynthetic protein	alkyl hydroperoxide reductase	GCA_000009085.1_ASM908v1	genomes/GCA_000009085.1_ASM908v1/GCA_000009085.1_ASM908v1_feature_table.txt
20	23	AOO65115.1	Sulfurospirillum halorespirans DSM 13726								+	+	+	-	-	-	-	AOO65118.1	AOO65117.1	AOO65116.1	AOO65115.1	AOO65114.1	AOO65113.1	AOO65112.1	"RND efflux system, inner membrane transporter CmeB"	"RND efflux system, membrane fusion protein CmeA"	"transcriptional regulator, TetR family"	flagellar motor rotation protein MotA	flagellar motor rotation protein MotB	"ABC transporter, ATP-binding protein"	hypothetical protein	GCA_001723605.1_ASM172360v1	genomes/GCA_001723605.1_ASM172360v1/GCA_001723605.1_ASM172360v1_feature_table.txt
21	26	ADC89566.1	Thermocrinis albus DSM 14484								-	-	-	+	+	+	+	ADC89563.1	ADC89564.1	ADC89565.1	ADC89566.1	ADC89567.1	ADC89568.1	ADC89569.1	band 7 protein	hypothetical protein	tryptophanyl-tRNA synthetase	MotA/TolQ/ExbB proton channel	OmpA/MotB domain protein	protein of unknown function UPF0079	Carbamoyl-phosphate synthase L chain ATP- binding protein	GCA_000025605.1_ASM2560v1	genomes/GCA_000025605.1_ASM2560v1/GCA_000025605.1_ASM2560v1_feature_table.txt
22	27	QOY88866.1	Paludibaculum fermentans								+	-	+	+	+	+	-	QOY88863.1	QOY88864.1	QOY88865.1	QOY88866.1	QOY88867.1	QOY88868.1	QOY88869.1	hypothetical protein	FliM/FliN family flagellar motor switch protein	flagellar FlbD family protein	flagellar motor protein	OmpA family protein	flagellin FliC	hypothetical protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
23	29	AFL88473.1	Terriglobus roseus DSM 18391	NA	NA	NA	NA	NA	NA	NA	-	+	+	+	+	-	+	AFL88470.1	AFL88471.1	AFL88472.1	AFL88473.1	AFL88474.1	AFL88475.1	AFL88476.1	acetylornithine deacetylase/succinyldiaminopimelate desuccinylase-like deacylase	methylase involved in ubiquinone/menaquinone biosynthesis	"uncharacterized protein, possibly involved in motility"	flagellar motor component	flagellar motor protein	putative membrane-associated protein	hypothetical protein	GCA_000265425.1_ASM26542v1	genomes/GCA_000265425.1_ASM26542v1/GCA_000265425.1_ASM26542v1_feature_table.txt
24	31	QKS28544.1	Candidatus Accumulibacter similis	flhF				motD		flgM	+	+	+	+	+	-	-	QKS28541.1	QKS28542.1	QKS28543.1	QKS28544.1	QKS28545.1	QKS28546.1	QKS28547.1	flagellar biosynthesis protein FlhF	MinD/ParA family protein	RNA polymerase sigma factor FliA	flagellar motor protein	flagellar motor protein MotD	flagellar protein FlgN	flagellar biosynthesis anti-sigma factor FlgM	GCA_013347225.1_ASM1334722v1	genomes/GCA_013347225.1_ASM1334722v1/GCA_013347225.1_ASM1334722v1_feature_table.txt
25	33	BCB96091.1	Dissulfurispira thermophila	fliD_2	fliS						+	+	+	+	+	+	+	BCB96088.1	BCB96089.1	BCB96090.1	BCB96091.1	BCB96092.1	BCB96093.1	BCB96094.1	flagellar hook-associated protein 2	flagellar protein FliS	hypothetical protein	chemotaxis protein MotA	chemotaxis protein MotB	pilus assembly protein PilZ	flagellar motor stator protein MotA	GCA_014701235.1_ASM1470123v1	genomes/GCA_014701235.1_ASM1470123v1/GCA_014701235.1_ASM1470123v1_feature_table.txt
26	35	ADL42743.1	Caldicellulosiruptor obsidiansis OB47								-	-	-	-	-	-	-	ADL42746.1	ADL42745.1	ADL42744.1	ADL42743.1	ADL42742.1	ADL42741.1	ADL42740.1	protein of unknown function DUF1385	"protein-(glutamine-N5) methyltransferase, release factor-specific"	peptide chain release factor 1	MotA/TolQ/ExbB proton channel	OmpA/MotB domain protein	zinc/iron permease	Sua5/YciO/YrdC/YwlC family protein	GCA_000145215.1_ASM14521v1	genomes/GCA_000145215.1_ASM14521v1/GCA_000145215.1_ASM14521v1_feature_table.txt
27	36	QOY85398.1	Paludibaculum fermentans	rlmB					rnc		-	+	+	+	+	-	-	QOY85395.1	QOY85396.1	QOY85397.1	QOY85398.1	QOY85399.1	QOY85400.1	QOY85401.1	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	MerR family transcriptional regulator	flagellar FlbD family protein	flagellar motor protein	OmpA family protein	ribonuclease III	hypothetical protein	GCA_015277775.1_ASM1527777v1	genomes/GCA_015277775.1_ASM1527777v1/GCA_015277775.1_ASM1527777v1_feature_table.txt
28	37	AAR36419.1	Geobacter sulfurreducens PCA			flbD	motA	motB			+	+	+	+	+	-	-	AAR36416.2	AAR36417.1	AAR36418.1	AAR36419.1	AAR36420.1	AAR36421.1	AAR36422.1	hypothetical protein	"ADP-heptose--lipopolysaccharide heptosyltransferase, putative"	flagellar protein FlbD	flagellar basal body stator protein MotA	flagellar basal body stator protein MotB	"[acyl-]glycerolphosphate acyltransferase and acyl-(acyl carrier protein) ligase, major facilitator superfamily domain-containing"	metal-dependent hydrolase superfamily protein	GCA_000007985.2_ASM798v2	genomes/GCA_000007985.2_ASM798v2/GCA_000007985.2_ASM798v2_feature_table.txt
29	39	ACL65905.1	Anaeromyxobacter dehalogenans 2CP-1								+	+	+	+	+	-	-	ACL65902.1	ACL65903.1	ACL65904.1	ACL65905.1	ACL65906.1	ACL65907.1	ACL65908.1	flagellar hook capping protein	protein of unknown function DUF1078 domain protein	flagellar FlbD family protein	MotA/TolQ/ExbB proton channel	OmpA/MotB domain protein	response regulator receiver modulated CheB methylesterase	"MCP methyltransferase, CheR-type"	GCA_000022145.1_ASM2214v1	genomes/GCA_000022145.1_ASM2214v1/GCA_000022145.1_ASM2214v1_feature_table.txt
30	40	BAM06016.1	Leptospirillum ferrooxidans C2-3	cheA		cheW	motA	ompA/motB			+	+	+	+	+	+	+	BAM06013.1	BAM06014.1	BAM06015.1	BAM06016.1	BAM06017.1	BAM06018.1	BAM06019.1	signal transduction histidine kinase	putative methyl-accepting chemotaxis sensory transducer	putative chemotaxis protein	flagellar motor component	putative flagellar motor protein	hypothetical protein	hypothetical protein	GCA_000284315.1_ASM28431v1	genomes/GCA_000284315.1_ASM28431v1/GCA_000284315.1_ASM28431v1_feature_table.txt
31	41	ALA58549.1	Nitrospira moscoviensis		cheW		motA	motB			-	-	+	-	-	-	-	ALA58552.1	ALA58551.1	ALA58550.1	ALA58549.1	ALA58548.1	ALA58547.1	ALA58546.1	putative Methyl-accepting chemotaxis protein (MCP)	Chemotaxis signal transducer CheW	hypothetical protein	Flagellar motor protein MotA	Flagellar motor protein MotB	"putative Response regulator, CheY-like"	putative Methyl-accepting chemotaxis protein	GCA_001273775.1_ASM127377v1	genomes/GCA_001273775.1_ASM127377v1/GCA_001273775.1_ASM127377v1_feature_table.txt
32	42	UBQ06690.1	Tepidimonas taiwanensis								-	-	+	-	-	-	-	UBQ06692.1		UBQ06691.1	UBQ06690.1	UBQ06689.1	UBQ06688.1	UBQ06687.1	inorganic phosphate transporter	DEAD/DEAH box helicase	GMP reductase	MotA/TolQ/ExbB proton channel family protein	OmpA family protein	UvrD-helicase domain-containing protein	FAD-binding oxidoreductase	GCA_020162115.1_ASM2016211v1	genomes/GCA_020162115.1_ASM2016211v1/GCA_020162115.1_ASM2016211v1_feature_table.txt
33	43	ATX82928.1	Mariprofundus ferrinatatus	NA	NA	NA	NA	NA	NA	NA	-	-	-	+	+	-	+	ATX82925.1	ATX82926.1	ATX82927.1	ATX82928.1	ATX82929.1	ATX82930.1	ATX82931.1	hypothetical protein	hypothetical protein	Adenylate and Guanylate cyclase catalytic domain-containing protein	chemotaxis protein MotA	chemotaxis protein MotB	"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"	flagellar biosynthetic protein FliQ	GCA_002795825.1_ASM279582v1	genomes/GCA_002795825.1_ASM279582v1/GCA_002795825.1_ASM279582v1_feature_table.txt
34	44	ATX78592.1	Mariprofundus aestuarium	NA	NA	NA	NA	NA	NA	NA	-	+	-	+	+	-	+	ATX78589.1	ATX78590.1	ATX78591.1	ATX78592.1	ATX78593.1	ATX78594.1	ATX78595.1	Tetratricopeptide repeat-containing protein	hypothetical protein	"Adenylate cyclase, class 3"	chemotaxis protein MotA	chemotaxis protein MotB	"DNA-binding transcriptional response regulator, NtrC family"	flagellar biosynthetic protein FliQ	GCA_002795805.1_ASM279580v1	genomes/GCA_002795805.1_ASM279580v1/GCA_002795805.1_ASM279580v1_feature_table.txt
35	45	UPH48256.1	Listeria innocua	flgG			motA	motB			+	+	+	+	+	+	+	UPH48253.1	UPH48254.1	UPH48255.1	UPH48256.1	UPH48257.1	UPH48258.1	UPH48259.1	flagellar basal-body rod protein FlgG	protein-glutamate O-methyltransferase CheR	DUF3964 family protein	flagellar motor stator protein MotA	flagellar motor protein MotB	hypothetical protein	glycosyltransferase	GCA_004636665.2_ASM463666v2	genomes/GCA_004636665.2_ASM463666v2/GCA_004636665.2_ASM463666v2_feature_table.txt
36	46	ALU34477.1	Clostridium autoethanogenum DSM 10061								+	+	-	-	-	+	-	ALU34480.1	ALU34479.1	ALU34478.1	ALU34477.1	ALU34476.1	ALU34475.1	ALU34474.1	putative signal transduction protein	Major facilitator superfamily MFS_1	Hypothetical protein	MotA/TolQ/ExbB proton channel	Motility protein B N-terminal domain-containing protein	Rubrerythrin	Glycosyl transferase group 1	GCA_001484725.1_ASM148472v1	genomes/GCA_001484725.1_ASM148472v1/GCA_001484725.1_ASM148472v1_feature_table.txt
37	47	ATO49967.1	Brevibacillus laterosporus DSM 25								+	-	+	+	+	-	+	ATO52062.1	ATO49965.1	ATO49966.1	ATO49967.1	ATO49968.1	ATO49969.1	ATO52063.1	hypothetical protein	hypothetical protein	polysaccharide deacetylase	flagellar motor protein MotA	flagellar motor protein MotB	lysine transporter LysE	GntR family transcriptional regulator	GCA_002706795.1_ASM270679v1	genomes/GCA_002706795.1_ASM270679v1/GCA_002706795.1_ASM270679v1_feature_table.txt
38	48	CAB13242.1	Bacillus subtilis subsp. subtilis str. 168	qswA	ykvI	clpE	motA	motB	mhqR	kinD	+	+	-	-	-	+	-		CAB13244.1	CAB13243.1	CAB13242.1	CAB13241.1	CAB13240.1	CAB13239.1	preQ1 riboswitch	putative transporter	ATP-dependent Clp protease (class III stress gene)	motility protein A; MotA component of the H+-coupled stator flagellum complex	motility protein B; MotB component of the H+-coupled stator flagellum complex	transcriptional regulator (MarR family)	histidine kinase phosphorylating Spo0A	GCA_000009045.1_ASM904v1	genomes/GCA_000009045.1_ASM904v1/GCA_000009045.1_ASM904v1_feature_table.txt
39	49	AJH79515.1	Weizmannia coagulans DSM 1 							yfkM	-	+	-	-	-	-	-	AJH77978.1	AJH77837.1	AJH79186.1	AJH79515.1	AJH78804.1	AJH79975.1	AJH79559.1	hypothetical protein	hypothetical protein	hypothetical protein	motA/TolQ/ExbB proton channel family protein	membrane MotB of proton-channel complex MotA/MotB family protein	hypothetical protein	general stress protein 18	GCA_000832905.1_ASM83290v1	genomes/GCA_000832905.1_ASM83290v1/GCA_000832905.1_ASM83290v1_feature_table.txt
40	50	QAT63225.1	Tissierella sp. JN-28								-	-	+	-	-	+	-	QAT63228.1	QAT63227.1	QAT63226.1	QAT63225.1	QAT63224.1	QAT63223.1	QAT63222.1	L-sorbose 1-phosphate reductase	S58 family peptidase	ABC-F family ATP-binding cassette domain-containing protein	motility protein A	hypothetical protein	ATP-binding cassette domain-containing protein	hypothetical protein	GCA_004103715.1_ASM410371v1	genomes/GCA_004103715.1_ASM410371v1/GCA_004103715.1_ASM410371v1_feature_table.txt
41	52	QDU26963.1	Anatilimnocola aggregata	flgD	flgE		pomA		coaX	obg_1	-	-	-	-	-	+	+	QDU26966.1	QDU26965.1	QDU26964.1	QDU26963.1	QDU26962.1	QDU26961.1	QDU26960.1	Basal-body rod modification protein FlgD	Flagellar hook protein FlgE	Flagellar protein (FlbD)	Chemotaxis protein PomA	flagellar motor protein MotS	Type III pantothenate kinase	GTPase Obg	GCA_007747655.1_ASM774765v1	genomes/GCA_007747655.1_ASM774765v1/GCA_007747655.1_ASM774765v1_feature_table.txt
42	53	ADB18997.1	Pirellula staleyi DSM 6068								+	+	+	+	+	+	+	ADB18994.1	ADB18995.1	ADB18996.1	ADB18997.1	ADB18998.1	ADB18999.1	ADB19000.1	flagellar hook capping protein	flagellar basal body FlaE domain protein	flagellar FlbD family protein	MotA/TolQ/ExbB proton channel	OmpA/MotB domain protein	flagellar basal body-associated protein FliL	flagellar motor switch protein FliN	GCA_000025185.1_ASM2518v1	genomes/GCA_000025185.1_ASM2518v1/GCA_000025185.1_ASM2518v1_feature_table.txt
43	55	CAD76169.1	Rhodopirellula baltica SH 1			flbD	pomA	motB		fliN	+	+	+	+	+	+	+	CAD76166.1	CAD76167.1	CAD76168.1	CAD76169.1	CAD76170.1	CAD76171.1	CAD76172.1	conserved hypothetical protein-putative NAD-dependent aldehyde dehydrogenase	hypothetical protein	probable flagellar protein (flbD) homolog	chemotaxis pomA protein	probable MotB homolog	similar to dihydrolipoamide acetyltransferase	flagellar motor switch protein fliN (fragment)	GCA_000196115.1_ASM19611v1	genomes/GCA_000196115.1_ASM19611v1/GCA_000196115.1_ASM19611v1_feature_table.txt
44	57	QFG02534.1	Tepidiforma bonchosmolovskayae							fliN	-	-	-	-	-	-	-	QFG02536.1	QFG04307.1	QFG02535.1	QFG02534.1	QFG02533.1	QFG02532.1	QFG02531.1	PAC2 family protein	GntR family transcriptional regulator	flagellar protein FlbD	flagellar motor protein	OmpA family protein	flagellar basal body-associated FliL family protein	flagellar motor switch protein FliN	GCA_008838325.1_ASM883832v1	genomes/GCA_008838325.1_ASM883832v1/GCA_008838325.1_ASM883832v1_feature_table.txt
45	59	ALU36624.1	Clostridium autoethanogenum DSM 10061				motA			rsmI	+	+	+	+	+	+	+	ALU36621.1	ALU36622.1	ALU36623.1	ALU36624.1	ALU36625.1	ALU36626.1	ALU36627.1	PSP1 domain protein	Heavy metal transport/detoxification protein	4Fe-4S ferredoxin iron-sulpur binding domain-containing protein	Chemotaxis protein MotA	Motility protein B	Methyltransferase	Ribosomal RNA small subunit methyltransferase I	GCA_001484725.1_ASM148472v1	genomes/GCA_001484725.1_ASM148472v1/GCA_001484725.1_ASM148472v1_feature_table.txt
46	60	APC08935.1	Moorella thermoacetica	dpnM_2	pfkA1_2		pomA_3	motB_3		fldI_5	+	-	-	+	+	+	+	APC08932.1	APC08933.1	APC08934.1	APC08935.1	APC08936.1	APC08937.1	APC08938.1	modification methylase DpnIIA	6-phosphofructokinase 1	hypothetical protein	chemotaxis protein PomA	motility protein B	"2-hydroxyglutaryl-CoA dehydratase, D-component"	R-phenyllactate dehydratase activator	GCA_001874605.1_ASM187460v1	genomes/GCA_001874605.1_ASM187460v1/GCA_001874605.1_ASM187460v1_feature_table.txt
47	61	CCW35905.1	Chthonomonas calidirosea T49								+	+	+	+	+	+	-	CCW35902.1	CCW35903.1	CCW35904.1	CCW35905.1	CCW35906.1	CCW35907.1	CCW35908.1	flagellar operon protein	fagellar hook-basal body proteins	"Uncharacterized protein, possibly involved in motility"	Flagellar motor component	Flagellar motor protein	Flagellar basal body-associated protein	transcription elongation factor GreA	GCA_000427095.1_T49	genomes/GCA_000427095.1_T49/GCA_000427095.1_T49_feature_table.txt
48	62	APC07539.1	Moorella thermoacetica		lgt_1	atzC	pomA_1	motB_1	eam	yabI	-	+	+	-	-	+	+	APC07542.1	APC07541.1	APC07540.1	APC07539.1	APC07538.1	APC07537.1	APC07536.1	hypothetical protein	prolipoprotein diacylglyceryl transferase	N-isopropylammelide isopropyl amidohydrolase	chemotaxis protein PomA	motility protein B	"glutamate 2,3-aminomutase"	inner membrane protein YabI	GCA_001874605.1_ASM187460v1	genomes/GCA_001874605.1_ASM187460v1/GCA_001874605.1_ASM187460v1_feature_table.txt
49	64	CAB14951.1	Bacillus subtilis subsp. subtilis str. 168	brxJ	aroX	ccpA	motP	motS	acuC	acuB	-	-	-	-	-	+	+	CAB14954.1	CAB14953.1	CAB14952.1	CAB14951.1	CAB14950.1	CAB14949.1	CAB14948.1	bacilliredoxin involved in debacillithiolation	bifunctional chorismate mutase type II-isozyme 3 (regulatory domain); 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase	transcriptional regulator of catabolite repression (Lacl family)	sodium channel stator-force generator subunit of flagellar rotation	sodium channel stator-force generator peptidoglycan binding subunit of flagellar rotation	protein deacetylase (regulates AcsA activity)	component of the acetyl-coenzyme A synthetase regulation pathway	GCA_000009045.1_ASM904v1	genomes/GCA_000009045.1_ASM904v1/GCA_000009045.1_ASM904v1_feature_table.txt
