#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-36A0BE5FC7C4AF6C-23FDB0AC43438DB5
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-05-27T23:15:41	Run time	0:00:02:28
#status	success

Num	Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
88	ABC77078.1 chemotaxis protein [Syntrophus aciditrophicus SB]	superfamily	444982	19	300	1.36865e-156	438.098	cl00568	MotA_ExbB superfamily	 - 	 - 
89	BCB96094.1 flagellar motor stator protein MotA [Dissulfurispira thermophila]	superfamily	444982	1	282	8.58657e-151	422.69	cl00568	MotA_ExbB superfamily	 - 	 - 
90	ACI21445.1 lateral flagellar motor protein MotA [Thermodesulfovibrio yellowstonii DSM 11347]	superfamily	444982	1	283	1.53344e-156	437.328	cl00568	MotA_ExbB superfamily	 - 	 - 
91	QOY85080.1 flagellar motor stator protein MotA [Paludibaculum fermentans]	superfamily	444982	1	280	1.01659e-133	379.933	cl00568	MotA_ExbB superfamily	 - 	 - 
92	ACO33337.1 putative chemotaxis MotA protein [Acidobacterium capsulatum ATCC 51196]	superfamily	444982	1	281	7.31838e-153	428.468	cl00568	MotA_ExbB superfamily	 - 	 - 
93	QOY88835.1 flagellar motor stator protein MotA [Paludibaculum fermentans]	superfamily	444982	1	281	2.25214e-146	411.519	cl00568	MotA_ExbB superfamily	 - 	 - 
94	QOY86330.1 flagellar motor stator protein MotA [Paludibaculum fermentans]	superfamily	444982	1	282	2.72917e-139	393.8	cl00568	MotA_ExbB superfamily	 - 	 - 
95	AEI89251.1 flagellar motor protein MotA [Candidatus Midichloria mitochondrii IricVA]	superfamily	444982	6	280	3.02009e-93	276.66	cl00568	MotA_ExbB superfamily	 - 	 - 
96	AEI88772.1 flagellar motor protein MotA duplicate [Candidatus Midichloria mitochondrii IricVA]	superfamily	444982	2	250	1.95955e-117	337.136	cl00568	MotA_ExbB superfamily	 - 	 - 
97	QNQ09341.1 flagellar motor stator protein MotA [Sphingomonas alpina]	superfamily	444982	1	287	1.59222e-144	406.857	cl00568	MotA_ExbB superfamily	 - 	 - 
98	ADE87210.1 chemotaxis protein MotA [Rhodobacter capsulatus SB 1003]	superfamily	444982	11	284	1.38501e-165	460.4	cl00568	MotA_ExbB superfamily	 - 	 - 
99	ADL02462.1 MotA/TolQ/ExbB proton channel [Brevundimonas subvibrioides ATCC 15264]	superfamily	444982	1	285	8.3944e-155	433.051	cl00568	MotA_ExbB superfamily	 - 	 - 
100	ACL94252.1 flagellar motor stator protein MotA [Caulobacter vibrioides NA1000]	superfamily	444982	1	284	3.49873e-149	418.799	cl00568	MotA_ExbB superfamily	 - 	 - 
101	AIQ89863.1 Flagellar motor rotation protein MotA [Methylobacterium oryzae CBMB20]	superfamily	444982	2	180	3.07261e-91	268.185	cl00568	MotA_ExbB superfamily	N	 - 
102	ABQ62189.1 chemotaxis motA protein [Brucella ovis ATCC 25840]	superfamily	444982	52	332	1.6919e-161	452.311	cl00568	MotA_ExbB superfamily	 - 	 - 
103	AIK95837.1 flagellar motor protein MotA [Candidatus Paracaedibacter acanthamoebae]	superfamily	444982	1	282	6.12027e-145	408.053	cl00568	MotA_ExbB superfamily	 - 	 - 
104	AIQ92722.1 Flagellar motor rotation protein MotA [Methylobacterium oryzae CBMB20]	superfamily	444982	1	279	4.40561e-143	403.43	cl00568	MotA_ExbB superfamily	 - 	 - 
105	CDK98316.1 putative Motility protein A [Magnetospirillum gryphiswaldense MSR1 v2]	superfamily	444982	1	282	1.42217e-144	406.897	cl00568	MotA_ExbB superfamily	 - 	 - 
106	AEO48360.1 motA chemotaxis motility protein A [Rhodospirillum rubrum F11]	superfamily	444982	29	298	2.07398e-142	402.275	cl00568	MotA_ExbB superfamily	 - 	 - 
107	QKY95842.1 flagellar motor stator protein MotA [Shigella sonnei]	superfamily	444982	1	283	6.26545e-177	489.29	cl00568	MotA_ExbB superfamily	 - 	 - 
108	AAC74960.1 motility protein A [Escherichia coli str. K12 substr. MG1655]	superfamily	444982	1	283	6.99528e-178	491.601	cl00568	MotA_ExbB superfamily	 - 	 - 
109	QXB11670.1 flagellar motor stator protein MotA [Klebsiella aerogenes]	superfamily	444982	1	283	7.93625e-176	486.594	cl00568	MotA_ExbB superfamily	 - 	 - 
110	AJJ54987.1 flagellar motor stator protein MotA [Yersinia pseudotuberculosis IP 32953]	superfamily	444982	1	283	0	508.935	cl00568	MotA_ExbB superfamily	 - 	 - 
111	AJJ32465.1 flagellar motor stator protein MotA [Yersinia pestis]	superfamily	444982	1	283	0	508.935	cl00568	MotA_ExbB superfamily	 - 	 - 
112	QKS29226.1 MAG: flagellar motor stator protein MotA [Candidatus Accumulibacter similis]	superfamily	444982	1	282	6.80475e-140	395.301	cl00568	MotA_ExbB superfamily	 - 	 - 
113	ATU66302.1 flagellar motor stator protein MotA [Rhizobacter gummiphilus]	superfamily	444982	1	284	9.55054e-158	440.37	cl00568	MotA_ExbB superfamily	 - 	 - 
114	UBQ05764.1 flagellar motor stator protein MotA [Tepidimonas taiwanensis]	superfamily	444982	1	283	5.19924e-153	428.429	cl00568	MotA_ExbB superfamily	 - 	 - 
115	APW43194.1 flagellar motor stator protein MotA [Rhodoferax saidenbachensis]	superfamily	444982	1	283	6.03298e-151	423.036	cl00568	MotA_ExbB superfamily	 - 	 - 
116	APW42908.1 flagellar motor stator protein MotA [Rhodoferax saidenbachensis]	superfamily	444982	1	284	2.06817e-144	406.472	cl00568	MotA_ExbB superfamily	 - 	 - 
117	ACX76601.1 hypothetical protein Fisuc_3021 [Fibrobacter succinogenes subsp. succinogenes S85]	superfamily	173534	287	599	2.984e-05	47.4736	cl31759	PTZ00341 superfamily	N	 - 
118	ACX76639.1 hypothetical protein Fisuc_3059 [Fibrobacter succinogenes subsp. succinogenes S85]	superfamily	411476	87	456	2.1703e-18	87.1257	cl44459	antiphage_ZorA_2 superfamily	N	 - 
118	ACX76639.1 hypothetical protein Fisuc_3059 [Fibrobacter succinogenes subsp. succinogenes S85]	superfamily	130057	419	560	0.00025128	43.7103	cl27183	3a0801s03tim44 superfamily	C	 - 
119	ABL66229.1 hypothetical protein Cpha266_2232 [Chlorobium phaeobacteroides DSM 266]	superfamily	411475	31	197	5.02347e-14	71.1742	cl41521	antiphage_ZorA_1 superfamily	C	 - 
120	AOO66357.1 hypothetical protein SHALO_2598 [Sulfurospirillum halorespirans DSM 13726]	superfamily	444982	110	199	0.000447884	40.5536	cl00568	MotA_ExbB superfamily	 - 	 - 
120	AOO66357.1 hypothetical protein SHALO_2598 [Sulfurospirillum halorespirans DSM 13726]	superfamily	223496	292	680	0.000641238	43.2103	cl33865	SbcC superfamily	NC	 - 
127	ACO34195.1 signal recognition particledocking protein FtsY [Acidobacterium capsulatum ATCC 51196]	superfamily	453896	6	320	1.11222e-163	458.408	cl38936	P-loop_NTPase superfamily	 - 	 - 
128	AEV97736.1 OmpA/MotB domain protein [Niastella koreensis GR2010]	superfamily	181618	83	280	3.29897e-39	138.605	cl32340	PRK09038 superfamily	 - 	 - 
128	AEV97736.1 OmpA/MotB domain protein [Niastella koreensis GR2010]	superfamily	224117	24	140	1.76784e-05	46.246	cl34174	Smc superfamily	NC	 - 
130	AHZ83417.1 motility protein A [Bdellovibrio bacteriovorus]	superfamily	224210	1	255	5.89786e-47	157.37	cl42821	MotA superfamily	 - 	 - 
131	BAM05883.1 hypothetical protein LFE_0155 [Leptospirillum ferrooxidans C23]	superfamily	226165	13	93	0.000150653	43.0496	cl34652	PhnE superfamily	C	 - 
131	BAM05883.1 hypothetical protein LFE_0155 [Leptospirillum ferrooxidans C23]	superfamily	411476	30	266	0.0006155	41.287	cl44459	antiphage_ZorA_2 superfamily	N	 - 
132	BAH37227.1 hypothetical membrane protein [Gemmatimonas aurantiaca T27]	superfamily	411477	146	569	2.40152e-22	101.06	cl41522	antiphage_ZorA_3 superfamily	 - 	 - 
133	QIZ70514.1 hypothetical protein HCG48_07910 [Oxynema aestuarii AP17]	superfamily	411476	113	421	3.93997e-12	68.2509	cl44459	antiphage_ZorA_2 superfamily	N	 - 
133	QIZ70514.1 hypothetical protein HCG48_07910 [Oxynema aestuarii AP17]	superfamily	274009	289	605	2.33203e-06	50.8367	cl37070	SMC_prok_A superfamily	C	 - 
136	AEV99079.1 multisensor hybrid histidine kinase [Niastella koreensis GR2010]	superfamily	236848	481	1189	7.76991e-78	276.345	cl35992	PRK11107 superfamily	N	 - 
136	AEV99079.1 multisensor hybrid histidine kinase [Niastella koreensis GR2010]	superfamily	444710	41	161	4.54593e-28	109.99	cl00144	chemoreceptor_sensor superfamily	 - 	 - 
136	AEV99079.1 multisensor hybrid histidine kinase [Niastella koreensis GR2010]	superfamily	451285	302	428	2.32825e-13	68.2619	cl21515	GAF superfamily	 - 	 - 
136	AEV99079.1 multisensor hybrid histidine kinase [Niastella koreensis GR2010]	superfamily	226809	431	520	2.62565e-07	54.6458	cl34756	COG4372 superfamily	NC	 - 
136	AEV99079.1 multisensor hybrid histidine kinase [Niastella koreensis GR2010]	superfamily	445244	220	267	0.000109629	41.0795	cl01054	HAMP superfamily	 - 	 - 
137	ALU35076.1 MotA/TolQ/ExbB proton channel [Clostridium autoethanogenum DSM 10061]	superfamily	223881	20	206	1.55147e-09	55.7815	cl42820	TolQ superfamily	 - 	 - 
138	BCB95963.1 flagellar motor protein MotA [Dissulfurispira thermophila]	superfamily	223881	1	207	1.77433e-17	77.7378	cl42820	TolQ superfamily	 - 	 - 
139	AVM44306.1 hypothetical protein C5Q97_06090 [Victivallales bacterium CCUG 44730]	superfamily	223881	44	188	4.85493e-14	67.7226	cl42820	TolQ superfamily	 - 	 - 
140	APW42573.1 biopolymer transporter ExbD [Rhodoferax saidenbachensis]	superfamily	223881	57	159	7.02322e-13	63.4854	cl42820	TolQ superfamily	N	 - 
141	AAG05312.1 hypothetical protein PA1924 [Pseudomonas aeruginosa PAO1]	superfamily	223881	53	157	2.37705e-16	72.7302	cl42820	TolQ superfamily	N	 - 
142	QVL34843.1 MotA/TolQ/ExbB proton channel family protein [Telmatocola sphagniphila]	superfamily	223881	1	186	3.88454e-15	70.419	cl42820	TolQ superfamily	 - 	 - 
143	ADY61698.1 MotA/TolQ/ExbB proton channel [Rubinisphaera brasiliensis DSM 5305]	superfamily	223881	43	207	2.1548e-13	66.567	cl42820	TolQ superfamily	 - 	 - 
144	ADV63425.1 hypothetical protein Isop_2860 [Isosphaera pallida ATCC 43644]	superfamily	432349	286	460	0.00547128	39.4364	cl37832	DUF3584 superfamily	NC	 - 
145	QIZ73618.1 flagellar motor protein MotA [Oxynema aestuarii AP17]	superfamily	411476	143	426	2.33397e-06	49.3762	cl44459	antiphage_ZorA_2 superfamily	N	 - 
145	QIZ73618.1 flagellar motor protein MotA [Oxynema aestuarii AP17]	superfamily	223881	51	233	0.000913684	40.3735	cl42820	TolQ superfamily	 - 	 - 
146	QDU28596.1 hypothetical protein ETAA8_36990 [Anatilimnocola aggregata]	superfamily	444982	243	353	0.000162193	41.324	cl00568	MotA_ExbB superfamily	 - 	 - 
146	QDU28596.1 hypothetical protein ETAA8_36990 [Anatilimnocola aggregata]	superfamily	448344	23	57	0.000390332	38.1171	cl11777	zinc_ribbon_4 superfamily	 - 	 - 
147	ADB15801.1 hypothetical protein Psta_1118 [Pirellula staleyi DSM 6068]	superfamily	444982	159	259	0.00136101	37.8573	cl00568	MotA_ExbB superfamily	 - 	 - 
148	QTD50492.1 MotA/TolQ/ExbB proton channel family protein [Sulfidibacter corallicola]	superfamily	444982	378	476	0.000118014	41.7092	cl00568	MotA_ExbB superfamily	N	 - 
150	QVL33268.1 MotA/TolQ/ExbB proton channel family protein [Telmatocola sphagniphila]	superfamily	444982	124	235	7.54604e-06	44.0204	cl00568	MotA_ExbB superfamily	 - 	 - 
