feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	26164	26442	-					rplW		EP01_RS00190	279		old_locus_tag=EP01_00195
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	26164	26442	-	WP_011165350.1	WP_011165350.1		50S ribosomal protein L23	rplW		EP01_RS00190	279	92	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	26442	27071	-					rplD		EP01_RS00195	630		old_locus_tag=EP01_00200
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	26442	27071	-	WP_038448235.1	WP_038448235.1		50S ribosomal protein L4	rplD		EP01_RS00195	630	209	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	27073	27735	-					rplC		EP01_RS00200	663		old_locus_tag=EP01_00205
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	27073	27735	-	WP_038448236.1	WP_038448236.1		50S ribosomal protein L3	rplC		EP01_RS00200	663	220	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	27745	28062	-					rpsJ		EP01_RS00205	318		old_locus_tag=EP01_00210
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	27745	28062	-	WP_011165353.1	WP_011165353.1		30S ribosomal protein S10	rpsJ		EP01_RS00205	318	105	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	28270	30375	-					fusA		EP01_RS00210	2106		old_locus_tag=EP01_00215
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	28270	30375	-	WP_011165354.1	WP_011165354.1		elongation factor G	fusA		EP01_RS00210	2106	701	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	30385	30858	-					rpsG		EP01_RS00215	474		old_locus_tag=EP01_00220
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	30385	30858	-	WP_011165355.1	WP_011165355.1		30S ribosomal protein S7	rpsG		EP01_RS00215	474	157	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	30869	31243	-					rpsL		EP01_RS00220	375		old_locus_tag=EP01_00225
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	30869	31243	-	WP_038448237.1	WP_038448237.1		30S ribosomal protein S12	rpsL		EP01_RS00220	375	124	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	31426	35553	-					rpoC		EP01_RS00225	4128		old_locus_tag=EP01_00230
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	31426	35553	-	WP_011165357.1	WP_011165357.1		DNA-directed RNA polymerase subunit beta'	rpoC		EP01_RS00225	4128	1375	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	35583	39791	-					rpoB		EP01_RS00230	4209		old_locus_tag=EP01_00235
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	35583	39791	-	WP_038448238.1	WP_038448238.1		DNA-directed RNA polymerase subunit beta	rpoB		EP01_RS00230	4209	1402	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	40055	40810	+							EP01_RS00235	756		old_locus_tag=EP01_00245
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	40055	40810	+	WP_011165359.1	WP_011165359.1		hypothetical protein			EP01_RS00235	756	251	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	41189	41557	-					rplL		EP01_RS00240	369		old_locus_tag=EP01_00250
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	41189	41557	-	WP_011165361.1	WP_011165361.1		50S ribosomal protein L7/L12	rplL		EP01_RS00240	369	122	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	41640	42170	-					rplJ		EP01_RS00245	531		old_locus_tag=EP01_00255
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	41640	42170	-	WP_226988014.1	WP_226988014.1		50S ribosomal protein L10	rplJ		EP01_RS00245	531	176	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	42406	43110	-					rplA		EP01_RS00250	705		old_locus_tag=EP01_00260
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	42406	43110	-	WP_011165363.1	WP_011165363.1		50S ribosomal protein L1	rplA		EP01_RS00250	705	234	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	43123	43545	-					rplK		EP01_RS00255	423		old_locus_tag=EP01_00265
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	43123	43545	-	WP_038448239.1	WP_038448239.1		50S ribosomal protein L11	rplK		EP01_RS00255	423	140	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	43608	44141	-					nusG		EP01_RS00260	534		old_locus_tag=EP01_00270
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	43608	44141	-	WP_011165365.1	WP_011165365.1		transcription termination/antitermination protein NusG	nusG		EP01_RS00260	534	177	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44152	44529	-					secE		EP01_RS00265	378		old_locus_tag=EP01_00275
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44152	44529	-	WP_011165366.1	WP_011165366.1		preprotein translocase subunit SecE	secE		EP01_RS00265	378	125	
gene	tRNA	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44562	44637	-							EP01_RS00270	76		old_locus_tag=EP01_00280
tRNA		GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44562	44637	-				tRNA-Trp			EP01_RS00270	76		anticodon=CCA
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44835	46025	-					tuf		EP01_RS00275	1191		old_locus_tag=EP01_00285
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	44835	46025	-	WP_038448240.1	WP_038448240.1		elongation factor Tu	tuf		EP01_RS00275	1191	396	
gene	tRNA	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46087	46161	-							EP01_RS00280	75		old_locus_tag=EP01_00290
tRNA		GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46087	46161	-				tRNA-Thr			EP01_RS00280	75		anticodon=GGT
gene	tRNA	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46177	46253	-							EP01_RS00285	77		old_locus_tag=EP01_00295
tRNA		GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46177	46253	-				tRNA-Gly			EP01_RS00285	77		anticodon=TCC
gene	tRNA	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46326	46411	-							EP01_RS00290	86		old_locus_tag=EP01_00300
tRNA		GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46326	46411	-				tRNA-Tyr			EP01_RS00290	86		anticodon=GTA
gene	tRNA	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46439	46514	-							EP01_RS00295	76		old_locus_tag=EP01_00305
tRNA		GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46439	46514	-				tRNA-Thr			EP01_RS00295	76		anticodon=TGT
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46582	47475	-							EP01_RS00300	894		old_locus_tag=EP01_00310
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	46582	47475	-	WP_038448241.1	WP_038448241.1		RNA methyltransferase			EP01_RS00300	894	297	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	47462	48181	-					pyrF		EP01_RS00305	720		old_locus_tag=EP01_00315
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	47462	48181	-	WP_011165369.1	WP_011165369.1		orotidine-5'-phosphate decarboxylase	pyrF		EP01_RS00305	720	239	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	48330	48569	+							EP01_RS00310	240		old_locus_tag=EP01_00325
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	48330	48569	+	WP_011165370.1	WP_011165370.1		hypothetical protein			EP01_RS00310	240	79	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	48612	49049	-							EP01_RS00315	438		old_locus_tag=EP01_00330
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	48612	49049	-	WP_011165371.1	WP_011165371.1		HAMP domain-containing protein			EP01_RS00315	438	145	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	49152	50009	-							EP01_RS00320	858		old_locus_tag=EP01_00335
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	49152	50009	-	WP_011165372.1	WP_011165372.1		alpha/beta hydrolase-fold protein			EP01_RS00320	858	285	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	50410	51423	-							EP01_RS00325	1014		old_locus_tag=EP01_00340
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	50410	51423	-	WP_011165373.1	WP_011165373.1		hypothetical protein			EP01_RS00325	1014	337	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	51596	52597	-					purM		EP01_RS00330	1002		old_locus_tag=EP01_00345
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	51596	52597	-	WP_038448242.1	WP_038448242.1		phosphoribosylformylglycinamidine cyclo-ligase	purM		EP01_RS00330	1002	333	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	52609	54132	-					purH		EP01_RS00335	1524		old_locus_tag=EP01_00350
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	52609	54132	-	WP_038448243.1	WP_038448243.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		EP01_RS00335	1524	507	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	54129	54875	-							EP01_RS00340	747		old_locus_tag=EP01_00355
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	54129	54875	-	WP_038448244.1	WP_038448244.1		phosphoribosylformylglycinamidine synthase subunit PurQ			EP01_RS00340	747	248	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	54859	57888	-							EP01_RS00345	3030		old_locus_tag=EP01_00360
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	54859	57888	-	WP_038448245.1	WP_038448245.1		AIR synthase-related protein			EP01_RS00345	3030	1009	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	57891	58502	-					purN		EP01_RS00350	612		old_locus_tag=EP01_00365
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	57891	58502	-	WP_038448246.1	WP_038448246.1		phosphoribosylglycinamide formyltransferase	purN		EP01_RS00350	612	203	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	58499	59737	-					purD		EP01_RS00355	1239		old_locus_tag=EP01_00370
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	58499	59737	-	WP_038448247.1	WP_038448247.1		phosphoribosylamine--glycine ligase	purD		EP01_RS00355	1239	412	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	59734	60768	-							EP01_RS00360	1035		old_locus_tag=EP01_00375
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	59734	60768	-	WP_038448248.1	WP_038448248.1		hypothetical protein			EP01_RS00360	1035	344	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	60765	61478	-							EP01_RS18795	714		old_locus_tag=EP01_00380
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	60765	61478	-	WP_038448249.1	WP_038448249.1		AIR carboxylase family protein			EP01_RS18795	714	237	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	61475	62914	-					purF		EP01_RS00370	1440		old_locus_tag=EP01_00385
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	61475	62914	-	WP_011165382.1	WP_011165382.1		amidophosphoribosyltransferase	purF		EP01_RS00370	1440	479	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	63221	64681	-							EP01_RS00375	1461		old_locus_tag=EP01_00390
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	63221	64681	-	WP_011165383.1	WP_011165383.1		hypothetical protein			EP01_RS00375	1461	486	
gene	protein_coding	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	64685	65047	-							EP01_RS00380	363		old_locus_tag=EP01_00395
CDS	with_protein	GCF_000691605.1	Primary Assembly	chromosome		NZ_CP007656.1	64685	65047	-	WP_038448250.1	WP_038448250.1		hypothetical protein			EP01_RS00380	363	120	
