assembly	organism	refAccession	refStart	refEnd	refStrand	refDesc	senseMinusThreeAccession	senseMinusThreeStart	senseMinusThreeEnd	senseMinusThreeStrand	senseMinusThreeDesc	senseMinusTwoAccession	senseMinusTwoStart	senseMinusTwoEnd	senseMinusTwoStrand	senseMinusTwoDesc	senseMinusOneAccession	senseMinusOneStart	senseMinusOneEnd	senseMinusOneStrand	senseMinusOneDesc	sensePlusOneAccession	sensePlusOneStart	sensePlusOneEnd	sensePlusOneStrand	sensePlusOneDesc	sensePlusTwoAccession	sensePlusTwoStart	sensePlusTwoEnd	sensePlusTwoStrand	sensePlusTwoDesc	sensePlusThreeAccession	sensePlusThreeStart	sensePlusThreeEnd	sensePlusThreeStrand	sensePlusThreeDesc	antisenseMinusThreeAccession	antisenseMinusThreeStart	antisenseMinusThreeEnd	antisenseMinusThreeStrand	antisenseMinusThreeDesc	antisenseMinusTwoAccession	antisenseMinusTwoStart	antisenseMinusTwoEnd	antisenseMinusTwoStrand	antisenseMinusTwoDesc	antisenseMinusOneAccession	antisenseMinusOneStart	antisenseMinusOneEnd	antisenseMinusOneStrand	antisenseMinusOneDesc	antisensePlusOneAccession	antisensePlusOneStart	antisensePlusOneEnd	antisensePlusOneStrand	antisensePlusOneDesc	antisensePlusTwoAccession	antisensePlusTwoStart	antisensePlusTwoEnd	antisensePlusTwoStrand	antisensePlusTwoDesc	antisensePlusThreeAccession	antisensePlusThreeStart	antisensePlusThreeEnd	antisensePlusThreeStrand	antisensePlusThreeDesc
GCA_000007985.2_ASM798v2	Geobacter sulfurreducens PCA (d-proteobacteria)	AAR36419	3331283	3332047	+	flagellar basal body stator protein MotA	AAR36418	3330984	3331262	+	flagellar protein FlbD	AAR36417	3329365	3330918	+	"ADP-heptose--lipopolysaccharide heptosyltransferase, putative"	AAR36416	3328046	3329368	+	hypothetical protein	AAR36420	3332057	3332857	+	flagellar basal body stator protein MotB	AAR36423	3337478	3339013	+	sigma-54-dependent transcriptional regulator	AAR36452	3363762	3364373	+	"transcriptional regulator, TetR family"	AAR36424	3339010	3340668	-	hypothetical protein	AAR36422	3336360	3337337	-	metal-dependent hydrolase superfamily protein	AAR36421	3332933	3336343	-	"[acyl-]glycerolphosphate acyltransferase and acyl-(acyl carrier protein) ligase, major facilitator superfamily domain-containing"	AAR36408	3305621	3311098	-	"metalloprotease domain protein, M6 family"	AAR36407	3305082	3305462	-	flagellar protein FlaG	AAR36405	3303254	3303874	-	GTPase EngB
GCA_000008625.1_ASM862v1	Aquifex aeolicus VF5 (aquificales)	AAC07083	658796	660499	-	NH(3)-dependent NAD+ synthetase	AAC07057	663518	664198	-	hypothetical protein	AAC07045	662201	663505	-	heterodisulfide reductase	AAC07046	660510	662204	-	hydrogenase large subunit	AAC07041	654542	655630	-	chorismate mutase/prephenate dehydratase	AAC07038	645310	645783	-	putative protein	AAC07040	644552	645313	-	hypothetical protein	AAC07048	658313	659230	+	phosphotidylglycerophosphate synthase	AAC07056	657836	658306	+	hypothetical protein	AAC07042	657066	657836	+	type-I signal peptidase	AAC07066	666041	666550	+	putative protein	AAC07065	666538	668499	+	organic solvent tolerance protein	AAC07063	669174	669761	+	thymidylate kinase
GCA_000008625.1_ASM862v1	Aquifex aeolicus VF5 (aquificales)	AAC07752	1370896	1372578	-	serine protease	AAC07741	1376132	1377250	-	putative protein	AAC07740	1375108	1375890	-	putative protein	AAC07739	1373638	1374096	-	putative protein	AAC07716	1354860	1356425	-	N-methylhydantoinase B	AAC07720	1354174	1354863	-	putative protein	AAC07721	1352290	1353285	-	hypothetical protein	AAC07724	1366175	1370899	+	RNA polymerase beta prime subunit	AAC07723	1361772	1366178	+	RNA polymerase beta subunit	AAC07728	1361173	1361559	+	ribosomal protein L7/L12	AAC07738	1372613	1373650	+	putative protein	AAC07737	1374064	1374528	+	ribosomal protein L19	AAC07736	1374521	1375111	+	RNase HII
GCA_000009045.1_ASM904v1	Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB13242	1434433	1435245	-	motility protein A; MotA component of the H+-coupled stator flagellum complex	CAB13254	1447662	1447847	-	conserved protein of unknown function (HGT island)	CAB13249	1442347	1442703	-	putative transcriptional regulator (HGT island)	CAB13243	1435628	1437727	-	ATP-dependent Clp protease (class III stress gene)	CAB13241	1433676	1434461	-	motility protein B; MotB component of the H+-coupled stator flagellum complex	CAB13239	1431486	1433006	-	histidine kinase phosphorylating Spo0A	CAB13236	1430161	1430481	-	conserved hypothetical protein	CAB13240	1433199	1433636	+	transcriptional regulator (MarR family)	CAB13238	1431027	1431458	+	putative small membrane protein	CAB13237	1430684	1430941	+	negative regulatory phosphatase acting on Spo0A-P (sporulation)	CAB13244	1438092	1439135	+	putative transporter	CAB13245	1439448	1440107	+	pre-queuosine 0 synthase	CAB13246	1440100	1440549	+	"6-carboxy-5,6,7,8-tetrahydropterin synthase; queuosine biosynthesis"
GCA_000009045.1_ASM904v1	Bacillus subtilis subsp. subtilis str. 168 (firmicutes)	CAB14951	3043284	3044102	-	sodium channel stator-force generator subunit of flagellar rotation	CAB14954	3046757	3047083	-	bacilliredoxin involved in debacillithiolation	CAB14953	3045445	3046521	-	bifunctional chorismate mutase type II-isozyme 3 (regulatory domain); 3-deoxy-D-arabino-heptulosonate 7-phosphate synthase	CAB14952	3044165	3045169	-	transcriptional regulator of catabolite repression (Lacl family)	CAB14950	3042566	3043294	-	sodium channel stator-force generator peptidoglycan binding subunit of flagellar rotation	CAB14946	3038213	3039931	-	acetyl-CoA synthetase	CAB14945	3036603	3037871	-	tyrosyl-tRNA synthetase	CAB14949	3041392	3042555	+	protein deacetylase (regulates AcsA activity)	CAB14948	3040751	3041395	+	component of the acetyl-coenzyme A synthetase regulation pathway	CAB14947	3040092	3040724	+	protein acetyltransferase (acetylates AcsA)	CAB14963	3054746	3055192	+	putative enzyme with sugar binding fold	CAB14965	3056479	3056796	+	conserved protein of unknown function	CAB14969	3060395	3060673	+	conserved protein of unknown function
GCA_000009085.1_ASM908v1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34348	176043	176804	+	biopolymer transport protein	CAL34347	173764	176031	+	putative TonB-denpendent outer membrane receptor	CAL34346	172916	173767	+	putative iron transport protein	CAL34340	167050	167794	+	hypothetical protein Cj0170	CAL34349	176791	177201	+	biopolymer transport protein	CAL34350	177203	177949	+	TonB transport protein	CAL34351	177995	179200	+	putative transmembrane transport protein	CAL34355	182068	182787	-	putative TerC family integral membrane protein	CAL34354	181866	182075	-	putative phnA domain protein	CAL34353	180702	181856	-	putative serine/threonine protein phosphatase	CAL34345	172563	172694	-	putative lipoprotein	CAL34344	171562	172566	-	"putative iron-uptake ABC transport system,periplasmic iron-binding protein"	CAL34343	169946	171562	-	putative iron-uptake ABC transport system permease protein
GCA_000009085.1_ASM908v1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (e-proteobacteria)	CAL34488	304938	305714	-	putative flagellar motor proton channel	CAL34493	311302	314127	-	excinuclease ABC subunit A	CAL34492	310854	311297	-	putative integral membrane protein	CAL34489	305730	308369	-	DNA polymerase I	CAL34487	304192	304935	-	putative flagellar motor protein	CAL34484	301892	302176	-	ferredoxin	CAL34483	301366	301779	-	nucleoside diphosphate kinase	CAL34486	303098	304186	+	flagellar biosynthetic protein	CAL34485	302383	302979	+	alkyl hydroperoxide reductase	CAL34478	298536	298886	+	putative endoribonuclease L-PSP family protein	CAL34490	308533	309894	+	putative MFS (Major Facilitator Superfamily) transport protein	CAL34491	309891	310898	+	putative nucleoside hydrolase	CAL34495	315108	315233	+	hypothetical protein Cj0344
GCA_000009905.1_ASM990v1	Symbiobacterium thermophilum IAM 14863 (firmicutes)	BAD41956	3196270	3197067	-	flagellar motor protein MotA	BAD41960	3198980	3200410	-	flagellar hook-associated protein	BAD41959	3198563	3198946	-	flagellar protein	BAD41957	3197157	3197984	-	flagellin	BAD41955	3195363	3196265	-	flagellar motor protein MotB	BAD41954	3195005	3195283	-	conserved hypothetical protein	BAD41953	3194603	3194896	-	conserved hypothetical protein	BAD41949	3186928	3188646	+	methyl-accepting chemotaxis protein	BAD41947	3184964	3185947	+	cation efflux system protein	BAD41946	3184256	3184846	+	transcriptional regulator	BAD41958	3198232	3198573	+	hypothetical protein	BAD42001	3238260	3238784	+	conserved hypothetical protein	BAD42005	3241740	3242615	+	ABC transporter permease protein
GCA_000010205.1_ASM1020v1	Orientia tsutsugamushi str. Ikeda (a-proteobacteria)	BAG40198	766027	766716	+	TolQ protein	BAG40196	764458	764622	+	hypothetical protein	BAG40193	760487	761350	+	peptide chain release factor RF-2	BAG40190	755840	756700	+	hypothetical protein	BAG40199	766722	767180	+	TolR protein	BAG40200	767167	768396	+	hypothetical protein	BAG40205	772501	775938	+	sensor histidine kinase/response regulator/transporter hybrid protein	BAG40203	770357	770866	-	hypothetical protein	BAG40202	769299	770333	-	sialoglycoprotease	BAG40201	768495	769286	-	inorganic polyphosphate/ATP-NAD kinase	BAG40197	764843	765856	-	delta-aminolevulinic acid dehydratase	BAG40195	763444	764127	-	hypothetical protein	BAG40194	761672	763201	-	hypothetical protein
GCA_000010305.1_ASM1030v1	Gemmatimonas aurantiaca T-27 (bacteria)	BAH37338	348164	349021	-	chemotaxis MotA protein	BAH37342	351496	351978	-	hypothetical protein	BAH37341	350046	351494	-	flagellar hook-associated protein 1	BAH37340	349738	350040	-	carbon storage regulator	BAH37337	347291	348160	-	chemotaxis MotB protein	BAH37335	344795	345937	-	hypothetical protein	BAH37334	344065	344784	-	putative ABC transporter ATP-binding protein	BAH37336	345921	347174	+	hypothetical protein	BAH37331	340838	341590	+	putative oxidoreductase	BAH37329	339631	340398	+	hypothetical protein	BAH37339	349058	349735	+	hypothetical protein	BAH37349	356775	357857	+	ABC transporter substrate binding protein	BAH37350	357854	358912	+	ABC transporter permease protein
GCA_000010305.1_ASM1030v1	Gemmatimonas aurantiaca T-27 (bacteria)	BAH38987	2272823	2273524	-	putative biopolymer transport protein	BAH38990	2276434	2276946	-	single-strand binding protein	BAH38989	2274687	2276243	-	hypothetical protein	BAH38988	2273563	2274531	-	nucleoside-diphosphate-sugar epimerase	BAH38986	2272406	2272819	-	putative biopolymer transport protein	BAH38985	2271660	2272409	-	hypothetical protein	BAH38984	2270332	2271594	-	hypothetical protein	BAH38971	2252447	2254279	+	peptidyl-prolyl cis-trans isomerase	BAH38948	2224111	2225127	+	D-beta-D-heptose 7-phosphate kinase	BAH38923	2199281	2199925	+	redox-sensing transcriptional repressor Rex	BAH38996	2282815	2284902	+	methyl-accepting chemotaxis protein	BAH38999	2288288	2289793	+	decarboxylase	BAH39002	2292181	2293191	+	zinc transporter
GCA_000010305.1_ASM1030v1	Gemmatimonas aurantiaca T-27 (bacteria)	BAH39052	2340916	2341641	-	putative biopolymer transport protein	BAH39055	2344176	2344844	-	OmpR family two-component response regulator	BAH39054	2342651	2344165	-	two-component histidine kinase	BAH39053	2341686	2342408	-	putative TonB protein	BAH39051	2340382	2340843	-	putative biopolymer transport protein	BAH39050	2339972	2340379	-	putative biopolymer transport protein	BAH39049	2339019	2339864	-	hypothetical protein	BAH39046	2334863	2335813	+	putative N-acetylglucosamine kinase	BAH39045	2333331	2334866	+	putative sodium/solute symporter	BAH39044	2331333	2333294	+	putative glucosamine-6-phosphate isomerase	BAH39058	2347965	2348435	+	heat shock protein Hsp20 family protein	BAH39060	2349166	2351013	+	putative response regulator	BAH39063	2353064	2354017	+	hypothetical protein
GCA_000011385.1_ASM1138v1	Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89082	1217896	1218558	-		BAC89091	1229418	1229786	-		BAC89088	1225575	1226015	-		BAC89083	1218679	1219740	-		BAC89081	1217452	1217883	-	ExbD/TolR family protein	BAC89080	1217114	1217335	-		BAC89079	1216812	1217114	-		BAC89066	1206939	1207157	+		BAC89065	1206492	1206932	+		BAC89063	1202678	1204192	+		BAC89084	1219938	1221842	+		BAC89085	1221925	1222515	+		BAC89086	1222550	1223935	+	
GCA_000011385.1_ASM1138v1	Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC89328	1491048	1491683	+		BAC89327	1488091	1490811	+		BAC89326	1484209	1486896	+		BAC89324	1481861	1482106	+		BAC89329	1491680	1492099	+		BAC89330	1492134	1492832	+		BAC89331	1493005	1494189	+	anion transporting ATPase	BAC89334	1495526	1496827	-	preprotein translocase subunit	BAC89333	1494864	1495526	-	adenylate kinase	BAC89332	1494254	1494622	-	RNA-binding protein	BAC89325	1482111	1484006	-		BAC89320	1477520	1478077	-		BAC89319	1476882	1477517	-	
GCA_000011385.1_ASM1138v1	Gloeobacter violaceus PCC 7421 (cyanobacteria)	BAC90343	2561704	2562339	+	MotA/TolQ/ExbB family proton channel protein	BAC90340	2559986	2561011	+		BAC90339	2558608	2559960	+	"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase"	BAC90338	2557915	2558601	+		BAC90344	2562336	2562758	+		BAC90345	2562721	2563491	+		BAC90347	2564897	2566339	+		BAC90352	2568761	2569534	-	methionine aminopeptidase	BAC90351	2568162	2568737	-		BAC90346	2563502	2564629	-	DNA repair and genetic recombination protein	BAC90342	2561369	2561473	-	photosystem I subunit XII	BAC90341	2561008	2561358	-		BAC90334	2554474	2554815	-	
GCA_000012685.1_ASM1268v1	Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF92421	328725	329477	-	tonB system transport protein ExbB/TolQ	ABF92860	331739	333130	-	"mercuric reductase, truncated"	ABF87275	330389	331708	-	putative membrane protein	ABF91400	329523	330332	-	"ferric siderophore transporter, periplasmic energy transduction protein TonB"	ABF87962	328334	328741	-	"biopolymer transport protein, ExbD/TolR family"	ABF89022	327897	328322	-	"tonB system transport protein, ExbD/TolR family"	ABF89166	324589	327819	-	TonB-dependent receptor	ABF86883	320326	320850	+	hypothetical protein	ABF90884	319125	320228	+	metallophosphoesterase	ABF90982	317893	319128	+	hypothetical protein	ABF89724	333632	333994	+	putative ribosome-binding factor A	ABF90287	333994	335148	+	conserved hypothetical protein	ABF92317	335489	336016	+	conserved hypothetical protein
GCA_000012685.1_ASM1268v1	Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF85904	933959	934639	+	MotA/TolQ/ExbB proton channel family protein	ABF89782	930636	933026	+	hypothetical protein	ABF88667	929554	930591	+	conserved domain protein	ABF87856	926887	929346	+	hypothetical protein	ABF91474	934643	935077	+	"transport energizing protein, ExbD/TolR family"	ABF85933	935094	935894	+	"ferric siderophore transporter, periplasmic energy transduction protein TonB"	ABF89354	936037	938799	+	tonB family protein	ABF91677	949869	950357	-	hypothetical protein	ABF89534	943478	944824	-	erythromycin esterase family protein	ABF89027	942022	942795	-	conserved hypothetical protein	ABF91834	933037	933846	-	"oxidoreductase, short chain dehydrogenase/reductase family"	ABF92520	930629	931069	-	putative lipoprotein	ABF93010	922533	923726	-	hypothetical protein
GCA_000012685.1_ASM1268v1	Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF92363	1706137	1706820	-	"transporter, MotA/TolQ/ExbB proton channel family"	ABF92386	1715205	1715867	-	hypothetical protein	ABF93145	1714617	1715198	-	hypothetical protein	ABF91848	1706892	1707644	-	putative TonB protein	ABF91353	1705595	1706011	-	"biopolymer transport protein, ExbD/TolR family"	ABF87672	1705095	1705595	-	"biopolymer transport protein, ExbD/TolR family"	ABF86654	1704393	1705016	-	hypothetical protein	ABF88199	1703818	1704492	+	hypothetical protein	ABF89662	1700576	1701961	+	putative NADH dehydrogenase	ABF92770	1698735	1699256	+	conserved hypothetical protein	ABF92713	1707666	1711064	+	TonB-dependent receptor	ABF90347	1711101	1711811	+	putative lipoprotein MlpA	ABF91237	1711943	1713487	+	radical SAM domain protein
GCA_000012685.1_ASM1268v1	Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF87376	3527483	3528265	+	MotA/TolQ/ExbB proton channel family protein	ABF88835	3523639	3527367	+	putative DNA protecting protein DprA/DNA topoisomerase I	ABF88559	3522288	3523523	+	LysM domain protein	ABF90596	3521431	3522291	+	putative lipoprotein	ABF88211	3528285	3528806	+	conserved hypothetical protein	ABF86827	3528810	3529391	+	hypothetical protein	ABF92331	3530098	3531471	+	gid protein	ABF86296	3546421	3546816	-	MaoC domain protein	ABF92766	3545936	3546415	-	conserved hypothetical protein	ABF87611	3529434	3529826	-	DksA-like protein	ABF87857	3520521	3520640	-	hypothetical protein	ABF92564	3518469	3520406	-	HAMP domain/GAF domain/GGDEF domain protein	ABF86636	3508963	3512055	-	"glycosyl transferase, group 1"
GCA_000012685.1_ASM1268v1	Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF91342	5852182	5852904	+	MotA/TolQ/ExbB proton channel family protein	ABF88117	5823559	5825160	+	hypothetical protein	ABF87219	5812992	5813585	+	conserved hypothetical protein TIGR00730	ABF89821	5812337	5812990	+	rhomboid family protein	ABF88650	5852923	5853375	+	"biopolymer transport protein, ExbD/TolR family"	ABF88126	5857851	5858966	+	response regulator	ABF86868	5861130	5862137	+	hypothetical protein	ABF86590	5856148	5856597	-	MaoC domain protein	ABF87604	5855486	5856151	-	MaoC domain protein	ABF85990	5853473	5855317	-	acyl-CoA dehydrogenase	ABF88093	5851302	5852138	-	hypothetical protein	ABF91352	5850485	5851240	-	"general secretion pathway protein E, N-terminal domain protein"	ABF89796	5849462	5850478	-	"general secretion pathway protein E, N-terminal domain protein"
