# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  IPR006665.hmm
# target sequence database:        /Users/nmat471/Downloads/z_genomes_wLitLinks_processing/genomes_wLitLinks+4+22.fasta
# MSA of all hits saved to file:   IPR006665_MotB_ExbD_TolR_hits_alned1.sto
# per-seq hits tabular output:     IPR006665_MotB_ExbD_TolR_seqHitsTable1.txt
# show alignments in output:       no
# domain inclusion threshold:      E-value <= 2
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       OmpA  [M=95]
Accession:   PF00691.23
Description: OmpA family
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    3.9e-23   86.6   0.2    6.3e-23   85.9   0.2    1.3  1  ABY97505.1      OmpF family protein [Pseudomonas putida GB-1]
      4e-23   86.5   0.1    6.6e-23   85.8   0.1    1.3  1  EAS74789.1      peptidoglycan-associated lipoprotein [Vibrio 
    4.3e-23   86.4   0.5    6.1e-23   85.9   0.5    1.2  1  KLP54260.1      membrane protein [Enterobacter genomosp. O]
    4.4e-23   86.4   0.0    8.1e-23   85.5   0.0    1.4  1  EHR41065.1      hypothetical protein AJE_08582 [Alishewanella
    4.6e-23   86.3   0.1    7.3e-23   85.7   0.1    1.3  1  CCG96173.1      Outer membrane protein and related peptidogly
      5e-23   86.2   0.0    7.9e-23   85.6   0.0    1.3  1  AVQ86730.1      peptidoglycan-associated lipoprotein Pal [Ple
      5e-23   86.2   0.0    7.9e-23   85.6   0.0    1.3  1  WP_010861919.1  MULTISPECIES: peptidoglycan-associated lipopr
      5e-23   86.2   0.0    1.2e-22   85.0   0.0    1.7  1  ACN15820.1      OmpA2 [Desulforapulum autotrophicum HRM2]
      5e-23   86.2   0.0    9.3e-23   85.3   0.0    1.5  1  POT57874.1      porin OmpA [Citrobacter amalonaticus]
    5.2e-23   86.2   0.1    8.8e-23   85.4   0.1    1.4  1  ABM19896.1      OmpA/MotB domain protein [Marinobacter nautic
    5.8e-23   86.0   0.0    1.1e-22   85.1   0.0    1.5  1  AAC74043.1      outer membrane protein A [Escherichia coli st
    5.8e-23   86.0   0.0    1.1e-22   85.1   0.0    1.5  1  AAP16471.1      outer membrane protein 3a (II*;G;d) [Shigella
    5.8e-23   86.0   0.1    9.2e-23   85.3   0.1    1.3  1  EDL52390.1      outer membrane protein OmpA [Vibrio mediterra
    6.1e-23   85.9   0.1    8.5e-23   85.5   0.1    1.2  1  AAL22505.1      putative outer membrane lipoprotein [Salmonel
    6.2e-23   85.9   0.1    7.7e-22   82.4   0.4    2.1  1  EGW21980.1      OmpA/MotB domain protein [Methylobacter tundr
    6.2e-23   85.9   1.2    3.4e-22   83.5   0.0    2.0  1  GAC35716.1      peptidoglycan-associated lipoprotein [Paragla
    6.4e-23   85.9   0.1    9.8e-23   85.3   0.1    1.3  1  ACH38043.1      peptidoglycan-binding inner membrane lipoprot
    6.6e-23   85.8   0.1    6.6e-23   85.8   0.1    2.4  1  AAY37042.1      OmpA/MotB [Pseudomonas syringae pv. syringae 
    6.7e-23   85.8   0.1    1.1e-22   85.1   0.1    1.3  1  CAG34957.1      probable outer membrane protein F [Desulfotal
    7.6e-23   85.6   0.0    1.2e-22   85.0   0.0    1.3  1  ABM20725.1      OmpA/MotB domain protein [Marinobacter nautic
    7.9e-23   85.6   0.0    1.5e-22   84.7   0.0    1.5  1  AAL20003.1      putative membrane component hydrogenase [Salm
    7.9e-23   85.6   0.2    1.5e-22   84.7   0.2    1.5  1  EAP92038.1      Outer membrane protein [Vibrio splendidus 12B
    8.1e-23   85.5   0.0    1.1e-22   85.1   0.0    1.2  1  AEP08854.1      peptidoglycan-associated lipoprotein [Micavib
    8.2e-23   85.5   0.1    2.5e-22   84.0   0.0    1.8  1  ACH38259.1      peptidoglycan-binding outer membrane protein,
    8.2e-23   85.5   0.0    1.5e-22   84.7   0.0    1.5  1  AHF77623.1      Outer membrane protein A [Sodalis praecaptivu
    8.7e-23   85.4   0.0    1.7e-22   84.5   0.0    1.5  1  CCJ71087.1      Outer membrane protein A precursor [Cronobact
    8.9e-23   85.4   0.1    1.3e-22   84.9   0.1    1.2  1  AAT48190.1      PF13488 family lipoprotein YiaD [Escherichia 
    8.9e-23   85.4   0.1    1.3e-22   84.9   0.1    1.2  1  CBG36682.1      putative outer membrane protein [Escherichia 
    9.3e-23   85.3   0.2    1.6e-22   84.6   0.2    1.4  1  CAC41711.1      Probable porin [Sinorhizobium meliloti 1021]
      1e-22   85.2   0.1    1.9e-22   84.3   0.1    1.4  1  BAC95038.1      peptidoglycan-associated lipoprotein [Vibrio 
    1.1e-22   85.1   0.1    1.7e-22   84.5   0.1    1.3  1  AAW87658.1      OmpA family domain protein [Aliivibrio fische
    1.1e-22   85.1   0.0    1.8e-22   84.5   0.0    1.3  1  CCG97017.1      putative outer membrane porin F precursor [Ma
    1.2e-22   85.0   0.2    1.8e-22   84.4   0.2    1.3  1  CCJ74475.1      Outer membrane protein A precursor [Cronobact
    1.3e-22   84.9   0.2    2.1e-22   84.2   0.2    1.3  1  ABA89616.1      peptidoglycan-binding outer membrane protein,
    1.3e-22   84.9   0.4      2e-22   84.3   0.4    1.3  1  ABI78589.1      OmpA family protein [Hyphomonas neptunium ATC
    1.3e-22   84.9   0.0    2.5e-22   84.0   0.0    1.5  1  KLP55312.1      membrane protein [Enterobacter genomosp. O]
    1.3e-22   84.9   0.0    2.5e-22   84.0   0.0    1.5  1  KLR18061.1      membrane protein [Enterobacter bugandensis]
    1.3e-22   84.9   0.0    2.4e-22   84.0   0.0    1.5  1  CBJ46052.1      outer membrane protein A [Erwinia amylovora A
    1.3e-22   84.8   0.0    2.6e-22   83.9   0.0    1.5  1  CBG33864.1      outer membrane protein A [Escherichia coli 04
    1.4e-22   84.8   0.4    2.4e-22   84.0   0.4    1.4  1  AAV82814.1      Outer membrane porin [Idiomarina loihiensis L
    1.4e-22   84.8   0.0    2.7e-22   83.8   0.0    1.5  1  KIU35546.1      membrane protein [Atlantibacter hermannii]
    1.5e-22   84.7   0.1    2.3e-22   84.1   0.1    1.3  1  EHJ04577.1      OmpA/MotB domain-containing protein [Marinoba
    1.6e-22   84.6   0.3    2.4e-22   84.0   0.3    1.2  1  KIU32035.1      membrane protein [Atlantibacter hermannii]
    1.7e-22   84.5   0.4    2.9e-22   83.8   0.4    1.4  1  KOQ99823.1      membrane protein [Pluralibacter gergoviae]
    1.7e-22   84.5   0.0    3.1e-22   83.7   0.0    1.4  1  KOR04280.1      membrane protein [Pluralibacter gergoviae]
    1.8e-22   84.4   0.0    2.7e-22   83.9   0.0    1.2  1  ABA57336.1      OmpA/MotB [Nitrosococcus oceani ATCC 19707]
    1.9e-22   84.4   0.2    2.7e-22   83.9   0.2    1.2  1  WP_015869505.1  OmpA family lipoprotein [Edwardsiella ictalur
    1.9e-22   84.3   0.1      7e-22   82.5   0.1    2.0  1  EAR30605.1      probable outer membrane protein [Pseudoaltero
    1.9e-22   84.3   0.0    3.6e-22   83.5   0.0    1.5  1  PAN78808.1      porin OmpA [Enterobacter cloacae]
      2e-22   84.3   0.2      3e-22   83.7   0.2    1.2  1  EHM40925.1      OmpA family protein [Hafnia alvei ATCC 51873]
    2.1e-22   84.2   0.1    3.8e-22   83.4   0.1    1.4  1  CCG95074.1      Peptidoglycan-associated lipoprotein precurso
    2.1e-22   84.2   0.8    5.3e-22   82.9   0.1    2.0  1  AOP57556.1      hypothetical protein BGV84_10515 [Pseudomonas
    2.1e-22   84.2   0.8    5.3e-22   82.9   0.1    2.0  1  AOP57556.1      hypothetical protein BGV84_10515 [Pseudomonas
    2.3e-22   84.1   0.0    3.7e-22   83.4   0.0    1.3  1  ADQ00078.1      secreted protein containing outer membrane pr
    2.3e-22   84.1   0.0    3.6e-22   83.5   0.0    1.3  1  AGG30449.1      OmpA/MotB precursor [Morganella morganii subs
    2.4e-22   84.0   0.1    4.4e-22   83.2   0.1    1.4  1  ABM18782.1      OmpA/MotB domain protein [Marinobacter nautic
    2.5e-22   84.0   0.1      4e-22   83.3   0.1    1.3  1  ADP99179.1      OmpA/MotB domain protein [Marinobacter adhaer
    2.5e-22   83.9   0.1    3.6e-22   83.4   0.1    1.2  1  KGT95135.1      membrane protein [Erwinia typographi]
    2.7e-22   83.9   0.0    3.7e-22   83.4   0.0    1.2  1  QCG49070.1      peptidoglycan-associated lipoprotein Pal [Aer
    2.7e-22   83.8   0.1    3.4e-21   80.3   0.0    2.2  1  ABK36792.1      outer-membrane protein A [Aeromonas hydrophil
    2.8e-22   83.8   0.1    5.6e-22   82.8   0.0    1.5  1  WP_015872113.1  peptidoglycan-associated lipoprotein Pal [Edw
    2.9e-22   83.8   0.0    4.1e-22   83.3   0.0    1.2  1  ABA90209.1      peptidoglycan-binding outer membrane lipoprot
    2.9e-22   83.8   0.0    4.8e-22   83.0   0.0    1.4  1  ABZ99303.1      Putative outer-membrane protein; putative sig
    3.1e-22   83.7   0.1    3.1e-22   83.7   0.1    2.8  1  ABI77457.1      OmpA family protein [Hyphomonas neptunium ATC
    3.1e-22   83.6   0.0    4.7e-22   83.1   0.0    1.3  1  AAN55775.1      peptidoglycan-associated lipoprotein Pal [She
    3.3e-22   83.6   0.1      6e-22   82.8   0.1    1.4  1  SHJ20513.1      OmpA family protein [Desulfatibacillum alkeni
    3.6e-22   83.5   5.8    2.6e-21   80.7   0.1    2.1  2  AAZ28818.1      peptidoglycan-associated lipoprotein [Colwell
    3.7e-22   83.4   1.1    6.2e-22   82.7   1.1    1.4  1  AAZ25278.1      ompA family protein [Colwellia psychrerythrae
    3.7e-22   83.4   1.3    1.3e-21   81.6   0.1    2.1  1  WP_007559135.1  MULTISPECIES: OmpA family protein [Bacteria]|
    3.7e-22   83.4   0.0    5.1e-22   83.0   0.0    1.2  1  ABK36043.1      peptidoglycan-associated lipoprotein [Aeromon
    3.7e-22   83.4   0.0    5.1e-22   83.0   0.0    1.2  1  EKB21208.1      peptidoglycan-associated lipoprotein [Aeromon
    3.8e-22   83.4   0.1    5.9e-22   82.8   0.1    1.3  1  AVQ87759.1      OmpA family lipoprotein [Plesiomonas shigello
    3.8e-22   83.4   0.1    5.9e-22   82.8   0.1    1.3  1  WP_010863027.1  MULTISPECIES: OmpA family lipoprotein [Plesio
    3.9e-22   83.3   0.2    5.6e-22   82.8   0.2    1.2  1  RPH22147.1      OmpA family lipoprotein [Buttiauxella warmbol
      4e-22   83.3   0.0    8.1e-22   82.3   0.0    1.5  1  SHJ44070.1      OmpA-OmpF porin, OOP family [Desulfatibacillu
    4.2e-22   83.2   0.3    6.2e-22   82.7   0.3    1.2  1  EAP92901.1      sodium-type flagellar protein MotY precursor 
    4.2e-22   83.2   0.0    5.8e-22   82.8   0.0    1.2  1  ATP08222.1      peptidoglycan-associated lipoprotein Pal [Aer
    4.4e-22   83.2   0.5    7.4e-22   82.4   0.5    1.4  1  QCG49876.1      OmpA family lipoprotein [Aeromonas schubertii
    4.5e-22   83.1   0.0    8.4e-22   82.3   0.0    1.5  1  TCV98179.1      OOP family OmpA-OmpF porin [Biostraticola tof
    4.6e-22   83.1   0.0    8.4e-22   82.3   0.0    1.4  1  EEW05834.1      peptidoglycan-associated lipoprotein [Vibrio 
    4.7e-22   83.1   0.2    6.9e-22   82.5   0.2    1.3  1  EAR26890.1      putative lipoprotein [Pseudoalteromonas tunic
    4.8e-22   83.0   0.0    8.6e-22   82.3   0.0    1.4  1  AAF94983.1      peptidoglycan-associated lipoprotein [Vibrio 
    4.9e-22   83.0   0.1    8.3e-22   82.3   0.1    1.4  1  ACT48179.1      OmpA/MotB domain protein [Methylotenera mobil
    5.6e-22   82.8   0.2    8.1e-22   82.3   0.2    1.2  1  AMO80069.1      hypothetical protein DSM2777_02820 [Obesumbac
    5.7e-22   82.8   0.1    7.9e-22   82.4   0.1    1.2  1  AAP19151.1      putative outer membrane protein [Shigella fle
    6.5e-22   82.6   0.1    1.2e-21   81.7   0.1    1.5  1  AOM40647.1      porin OmpA [Xenorhabdus hominickii]
    6.7e-22   82.6   0.2    9.7e-22   82.1   0.2    1.2  1  GHD95583.1      OmpA family lipoprotein [Pseudocitrobacter fa
    6.8e-22   82.6   0.0    1.3e-21   81.7   0.0    1.4  1  EDL51087.1      peptidoglycan-associated lipoprotein [Vibrio 
    6.9e-22   82.6   0.2    9.9e-22   82.0   0.2    1.2  1  GAC26813.1      inner membrane lipoprotein yiaD [Paraglacieco
    6.9e-22   82.6   0.1    6.6e-21   79.4   0.0    2.2  1  AGG30615.1      Outer membrane protein A precursor [Morganell
    6.9e-22   82.5   0.1    2.3e-21   80.9   0.0    1.8  1  EAS75403.1      putative lipoprotein [Vibrio alginolyticus 12
    7.2e-22   82.5   0.0    1.2e-21   81.8   0.0    1.3  1  AGH76545.1      hypothetical protein XAC29_05115 [Xanthomonas
    7.4e-22   82.5   0.0    1.2e-21   81.7   0.0    1.4  1  ADZ91224.1      peptidoglycan-associated lipoprotein [Marinom
    7.7e-22   82.4   0.0    1.9e-21   81.2   0.0    1.7  1  SHK39234.1      OmpA-OmpF porin, OOP family [Desulfatibacillu
      8e-22   82.4   0.0    1.3e-21   81.7   0.0    1.3  1  AAM40245.1      outer membrane protein [Xanthomonas campestri
    8.1e-22   82.3   0.2    1.8e-21   81.2   0.0    1.6  1  ADE10801.1      OmpA/MotB domain protein [Sideroxydans lithot
    8.3e-22   82.3   0.0    1.5e-21   81.5   0.0    1.4  1  BAH77800.1      putative outer membrane protein [Solidesulfov
    8.6e-22   82.2   0.0    1.7e-21   81.3   0.0    1.5  1  RPH21710.1      porin OmpA [Buttiauxella warmboldiae]
    8.6e-22   82.2   0.1    1.3e-21   81.7   0.1    1.2  1  POT55573.1      OmpA family lipoprotein [Citrobacter amalonat
    8.7e-22   82.2   0.0    1.3e-21   81.6   0.0    1.3  1  UXK07171.1      peptidoglycan-associated lipoprotein Pal [She
    9.1e-22   82.2   0.0    1.5e-21   81.5   0.0    1.3  1  AHF77784.1      Peptidoglycan-associated outer membrane lipop
    9.3e-22   82.1   0.0    9.3e-22   82.1   0.0    3.2  1  AAZ96197.1      probable outer membrane protein [Thiobacillus
    9.6e-22   82.1   0.1      2e-21   81.0   0.1    1.6  1  GAA06249.1      ompA family protein [Photobacterium leiognath
    9.6e-22   82.1   0.1      2e-21   81.1   0.1    1.5  1  PHZ60417.1      hypothetical protein CRG86_004940 [Photobacte
    9.9e-22   82.0   0.3    1.7e-21   81.3   0.3    1.4  1  AEP28538.1      ompA family protein [Glaciecola nitratireduce
