# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  IPR003400.hmm
# target sequence database:        /Users/nmat471/Downloads/z_genomes_wLitLinks_processing/genomes_wLitLinks+4+22.fasta
# MSA of all hits saved to file:   IPR003400_MotB_ExbD_TolR_hits_alned1.sto
# per-seq hits tabular output:     IPR003400_MotB_ExbD_TolR_seqHitsTable1.txt
# show alignments in output:       no
# domain inclusion threshold:      E-value <= 2
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       ExbD  [M=128]
Accession:   PF02472.19
Description: Biopolymer transport protein ExbD/TolR
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence       Description
    2.5e-32  116.7   0.5    2.8e-32  116.5   0.5    1.0  1  CCJ73990.1      Biopolymer transport protein ExbD/TolR [Crono
    2.7e-32  116.6   0.5      3e-32  116.4   0.5    1.0  1  AAC76041.1      Ton complex subunit ExbD [Escherichia coli st
    2.7e-32  116.6   0.5      3e-32  116.4   0.5    1.0  1  AAP18340.1      enterochelin transporter (uptake) [Shigella f
    2.8e-32  116.5   0.3    3.1e-32  116.4   0.3    1.0  1  GHD95984.1      biopolymer transport protein ExbD [Pseudocitr
      3e-32  116.4   2.2    3.3e-32  116.3   2.2    1.0  1  AAZ25847.1      biopolymer transport exbD protein [Colwellia 
    3.1e-32  116.3   0.6    3.5e-32  116.2   0.6    1.0  1  CBG36123.1      biopolymer transport protein [Escherichia col
    3.8e-32  116.1   0.2    4.2e-32  115.9   0.2    1.0  1  KLR17657.1      biopolymer transporter ExbD [Enterobacter bug
    3.9e-32  116.0   0.4    4.2e-32  115.9   0.4    1.0  1  ACT49008.1      Biopolymer transport protein ExbD/TolR [Methy
    4.4e-32  115.8   1.9    4.9e-32  115.7   1.9    1.0  1  EAR30272.1      putative TonB system-dependent transport prot
    4.7e-32  115.8   0.0    5.7e-32  115.5   0.0    1.1  1  CAH36949.1      putative transport-related membrane protein [
    5.2e-32  115.6   0.4    6.2e-32  115.4   0.4    1.0  1  CBJ47629.1      biopolymer transport protein [Erwinia amylovo
    5.3e-32  115.6   0.1    6.6e-32  115.3   0.1    1.1  1  AAU49704.1      biopolymer transport protein, ExbD/TolR famil
    5.5e-32  115.6   1.6      6e-32  115.4   1.6    1.0  1  ACH40504.1      biopolymer transport membrane protein, TolR-r
    5.9e-32  115.5   0.3    6.9e-32  115.2   0.3    1.0  1  KGT88662.1      biopolymer transporter ExbD [Enterobacter can
    6.1e-32  115.4   0.7    6.8e-32  115.2   0.7    1.0  1  ACT11405.1      TonB system transport protein ExbD [Pectobact
    6.3e-32  115.3   2.2      7e-32  115.2   2.2    1.0  1  KFD16493.1      biopolymer transport protein [Serratia marces
    6.6e-32  115.3   1.9      8e-32  115.0   1.9    1.0  1  GAC25509.1      biopolymer transport protein exbD2 [Paraglaci
    6.6e-32  115.3   0.2    7.9e-32  115.0   0.2    1.0  1  TCV98892.1      outer membrane transport energization protein
    6.9e-32  115.2   2.6    7.7e-32  115.1   2.6    1.0  1  ACT11866.1      Biopolymer transport protein ExbD/TolR [Pecto
    7.6e-32  115.1   0.5    8.4e-32  115.0   0.5    1.0  1  AAS70217.1      biopolymer transport exbd-related transmembra
    7.6e-32  115.1   3.1    8.4e-32  115.0   3.1    1.0  1  AEP30400.1      Biopolymer transport protein [Glaciecola nitr
      9e-32  114.9   1.8    9.9e-32  114.7   1.8    1.0  1  GAC23144.1      biopolymer transport protein exbD2 [Paraglaci
    9.3e-32  114.8   0.5      1e-31  114.6   0.5    1.0  1  AAM41406.1      biopolymer transport protein [Xanthomonas cam
    9.4e-32  114.8   1.5    1.2e-31  114.5   1.5    1.0  1  EHM39527.1      TonB system transport protein ExbD [Hafnia al
    9.7e-32  114.8   0.1    1.1e-31  114.6   0.1    1.0  1  AAZ96865.1      biopolymer transport protein ExbD/TolR [Thiob
    9.8e-32  114.7   2.9    1.1e-31  114.6   2.9    1.0  1  EAR29315.1      TonB system transport protein ExbD2 [Pseudoal
      1e-31  114.7   0.6    1.3e-31  114.4   0.6    1.1  1  AOP59473.1      protein TolR [Pseudomonas aeruginosa]
      1e-31  114.7   0.6    1.3e-31  114.4   0.6    1.1  1  AOP59473.1      protein TolR [Pseudomonas aeruginosa]|GCA_001
    1.2e-31  114.4   0.1    1.5e-31  114.1   0.1    1.0  1  AAY35277.1      outer membrane transport energization protein
    1.4e-31  114.3   0.5    1.6e-31  114.0   0.5    1.0  1  ARU96961.1      TonB system transport protein ExbD [Tatumella
    1.4e-31  114.2   0.9    1.7e-31  113.9   0.9    1.0  1  AKS90176.1      TonB system transport protein ExbD [Yersinia 
    1.4e-31  114.2   0.9    1.7e-31  113.9   0.9    1.0  1  EDR30815.1      tonB system transport protein ExbD [Yersinia 
    1.4e-31  114.2   1.8    1.7e-31  113.9   1.8    1.0  1  KGA69516.1      TonB system transport protein ExbD [Yersinia 
    1.5e-31  114.1   1.9    1.7e-31  114.0   1.9    1.0  1  SHI78726.1      Cell division and transport-associated protei
    1.6e-31  114.1   0.4    1.8e-31  113.9   0.4    1.0  1  KTR97246.1      biopolymer transporter ExbD [Pantoea dispersa
    1.6e-31  114.1   2.0    1.7e-31  113.9   2.0    1.0  1  GAC39744.1      biopolymer transport protein exbD2 [Paraglaci
    1.6e-31  114.0   0.5    1.8e-31  113.9   0.5    1.0  1  AHK71677.1      cell division and transport-associated protei
    1.7e-31  114.0   1.9      2e-31  113.7   1.9    1.0  1  ACT47010.1      Biopolymer transport protein ExbD/TolR [Methy
    1.9e-31  113.8   0.1    2.2e-31  113.6   0.1    1.0  1  AGH77574.1      biopolymer transport protein [Xanthomonas axo
      2e-31  113.8   0.5    2.4e-31  113.5   0.5    1.0  1  AAQ58076.1      biopolymer transport exbD transmembrane prote
      2e-31  113.7   1.7    2.3e-31  113.6   1.7    1.0  1  AFS36172.1      biopolymer transport protein [Alteromonas mac
    2.2e-31  113.6   0.3    2.5e-31  113.4   0.3    1.0  1  EGI77877.1      biopolymer transport protein ExbD/TolR [Hylem
    2.3e-31  113.5   0.2    2.7e-31  113.3   0.2    1.0  1  KGT94673.1      biopolymer transporter ExbD [Erwinia typograp
    2.3e-31  113.5   1.2    2.6e-31  113.3   1.2    1.0  1  RPH30907.1      TonB system transport protein ExbD [Buttiauxe
    2.4e-31  113.5   1.3    2.9e-31  113.2   1.3    1.0  1  CFQ35939.1      biopolymer transport protein ExbD [Yersinia b
    2.8e-31  113.2   0.6    3.2e-31  113.1   0.6    1.0  1  AAL22032.1      uptake of enterochelin [Salmonella enterica s
    3.5e-31  112.9   0.6    4.2e-31  112.7   0.6    1.0  1  TCZ27831.1      TonB system transport protein ExbD [Pantoea a
    3.6e-31  112.9   2.5      4e-31  112.8   2.5    1.0  1  CCQ10604.1      Biopolymer transport protein ExbD/TolR [Pseud
    3.6e-31  112.9   1.2    4.3e-31  112.6   1.2    1.0  1  AGG29909.1      Biopolymer transport protein ExbD/TolR [Morga
    3.8e-31  112.8   1.4    4.6e-31  112.6   1.4    1.0  1  CNK81322.1      biopolymer transport protein ExbD [Yersinia f
    3.8e-31  112.8   1.4    4.6e-31  112.6   1.4    1.0  1  OWF78219.1      biopolymer transport protein ExbD [Yersinia f
      4e-31  112.8   0.1    4.9e-31  112.5   0.1    1.0  1  AEP09507.1      protein TolR [Micavibrio aeruginosavorus ARL-
    4.1e-31  112.7   0.1    4.6e-31  112.6   0.1    1.0  1  AAZ97462.1      biopolymer transport exbD-related transmembra
    4.1e-31  112.7   1.2      5e-31  112.5   1.2    1.0  1  EEQ11059.1      Biopolymer transport ExbD protein [Yersinia m
    4.5e-31  112.6   1.3      5e-31  112.4   1.3    1.0  1  BAC93010.1      tonB system transport protein ExbD2 [Vibrio v
    4.9e-31  112.5   1.2    5.7e-31  112.3   1.2    1.0  1  ACL69930.1      Biopolymer transport protein ExbD/TolR [Halot
    4.9e-31  112.5   0.1    5.9e-31  112.2   0.1    1.0  1  ABK42995.1      Cell division and transport-associated protei
    5.1e-31  112.4   0.7    5.9e-31  112.2   0.7    1.0  1  AGC50117.1      biopolymer ExbD/TolR family transporter [Laws
    5.2e-31  112.4   0.2    6.6e-31  112.1   0.2    1.0  1  ABZ01237.1      TonB system transport protein ExbD [Pseudomon
    5.4e-31  112.3   1.2      6e-31  112.2   1.2    1.0  1  EAS76516.1      TonB system transport protein ExbD2 [Vibrio a
    5.6e-31  112.3   0.0    6.4e-31  112.1   0.0    1.0  1  AHK70456.1      biopolymer transport protein ExbD [Gluconobac
    6.1e-31  112.2   1.5    6.7e-31  112.0   1.5    1.0  1  AAY37332.1      outer membrane transport energization protein
    7.7e-31  111.9   1.4      9e-31  111.6   1.4    1.0  1  ABV36185.1      biopolymer transport protein ExbD/TolR [Shewa
    9.5e-31  111.6   2.5      1e-30  111.4   2.5    1.0  1  ABE49826.1      outer membrane transport energization protein
    9.5e-31  111.6   1.4      1e-30  111.4   1.4    1.0  1  BAJ02934.1      TonB system transport protein ExbD2 [Shewanel
    9.7e-31  111.5   0.1    1.1e-30  111.4   0.1    1.0  1  WP_011368051.1  biopolymer transporter ExbD [Oleidesulfovibri
      1e-30  111.4   0.3    1.2e-30  111.3   0.3    1.0  1  ADZ91221.1      protein TolR [Marinomonas mediterranea MMB-1]
    1.1e-30  111.4   2.1    1.2e-30  111.3   2.1    1.0  1  UXK07260.1      biopolymer transporter ExbD [Shewanella putre
    1.1e-30  111.4   0.6    1.2e-30  111.2   0.6    1.0  1  AAY35932.1      outer membrane transport energization protein
    1.1e-30  111.3   1.4    1.2e-30  111.2   1.4    1.0  1  AFS36594.1      biopolymer transport protein [Alteromonas mac
    1.1e-30  111.3   1.3    1.2e-30  111.2   1.3    1.0  1  AAY39512.1      outer membrane transport energization protein
    1.1e-30  111.3   0.1    1.4e-30  111.0   0.1    1.0  1  ABZ97739.1      Biopolymer transport ExbD protein [Leptospira
    1.3e-30  111.1   0.3    1.5e-30  110.9   0.3    1.0  1  ACI21831.1      TolR protein [Thermodesulfovibrio yellowstoni
    1.4e-30  111.0   0.2    1.6e-30  110.8   0.2    1.0  1  ORN00567.1      TonB system transport protein ExbD [Pantoea s
    1.8e-30  110.7   1.1      2e-30  110.5   1.1    1.0  1  AAU49639.1      tolR protein [Burkholderia mallei ATCC 23344]
    1.9e-30  110.6   0.0    2.2e-30  110.4   0.0    1.0  1  BAK64924.1      biopolymer transport protein TolR/ExbD [Sphin
      2e-30  110.5   0.8    2.2e-30  110.4   0.8    1.0  1  QCG47234.1      biopolymer transporter ExbD [Aeromonas schube
    2.1e-30  110.4   0.7    2.3e-30  110.3   0.7    1.0  1  EKB20828.1      hypothetical protein HMPREF1168_01633 [Aeromo
    2.2e-30  110.4   0.9    2.5e-30  110.2   0.9    1.0  1  ACT47557.1      Biopolymer transport protein ExbD/TolR [Methy
    2.3e-30  110.3   1.0    2.6e-30  110.1   1.0    1.0  1  CAH36770.1      putative TolR-related protein [Burkholderia p
    2.3e-30  110.3   0.1    2.5e-30  110.2   0.1    1.0  1  CAE09656.1      EXBD\TOLR FAMILY TRANSPORT PROTEIN [Wolinella
    2.5e-30  110.2   1.3    2.8e-30  110.0   1.3    1.0  1  EGW23399.1      Biopolymer transport protein ExbD/TolR [Methy
    2.7e-30  110.1   0.5      3e-30  109.9   0.5    1.0  1  ABK46048.1      outer membrane transport energization protein
    2.8e-30  110.0   1.6    3.1e-30  109.9   1.6    1.0  1  AFS38690.1      biopolymer transport protein ExbD/TolR [Alter
    2.8e-30  110.0   0.3    3.2e-30  109.9   0.3    1.0  1  AAS69504.1      biopolymer transport protein [Leptospira inte
    2.9e-30  110.0   1.4    3.3e-30  109.8   1.4    1.0  1  ABC36387.1      tolR protein [Burkholderia thailandensis E264
    3.1e-30  109.9   1.9    3.7e-30  109.6   1.9    1.0  1  AAV82948.1      Biopolymer transport protein [Idiomarina loih
    3.2e-30  109.8   0.7    3.8e-30  109.6   0.7    1.0  1  AOM41203.1      TonB system transport protein ExbD [Xenorhabd
    3.4e-30  109.8   0.3    3.7e-30  109.6   0.3    1.0  1  ABK39801.1      biopolymer transport exbD1 protein [Aeromonas
    3.4e-30  109.7   0.9    3.8e-30  109.6   0.9    1.0  1  ABK37069.1      biopolymer transport exbD2 protein [Aeromonas
    3.6e-30  109.7   1.6    4.1e-30  109.5   1.6    1.0  1  EDL50954.1      TonB system transport protein ExbD2 [Vibrio m
    3.8e-30  109.6   0.1    4.2e-30  109.5   0.1    1.0  1  AAS97571.1      biopolymer transport protein, ExbD/TolR famil
    3.8e-30  109.6   0.7    4.3e-30  109.4   0.7    1.0  1  CAC47320.1      Putative transport transmembrane protein [Sin
    3.9e-30  109.6   0.1    4.4e-30  109.4   0.1    1.0  1  ABA88752.1      biopolymer transport membrane protein, TolR-r
    4.3e-30  109.4   0.7    4.8e-30  109.3   0.7    1.0  1  CAQ68547.1      BIOPOLYMER TRANSPORT TRANSMEMBRANE PROTEIN [C
    4.8e-30  109.3   2.3    5.4e-30  109.1   2.3    1.0  1  ABZ01108.1      Biopolymer transport protein ExbD/TolR [Pseud
    4.9e-30  109.2   1.7    5.3e-30  109.1   1.7    1.0  1  GAC38234.1      biopolymer transport protein exbD2 [Paraglaci
    5.4e-30  109.1   0.5      6e-30  109.0   0.5    1.0  1  EGI76803.1      biopolymer transport protein ExbD/TolR [Hylem
    5.8e-30  109.0   3.0    6.6e-30  108.8   3.0    1.0  1  ABI58571.1      Cell division and transport-associated protei
    6.2e-30  108.9   0.3      7e-30  108.7   0.3    1.0  1  AAU92518.1      tolR protein [Methylococcus capsulatus str. B
    6.3e-30  108.9   1.4    6.9e-30  108.8   1.4    1.0  1  ATP10894.1      ExbD family protein [Aeromonas salmonicida su
    6.4e-30  108.9   0.1    7.3e-30  108.7   0.1    1.0  1  EHJ06580.1      biopolymer transport protein ExbD/TolR [Marin
    7.5e-30  108.6   2.8    8.4e-30  108.5   2.8    1.0  1  AAU91783.1      biopolymer transport protein, ExbD/TolR famil
    7.8e-30  108.6   0.2    8.6e-30  108.5   0.2    1.0  1  ATP09947.1      ExbD family protein [Aeromonas salmonicida su
    7.9e-30  108.6   1.3    8.8e-30  108.4   1.3    1.0  1  AOP55733.1      biopolymer transporter ExbD [Pseudomonas aeru
    7.9e-30  108.6   1.3    8.8e-30  108.4   1.3    1.0  1  AOP55733.1      biopolymer transporter ExbD [Pseudomonas aeru
      1e-29  108.2   1.4    1.1e-29  108.1   1.4    1.0  1  GAA06513.1      biopolymer transport ExbD/TolR family protein
      1e-29  108.2   1.4    1.1e-29  108.1   1.4    1.0  1  PHZ60570.1      biopolymer transporter ExbD [Photobacterium l
    1.1e-29  108.1   1.8    1.2e-29  107.9   1.8    1.1  1  BAH74881.1      biopolymer transport protein [Solidesulfovibr
    1.1e-29  108.1   1.7    1.3e-29  107.9   1.7    1.0  1  AAN54879.1      TonB2 energy transduction system membrane anc
    1.2e-29  107.9   0.9    1.4e-29  107.8   0.9    1.0  1  BAL07540.1      hypothetical protein BJ6T_22610 [Bradyrhizobi
    1.3e-29  107.8   1.4    1.5e-29  107.7   1.4    1.0  1  AAF94699.1      TonB system transport protein ExbD2 [Vibrio c
    1.4e-29  107.8   1.5    1.5e-29  107.7   1.5    1.0  1  AHK71269.1      biopolymer transport protein ExbD [Gluconobac
    1.4e-29  107.7   4.5    1.6e-29  107.6   4.5    1.0  1  ACT11210.1      Biopolymer transport protein ExbD/TolR [Pecto
    1.6e-29  107.6   1.6    1.8e-29  107.4   1.6    1.0  1  EEW07941.1      TonB system transport protein ExbD2 [Vibrio m
    1.7e-29  107.5   0.1    1.9e-29  107.3   0.1    1.0  1  ACL73311.1      TolR protein [Thioalkalivibrio sulfidiphilus 
    1.7e-29  107.5   0.1      2e-29  107.3   0.1    1.0  1  ADP97801.1      biopolymer transport, TolR [Marinobacter adha
    1.8e-29  107.4   0.8    2.2e-29  107.1   0.8    1.0  1  AAN55778.1      TolA energy-transducing system inner membrane
    1.9e-29  107.4   4.5    2.1e-29  107.2   4.5    1.0  1  AAY35210.1      outer membrane transport energization protein
    1.9e-29  107.4   0.3    2.1e-29  107.2   0.3    1.0  1  ABA90212.1      biopolymer transport membrane protein, TolR-r
    1.9e-29  107.3   1.3    2.1e-29  107.2   1.3    1.0  1  AEP30901.1      biopolymer transport protein ExbD/TolR [Glaci
      2e-29  107.3   1.5    2.4e-29  107.0   1.5    1.0  1  AAK89689.1      tolR protein [Agrobacterium fabrum str. C58]
      2e-29  107.3   0.0    2.3e-29  107.0   0.0    1.0  1  ABS61997.1      TonB system transport protein ExbD type-1 [Pa
      2e-29  107.3   1.0    2.2e-29  107.1   1.0    1.0  1  AAQ59645.1      biopolymer transport exbD transmembrane prote
      2e-29  107.3   1.0    2.2e-29  107.1   1.0    1.0  1  AAQ59657.1      biopolymer transport exbD transmembrane prote
      2e-29  107.2   1.4    2.3e-29  107.0   1.4    1.0  1  EHR42232.1      biopolymer transport protein [Alishewanella j
    2.5e-29  106.9   0.0    2.8e-29  106.8   0.0    1.0  1  ACV68940.1      Biopolymer transport protein ExbD/TolR [Desul
    2.6e-29  106.9   0.3    2.9e-29  106.7   0.3    1.0  1  AAQ61011.1      biopolymer transport exbD-related transmembra
    2.7e-29  106.8   0.6    3.1e-29  106.7   0.6    1.0  1  GAA03688.1      putative tolR membrane protein [Photobacteriu
    2.7e-29  106.8   0.6    3.1e-29  106.7   0.6    1.0  1  PHZ59004.1      protein TolR [Photobacterium leiognathi]
    2.8e-29  106.8   0.4    3.1e-29  106.6   0.4    1.0  1  SHJ50942.1      outer membrane transport energization protein
    2.9e-29  106.7   0.5    3.3e-29  106.6   0.5    1.0  1  CAJ49709.1      biopolymer transport protein [Bordetella aviu
    3.3e-29  106.6   1.0    3.9e-29  106.3   1.0    1.0  1  CCQ12341.1      Biopolymer transport protein ExbD/TolR [Pseud
    3.6e-29  106.5   0.2    3.9e-29  106.3   0.2    1.0  1  CAG37701.1      probable biopolymer transport protein (ExbD2)
    3.6e-29  106.4   0.3    4.5e-29  106.1   0.3    1.1  1  ACV75589.1      protein TolR [Zymomonas mobilis subsp. mobili
    3.8e-29  106.4   0.3    4.3e-29  106.2   0.3    1.0  1  ABV36466.1      biopolymer transport protein ExbD/TolR [Shewa
    4.1e-29  106.3   3.2    4.5e-29  106.1   3.2    1.0  1  ACC79527.1      Biopolymer transport protein ExbD/TolR [Nosto
    4.2e-29  106.2   1.4    4.6e-29  106.1   1.4    1.0  1  AAU90373.1      biopolymer transport protein, ExbD/TolR famil
    4.2e-29  106.2   1.4    4.6e-29  106.1   1.4    1.0  1  AAU93205.1      biopolymer transport protein, ExbD/TolR famil
    4.4e-29  106.2   0.3    4.9e-29  106.0   0.3    1.0  1  ABS62620.1      Biopolymer transport protein ExbD/TolR [Parvi
    4.6e-29  106.1   0.8    5.1e-29  105.9   0.8    1.0  1  ABA57128.1      outer membrane transport energization protein
    4.8e-29  106.0   0.6    5.8e-29  105.8   0.6    1.0  1  AFV42342.1      biopolymer transport protein ExbD/TolR [Helic
    5.5e-29  105.8   1.4    6.1e-29  105.7   1.4    1.0  1  AOP59746.1      biopolymer transporter ExbD [Pseudomonas aeru
    5.5e-29  105.8   1.4    6.1e-29  105.7   1.4    1.0  1  AOP59746.1      biopolymer transporter ExbD [Pseudomonas aeru
    6.4e-29  105.6   0.5    7.2e-29  105.5   0.5    1.0  1  AFS36760.1      Biopolymer transport protein [Alteromonas mac
    8.7e-29  105.2   0.1    9.8e-29  105.0   0.1    1.0  1  ABI78072.1      transport energizing protein, ExbD/TolR famil
    9.8e-29  105.0   1.7    1.1e-28  104.9   1.7    1.0  1  ADZ91240.1      Biopolymer transport protein ExbD/TolR [Marin
    9.9e-29  105.0   0.4    1.1e-28  104.8   0.4    1.0  1  AAV81922.1      Biopolymer transport protein [Idiomarina loih
      1e-28  104.9   1.5    1.1e-28  104.8   1.5    1.0  1  CAG22569.1      putative TonB system transport protein ExbD2 
    1.2e-28  104.7   0.7    1.3e-28  104.6   0.7    1.0  1  AAQ59646.1      biopolymer transport exbD transmembrane prote
    1.2e-28  104.7   0.7    1.3e-28  104.6   0.7    1.0  1  AAQ59658.1      biopolymer transport exbD transmembrane prote
    1.5e-28  104.4   2.3    1.7e-28  104.3   2.3    1.0  1  BAC96943.1      biopolymer transport protein ExbD2 [Vibrio vu
    1.6e-28  104.4   0.9    1.7e-28  104.2   0.9    1.0  1  ADE11627.1      Biopolymer transport protein ExbD/TolR [Sider
    1.7e-28  104.3   0.0    1.8e-28  104.1   0.0    1.0  1  AAY39528.1      outer membrane transport energization protein
    1.7e-28  104.3   0.2    2.2e-28  103.9   0.2    1.0  1  UXK07174.1      protein TolR [Shewanella putrefaciens]
    1.7e-28  104.3   1.7    1.9e-28  104.1   1.7    1.0  1  EAP92982.1      TolR protein [Vibrio splendidus 12B01]
    1.8e-28  104.2   1.7    2.1e-28  103.9   1.7    1.0  1  CCQ11588.1      Biopolymer transport protein ExbD/TolR [Pseud
      2e-28  104.1   1.4    2.2e-28  103.9   1.4    1.0  1  AAW87847.1      TonB system transport protein ExbD2 [Aliivibr
    2.1e-28  103.9   0.4    2.4e-28  103.8   0.4    1.0  1  ABE50358.1      Biopolymer transport protein ExbD/TolR [Methy
    2.1e-28  103.9   0.1    2.5e-28  103.7   0.1    1.0  1  ABA89629.1      biopolymer transport membrane protein, TolR-r
    2.2e-28  103.9   0.1    2.7e-28  103.6   0.1    1.0  1  ADE40540.1      tolR protein [Candidatus Puniceispirillum mar
    2.2e-28  103.9   0.4    2.5e-28  103.8   0.4    1.0  1  AAW87265.1      TolR protein [Aliivibrio fischeri ES114]
    2.4e-28  103.8   0.2    2.6e-28  103.6   0.2    1.0  1  EED66860.1      Biopolymer transport protein ExbD/TolR [Comam
    2.5e-28  103.7   2.5    2.7e-28  103.6   2.5    1.0  1  EAS74530.1      TonB system transport protein ExbD2 [Vibrio a
