#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3AEAAA4FF4D93608-2C25B46CC2CA0C9B
#datatype	hitsConcise Results(Superfamily only)
#status	0
#Start time	2023-08-16T00:44:06	Run time	0:00:01:00
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#14 - ATX81939.1	superfamily	444982	6	225	3.81062e-84	249.087	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#15 - ATX79746.1	superfamily	444982	6	225	1.67656e-92	270.273	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#16 - ACF11057.1	superfamily	444982	8	213	3.07061e-80	238.686	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#17 - ACF44367.1	superfamily	444982	7	213	6.895e-64	197.085	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#18 - ABL64907.1	superfamily	444982	7	213	6.57103e-76	227.901	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#19 - ACD89825.1	superfamily	444982	7	213	1.09583e-59	186.685	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#20 - AQV01680.1	superfamily	444982	7	227	1.66888e-69	212.108	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#21 - ACN16142.1	superfamily	444982	7	228	1.52112e-74	224.819	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#22 - SHI78763.1	superfamily	444982	8	224	2.88927e-57	182.062	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#23 - AAS97570.1	superfamily	444982	4	215	2.59469e-91	267.191	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#24 - WP_011369302.1	superfamily	444982	4	215	6.38778e-85	251.013	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#25 - AGC50118.1	superfamily	444982	4	215	1.10894e-71	217.115	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#26 - AAS96861.1	superfamily	444982	3	200	1.29328e-61	195.159	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#27 - BAH74880.1	superfamily	444982	9	224	7.66369e-68	208.641	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#28 - ACV68872.1	superfamily	444982	8	223	6.82321e-71	215.96	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#29 - CAG37138.1	superfamily	444982	4	225	2.30415e-81	242.153	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#30 - ABF91581.1	superfamily	444982	13	232	5.97902e-60	187.84	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#31 - UEO06636.1	superfamily	444982	13	232	5.97902e-60	187.84	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#32 - AFE07999.1	superfamily	444982	13	234	1.78612e-66	204.404	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#33 - ADO74176.1	superfamily	444982	12	230	4.41412e-64	198.241	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#34 - ACL64052.1	superfamily	444982	34	253	5.29323e-75	227.131	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#35 - AWV88602.1	superfamily	444982	47	245	1.21851e-69	212.878	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#36 - AHZ85825.1	superfamily	444982	2	218	3.65905e-78	233.679	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#37 - AAR33363.1	superfamily	444982	19	220	4.77613e-78	233.294	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#38 - ACH40503.1	superfamily	444982	21	219	3.01435e-76	228.671	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#39 - ABA90213.1	superfamily	444982	20	218	1.09577e-78	234.835	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#40 - AFL88606.1	superfamily	444982	51	239	1.57637e-55	177.44	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#41 - AFL88265.1	superfamily	444982	51	239	1.57637e-55	177.44	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#42 - ACO32834.1	superfamily	444982	23	228	1.4148e-56	179.751	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#43 - QOY87643.1	superfamily	444982	11	221	2.1375e-47	155.483	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#44 - QTD52661.1	superfamily	444982	2	220	7.47338e-68	207.485	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#45 - SLM46359.1	superfamily	444982	16	213	1.48397e-61	191.692	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#46 - ALA60092.1	superfamily	444982	27	218	6.21741e-55	174.743	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#47 - BAM06957.1	superfamily	444982	25	214	1.00622e-54	173.973	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#48 - BCB95125.1	superfamily	444982	4	206	2.60724e-77	230.983	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#49 - ACI22061.1	superfamily	444982	6	208	4.73892e-92	268.347	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#50 - ABC76751.1	superfamily	444982	46	243	2.56878e-46	153.557	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#51 - UBQ06174.1	superfamily	223881	15	232	1.56205e-46	154.393	cl42820	TolQ superfamily	 - 	 - 
Q#52 - EGI77876.1	superfamily	223881	10	227	3.76757e-50	163.252	cl42820	TolQ superfamily	 - 	 - 
Q#53 - APW42557.1	superfamily	223881	10	222	1.67914e-51	166.334	cl42820	TolQ superfamily	 - 	 - 
Q#54 - EED66570.1	superfamily	223881	10	224	2.92719e-54	173.653	cl42820	TolQ superfamily	 - 	 - 
Q#55 - AAU45830.1	superfamily	223881	9	228	1.02259e-51	167.104	cl42820	TolQ superfamily	 - 	 - 
Q#56 - CAH37815.1	superfamily	223881	9	228	4.89448e-52	167.875	cl42820	TolQ superfamily	 - 	 - 
Q#57 - ABC34070.1	superfamily	223881	1	219	4.35906e-52	167.875	cl42820	TolQ superfamily	 - 	 - 
Q#58 - CAQ69978.1	superfamily	223881	9	224	2.55824e-56	179.045	cl42820	TolQ superfamily	 - 	 - 
Q#59 - QEI19039.1	superfamily	223881	10	217	1.48868e-49	161.326	cl42820	TolQ superfamily	 - 	 - 
Q#60 - TCV93520.1	superfamily	223881	9	222	6.05329e-51	165.563	cl42820	TolQ superfamily	 - 	 - 
Q#61 - ACT12196.1	superfamily	223881	9	222	2.53529e-48	158.63	cl42820	TolQ superfamily	 - 	 - 
Q#62 - ATU64277.1	superfamily	223881	66	268	2.72437e-49	162.097	cl42820	TolQ superfamily	 - 	 - 
Q#63 - ADY81560.1	superfamily	223881	74	277	2.34526e-52	170.571	cl42820	TolQ superfamily	 - 	 - 
Q#64 - AHK71268.1	superfamily	223881	139	342	5.05346e-42	146.303	cl42820	TolQ superfamily	 - 	 - 
Q#64 - AHK71268.1	superfamily	235906	11	129	6.20646e-05	44.8404	cl35530	PRK07003 superfamily	NC	 - 
Q#65 - AAQ59644.1	superfamily	223881	41	242	3.80858e-41	140.14	cl42820	TolQ superfamily	 - 	 - 
Q#66 - AAQ59656.1	superfamily	223881	41	242	3.80858e-41	140.14	cl42820	TolQ superfamily	 - 	 - 
Q#67 - QNQ10683.1	superfamily	223881	27	223	6.08238e-42	142.451	cl42820	TolQ superfamily	 - 	 - 
Q#68 - BAK66119.1	superfamily	223881	26	222	2.18288e-38	133.207	cl42820	TolQ superfamily	 - 	 - 
Q#69 - ACV76042.1	superfamily	223881	20	221	1.72048e-40	138.599	cl42820	TolQ superfamily	 - 	 - 
Q#70 - ABS62619.1	superfamily	223881	90	293	1.88307e-45	152.852	cl42820	TolQ superfamily	 - 	 - 
Q#71 - AAY39527.1	superfamily	223881	11	217	8.41644e-46	152.081	cl42820	TolQ superfamily	 - 	 - 
Q#72 - ATU67891.1	superfamily	223881	8	208	3.00314e-46	152.081	cl42820	TolQ superfamily	 - 	 - 
Q#73 - APW44370.1	superfamily	223881	9	213	3.89105e-45	149.385	cl42820	TolQ superfamily	 - 	 - 
Q#74 - EED70308.1	superfamily	223881	11	214	3.6987e-43	144.377	cl42820	TolQ superfamily	 - 	 - 
Q#75 - AAU49703.1	superfamily	223881	13	216	1.67612e-41	140.525	cl42820	TolQ superfamily	 - 	 - 
Q#76 - CAH36950.1	superfamily	223881	13	216	1.67612e-41	140.525	cl42820	TolQ superfamily	 - 	 - 
Q#77 - ABC39136.1	superfamily	223881	13	216	7.88227e-42	141.681	cl42820	TolQ superfamily	 - 	 - 
Q#78 - AGH75547.1	superfamily	223881	41	253	9.97688e-49	159.785	cl42820	TolQ superfamily	 - 	 - 
Q#79 - AAM39328.1	superfamily	223881	41	253	6.13033e-48	157.859	cl42820	TolQ superfamily	 - 	 - 
Q#80 - ABE49145.1	superfamily	223881	19	219	7.70013e-50	162.482	cl42820	TolQ superfamily	 - 	 - 
Q#81 - ABE49289.1	superfamily	223881	19	219	7.70013e-50	162.482	cl42820	TolQ superfamily	 - 	 - 
Q#82 - ACT49009.1	superfamily	223881	12	220	2.39774e-49	161.326	cl42820	TolQ superfamily	 - 	 - 
Q#83 - EGW21661.1	superfamily	223881	12	241	1.06685e-45	152.467	cl42820	TolQ superfamily	 - 	 - 
Q#84 - QKS29082.1	superfamily	223881	35	220	9.90811e-43	143.992	cl42820	TolQ superfamily	 - 	 - 
Q#85 - AAZ96864.1	superfamily	223881	33	220	2.12768e-43	146.303	cl42820	TolQ superfamily	 - 	 - 
Q#86 - ABI59859.1	superfamily	223881	10	220	2.62732e-54	174.423	cl42820	TolQ superfamily	 - 	 - 
Q#87 - ATU63282.1	superfamily	223881	33	244	9.31135e-52	168.26	cl42820	TolQ superfamily	 - 	 - 
Q#88 - CAJ49729.1	superfamily	223881	68	271	2.11823e-50	165.949	cl42820	TolQ superfamily	 - 	 - 
Q#89 - AAZ96665.1	superfamily	444982	10	220	2.48918e-48	158.565	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#90 - ABK38297.1	superfamily	223881	22	226	1.65232e-42	143.992	cl42820	TolQ superfamily	 - 	 - 
Q#91 - ATP09946.1	superfamily	223881	22	226	5.96019e-42	142.451	cl42820	TolQ superfamily	 - 	 - 
Q#92 - ADY83951.1	superfamily	223881	7	179	2.05779e-36	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#93 - ACL71953.1	superfamily	444982	7	214	1.35433e-39	135.838	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#94 - AAQ58077.1	superfamily	223881	6	219	2.35454e-38	132.051	cl42820	TolQ superfamily	 - 	 - 
Q#95 - SNW07143.1	superfamily	223881	6	210	1.59165e-43	145.148	cl42820	TolQ superfamily	 - 	 - 
Q#96 - EGW23523.1	superfamily	223881	18	211	2.8545e-50	162.482	cl42820	TolQ superfamily	 - 	 - 
Q#97 - EGW23455.1	superfamily	444982	18	211	1.61373e-50	163.187	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#98 - AAU93206.1	superfamily	444982	8	208	2.2576e-52	167.81	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#99 - AAU90374.1	superfamily	444982	8	208	9.51432e-50	161.261	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#100 - ADE11626.1	superfamily	444982	4	213	4.19521e-53	169.736	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#101 - ACT47011.1	superfamily	223881	7	219	3.65871e-57	180.971	cl42820	TolQ superfamily	 - 	 - 
Q#102 - ABE49827.1	superfamily	444982	9	212	8.73697e-52	167.425	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#103 - EGW23398.1	superfamily	223881	41	243	1.10979e-49	163.637	cl42820	TolQ superfamily	 - 	 - 
Q#104 - ADY81773.1	superfamily	223881	1	193	4.00715e-51	165.178	cl42820	TolQ superfamily	 - 	 - 
Q#105 - ADY81763.1	superfamily	223881	1	208	1.28508e-51	167.104	cl42820	TolQ superfamily	 - 	 - 
Q#106 - QEI19895.1	superfamily	223881	9	210	5.95296e-49	160.171	cl42820	TolQ superfamily	 - 	 - 
Q#107 - AAY39511.1	superfamily	223881	8	213	1.87975e-49	160.941	cl42820	TolQ superfamily	 - 	 - 
Q#108 - AAG03587.1	superfamily	223881	11	218	4.1889e-60	188.29	cl42820	TolQ superfamily	 - 	 - 
Q#109 - AOP55732.1	superfamily	223881	11	218	4.1889e-60	188.29	cl42820	TolQ superfamily	 - 	 - 
Q#110 - AAY37331.1	superfamily	223881	27	232	1.1358e-56	180.201	cl42820	TolQ superfamily	 - 	 - 
Q#111 - ABZ01109.1	superfamily	223881	14	218	7.93254e-54	172.497	cl42820	TolQ superfamily	 - 	 - 
Q#112 - ACT11209.1	superfamily	223881	14	209	2.80799e-43	145.148	cl42820	TolQ superfamily	 - 	 - 
Q#113 - ARU98537.1	superfamily	444982	15	208	2.79297e-50	162.802	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#114 - AAY35209.1	superfamily	223881	7	218	4.88584e-53	170.186	cl42820	TolQ superfamily	 - 	 - 
Q#115 - TCV98947.1	superfamily	223881	47	257	1.1364e-49	163.637	cl42820	TolQ superfamily	 - 	 - 
Q#116 - ABK46047.1	superfamily	444982	103	188	5.39977e-37	127.749	cl00568	MotA_ExbB superfamily	N	 - 
Q#117 - AUX20279.1	superfamily	444982	21	211	2.51084e-43	145.853	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#118 - CAL34348.1	superfamily	223881	47	250	2.07601e-64	199.846	cl42820	TolQ superfamily	 - 	 - 
Q#119 - AVM88605.1	superfamily	223881	13	230	1.32652e-54	174.038	cl42820	TolQ superfamily	 - 	 - 
Q#120 - AAC68198.1	superfamily	223881	13	230	7.06754e-55	174.808	cl42820	TolQ superfamily	 - 	 - 
Q#121 - AGW38400.1	superfamily	223881	15	229	1.45157e-49	161.326	cl42820	TolQ superfamily	 - 	 - 
Q#122 - AAP98742.1	superfamily	223881	13	230	1.91964e-57	181.357	cl42820	TolQ superfamily	 - 	 - 
Q#123 - CCB87689.1	superfamily	223881	17	238	8.12174e-33	118.569	cl42820	TolQ superfamily	 - 	 - 
Q#124 - AVM45096.1	superfamily	223881	18	240	7.79948e-41	139.755	cl42820	TolQ superfamily	 - 	 - 
Q#125 - ACB76604.1	superfamily	444982	15	230	1.03188e-40	138.535	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#126 - ATC65746.1	superfamily	444982	9	224	1.97027e-44	147.779	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#127 - AWI09757.1	superfamily	444982	9	224	7.52743e-46	151.631	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#128 - AKJ63346.1	superfamily	223881	24	243	3.74346e-38	132.436	cl42820	TolQ superfamily	 - 	 - 
Q#129 - QSR84055.1	superfamily	444982	41	233	1.45388e-36	128.134	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#131 - ALJ56928.1	superfamily	444982	33	249	9.84278e-37	129.29	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#132 - ALA61164.1	superfamily	223881	14	221	6.56504e-44	147.844	cl42820	TolQ superfamily	 - 	 - 
Q#133 - QJE97904.1	superfamily	223881	363	590	2.68104e-34	129.355	cl42820	TolQ superfamily	 - 	 - 
Q#133 - QJE97904.1	superfamily	451433	186	316	9.39241e-16	74.7262	cl22861	LamG superfamily	 - 	 - 
Q#133 - QJE97904.1	superfamily	431055	70	136	8.6719e-14	66.9971	cl40161	DUF2341 superfamily	 - 	 - 
Q#134 - QJE95399.1	superfamily	223881	352	507	3.98776e-32	122.806	cl42820	TolQ superfamily	N	 - 
Q#134 - QJE95399.1	superfamily	432198	11	99	0.000553319	41.4483	cl26418	DUF3450 superfamily	C	 - 
Q#135 - AAZ96310.1	superfamily	223881	355	553	2.81152e-22	95.0718	cl42820	TolQ superfamily	 - 	 - 
Q#135 - AAZ96310.1	superfamily	431055	64	147	1.7445e-15	71.6195	cl40161	DUF2341 superfamily	 - 	 - 
Q#135 - AAZ96310.1	superfamily	451433	172	255	2.52093e-07	50.0735	cl22861	LamG superfamily	C	 - 
Q#136 - AAU91782.1	superfamily	223881	365	601	2.13171e-36	135.518	cl42820	TolQ superfamily	 - 	 - 
Q#136 - AAU91782.1	superfamily	431055	72	157	1.10904e-17	77.7827	cl40161	DUF2341 superfamily	 - 	 - 
Q#136 - AAU91782.1	superfamily	451433	182	331	1.90064e-15	73.9558	cl22861	LamG superfamily	 - 	 - 
Q#137 - AAG04082.1	superfamily	227622	2	379	1.97365e-121	373.059	cl34978	COG5306 superfamily	N	 - 
Q#137 - AAG04082.1	superfamily	223881	379	599	3.61059e-39	143.222	cl42820	TolQ superfamily	 - 	 - 
Q#138 - AOP59747.1	superfamily	227622	2	379	1.97365e-121	373.059	cl34978	COG5306 superfamily	N	 - 
Q#138 - AOP59747.1	superfamily	223881	379	599	3.61059e-39	143.222	cl42820	TolQ superfamily	 - 	 - 
Q#139 - QNQ08565.1	superfamily	223881	375	599	8.13014e-37	136.673	cl42820	TolQ superfamily	 - 	 - 
Q#139 - QNQ08565.1	superfamily	431055	82	148	1.62502e-19	83.1755	cl40161	DUF2341 superfamily	C	 - 
Q#139 - QNQ08565.1	superfamily	451433	214	329	8.90582e-13	66.2518	cl22861	LamG superfamily	 - 	 - 
Q#139 - QNQ08565.1	superfamily	227622	7	284	1.34877e-12	70.6777	cl34978	COG5306 superfamily	NC	 - 
Q#140 - ABE50669.1	superfamily	223881	338	555	6.30696e-42	149.77	cl42820	TolQ superfamily	 - 	 - 
Q#140 - ABE50669.1	superfamily	451433	189	306	8.79536e-17	77.4226	cl22861	LamG superfamily	 - 	 - 
Q#140 - ABE50669.1	superfamily	227622	22	268	1.47633e-13	73.3741	cl34978	COG5306 superfamily	NC	 - 
Q#141 - QQS05379.1	superfamily	444982	19	219	2.1311e-25	98.4739	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#142 - ACX73814.1	superfamily	444982	1	210	3.00227e-44	147.394	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#143 - QJR34845.1	superfamily	444982	23	242	1.56292e-27	104.637	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#144 - BAH38987.1	superfamily	444982	10	229	5.59386e-31	113.497	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#145 - AMW06740.1	superfamily	444982	12	231	7.83216e-28	105.407	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#146 - ABF92363.1	superfamily	444982	11	215	7.72333e-39	133.527	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#147 - UEO03725.1	superfamily	444982	11	215	7.72333e-39	133.527	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#148 - AFE10515.1	superfamily	444982	4	215	5.10571e-41	138.92	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#149 - ADO70054.1	superfamily	444982	4	215	7.43154e-41	138.535	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#150 - AUX23472.1	superfamily	444982	4	222	1.01261e-40	138.92	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#151 - ACL63649.1	superfamily	223881	35	243	8.71084e-36	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#152 - ABF92421.1	superfamily	223881	19	217	2.20046e-33	120.11	cl42820	TolQ superfamily	 - 	 - 
Q#153 - UEO04809.1	superfamily	223881	19	217	2.20046e-33	120.11	cl42820	TolQ superfamily	 - 	 - 
Q#154 - AFE08686.1	superfamily	223881	19	223	9.34444e-33	118.569	cl42820	TolQ superfamily	 - 	 - 
Q#155 - AUX24210.1	superfamily	223881	15	224	4.38343e-34	121.651	cl42820	TolQ superfamily	 - 	 - 
Q#156 - QJR34785.1	superfamily	223881	8	216	1.41567e-37	130.895	cl42820	TolQ superfamily	 - 	 - 
Q#157 - BAH39052.1	superfamily	223881	12	214	3.29594e-36	127.043	cl42820	TolQ superfamily	 - 	 - 
Q#158 - AFL86415.1	superfamily	444982	33	244	3.08227e-50	163.573	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#159 - ACO31817.1	superfamily	444982	28	240	3.7955e-49	160.491	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#160 - QOY88067.1	superfamily	444982	28	232	3.44408e-49	160.491	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#161 - QUV79767.1	superfamily	444982	2	204	1.12679e-44	147.779	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#162 - QOY89541.1	superfamily	223881	1	128	3.5687e-14	66.1818	cl42820	TolQ superfamily	N	 - 
Q#163 - AKL98121.1	superfamily	223881	4	207	3.70258e-38	130.895	cl42820	TolQ superfamily	 - 	 - 
Q#164 - AAC07592.1	superfamily	444982	5	139	2.86651e-32	111.412	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#165 - ADO46046.1	superfamily	444982	2	136	3.41231e-40	131.442	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#166 - AHE95642.1	superfamily	444982	2	121	3.59452e-36	121.042	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#167 - ABC78648.1	superfamily	444982	2	137	3.02864e-41	134.138	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#168 - SLM48220.1	superfamily	444982	2	137	4.93295e-42	136.064	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#169 - ALA57346.1	superfamily	444982	2	137	7.90827e-40	130.287	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#170 - ADD67695.1	superfamily	444982	4	133	6.04269e-35	117.96	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#171 - AOO66396.1	superfamily	444982	2	125	1.13236e-29	104.478	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#172 - ADG93510.1	superfamily	444982	4	136	1.05979e-32	112.182	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#173 - ADN08701.1	superfamily	444982	12	136	2.40412e-41	134.524	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#174 - AKF25943.1	superfamily	444982	1	133	6.69627e-30	105.249	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#175 - AFV42666.1	superfamily	444982	1	132	4.35073e-41	133.753	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#176 - CAL35725.1	superfamily	444982	2	139	9.08666e-69	203.474	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#177 - AFV42557.1	superfamily	444982	8	144	2.57487e-49	154.554	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#178 - ALF47140.1	superfamily	444982	2	137	2.74245e-54	166.88	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#179 - CAE10490.1	superfamily	444982	2	139	7.43377e-70	206.556	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#180 - AOO66288.1	superfamily	444982	4	137	1.14189e-43	140.302	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#181 - QBZ83654.1	superfamily	444982	25	160	3.14806e-45	145.309	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#182 - CAE09990.1	superfamily	444982	3	139	2.11809e-37	124.123	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#183 - AOO66426.1	superfamily	223881	54	147	5.13729e-32	113.176	cl42820	TolQ superfamily	N	 - 
Q#184 - AHZ86092.1	superfamily	444982	6	195	4.15211e-38	130.831	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#185 - EKT87439.2	superfamily	223881	16	203	1.58319e-29	108.554	cl42820	TolQ superfamily	 - 	 - 
Q#186 - AAS72242.1	superfamily	223881	16	203	2.89916e-31	113.176	cl42820	TolQ superfamily	 - 	 - 
Q#187 - ABZ99622.1	superfamily	223881	44	230	2.24806e-21	88.5234	cl42820	TolQ superfamily	 - 	 - 
Q#188 - ABZ99085.1	superfamily	223881	13	198	1.37498e-21	87.753	cl42820	TolQ superfamily	 - 	 - 
Q#189 - CAL34280.1	superfamily	223881	1	183	8.99728e-37	126.658	cl42820	TolQ superfamily	 - 	 - 
Q#190 - ALF47162.1	superfamily	223881	14	187	2.50236e-25	97.383	cl42820	TolQ superfamily	 - 	 - 
Q#191 - AOO64467.1	superfamily	223881	15	196	9.66748e-33	116.643	cl42820	TolQ superfamily	 - 	 - 
Q#192 - CAE09655.1	superfamily	223881	82	188	2.39336e-29	107.783	cl42820	TolQ superfamily	N	 - 
Q#193 - AFV42343.1	superfamily	223881	1	187	5.08429e-41	137.829	cl42820	TolQ superfamily	 - 	 - 
Q#194 - AKF24510.1	superfamily	223881	14	190	2.58829e-31	112.791	cl42820	TolQ superfamily	 - 	 - 
Q#195 - ADG93991.1	superfamily	223881	89	184	5.44877e-26	98.9238	cl42820	TolQ superfamily	N	 - 
Q#195 - ADG93991.1	superfamily	444982	5	168	1.24273e-19	82.2955	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#196 - ADN08827.1	superfamily	223881	95	188	1.77341e-20	84.6714	cl42820	TolQ superfamily	N	 - 
Q#196 - ADN08827.1	superfamily	444982	4	161	2.28278e-15	70.7395	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#197 - ACM93623.1	superfamily	223881	84	172	5.24832e-27	101.235	cl42820	TolQ superfamily	N	 - 
Q#198 - QQS07012.1	superfamily	444982	93	194	6.37533e-28	102.186	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#199 - QQS07007.1	superfamily	444982	93	194	3.60385e-28	102.571	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#200 - QQS07765.1	superfamily	223881	42	172	7.75982e-28	103.931	cl42820	TolQ superfamily	N	 - 
Q#201 - ABF90492.1	superfamily	223881	25	209	4.09511e-36	127.043	cl42820	TolQ superfamily	 - 	 - 
Q#202 - UEO05991.1	superfamily	223881	25	209	4.09511e-36	127.043	cl42820	TolQ superfamily	 - 	 - 
Q#203 - ABF85904.1	superfamily	223881	25	222	2.27702e-38	132.436	cl42820	TolQ superfamily	 - 	 - 
Q#204 - UEO04322.1	superfamily	223881	25	222	2.27702e-38	132.436	cl42820	TolQ superfamily	 - 	 - 
