Double-checking the MotB sequences / IDs in the file:  					motB_filtered.fasta										
															
"Notes for fixing on the right. The ones with the biggest issues are at the bottom, these are probably the cases where the MotA neighbor was not actually a MotB homolog, e.g. sometimes there is an insertion or switching from coding on + strand to - strand. "															
															
															
															
															
		names from: motB_filtered.fasta	MotA IDs from: motB_filtered.fasta		MotB IDs from: motB_filtered.fasta			These are hits in Nick's Excel file of gene neighbors to the MotA/TolQ/ExbB homologs; this contains clear MotB/TolR/ExbD homologs for most proteins (exceptions at the bottom)							
10	11	"AAR33363_AAR33362_biopolymer transport membrane protein, TolR-related protein_Geobacter sulfurreducens PCA (d-proteobacteria)"	AAR33363	"AAR33362_biopolymer transport membrane protein, TolR-related protein_Geobacter sulfurreducens PCA (d-proteobacteria)"	AAR33362	637	1	AAR33362	AAR33362.1	"biopolymer transport membrane protein, TolR-related protein"		y			
11	12	AAR36419_AAR36420_flagellar basal body stator protein MotB_Geobacter sulfurreducens PCA (d-proteobacteria)	AAR36419	AAR36420_flagellar basal body stator protein MotB_Geobacter sulfurreducens PCA (d-proteobacteria)	AAR36420	875	1	AAR36420	AAR36420.1	flagellar basal body stator protein MotB		y			
12	13	ABA03969_ABA03970_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA03969	ABA03970_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA03970	574	1	ABA03970	ABA03970.1	outer membrane transport energization protein ExbD		y			
13	14	ABA04498_ABA04499_OmpA/MotB_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA04498	ABA04499_OmpA/MotB_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA04499	1031	1	ABA04499	ABA04499.1	OmpA/MotB		y			
14	15	ABA04528_ABA04529_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA04528	ABA04529_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA04529	583	1	ABA04529	ABA04529.1	outer membrane transport energization protein ExbD		y			
15	16	ABA05299_ABA05298_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05299	ABA05298_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05298	573	1	ABA05298	ABA05298.1	outer membrane transport energization protein ExbD		y			
16	17	ABA05559_ABA05560_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05559	ABA05560_outer membrane transport energization protein ExbD_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05560	582	1	ABA05560	ABA05560.1	outer membrane transport energization protein ExbD		y			
17	18	ABA05973_ABA05972_Cell division and transport-associated protein TolR_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05973	ABA05972_Cell division and transport-associated protein TolR_Nitrobacter winogradskyi Nb-255 (a-proteobacteria)	ABA05972	594	1	ABA05972	ABA05972.1	Cell division and transport-associated protein TolR		y			
18	19	ABC76751_ABC76752_tolR protein_Syntrophus aciditrophicus SB (d-proteobacteria)	ABC76751	ABC76752_tolR protein_Syntrophus aciditrophicus SB (d-proteobacteria)	ABC76752	650	1	ABC76752	ABC76752.1	tolR protein		y			
19	21	"ABF85904_ABF91474_transport energizing protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF85904	"ABF91474_transport energizing protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF91474	803	1	ABF91474	ABF91474.1	"transport energizing protein, ExbD/TolR family"		y			
20	22	ABF87376_ABF88211_conserved hypothetical protein_Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF87376	ABF88211_conserved hypothetical protein_Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF88211	182	1	ABF88211	ABF88211.1	conserved hypothetical protein		y			
21	23	"ABF90492_ABF89902_transport energizing protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF90492	"ABF89902_transport energizing protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF89902	801	1	ABF89902	ABF89902.1	"transport energizing protein, ExbD/TolR family"		y			
22	24	"ABF90777_ABF88330_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF90777	"ABF88330_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF88330	173	1	ABF88330	ABF88330.1	"biopolymer transport protein, ExbD/TolR family"		y			
23	25	"ABF91342_ABF88650_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF91342	"ABF88650_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF88650	814	1	ABF88650	ABF88650.1	"biopolymer transport protein, ExbD/TolR family"		y			
24	26	ABF91581_ABF92022_transport energizing protein TolR_Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF91581	ABF92022_transport energizing protein TolR_Myxococcus xanthus DK 1622 (d-proteobacteria)	ABF92022	630	1	ABF92022	ABF92022.1	transport energizing protein TolR		y			
25	27	"ABF92363_ABF91353_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF92363	"ABF91353_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF91353	746	1	ABF91353	ABF91353.1	"biopolymer transport protein, ExbD/TolR family"		y			
26	28	"ABF92421_ABF87962_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF92421	"ABF87962_biopolymer transport protein, ExbD/TolR family_Myxococcus xanthus DK 1622 (d-proteobacteria)"	ABF87962	752	1	ABF87962	ABF87962.1	"biopolymer transport protein, ExbD/TolR family"		y			
27	29	ABG59284_ABG59283_outer membrane transport energization protein ExbD_Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)	ABG59284	ABG59283_outer membrane transport energization protein ExbD_Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)	ABG59283	406	1	ABG59283	ABG59283.1	outer membrane transport energization protein ExbD		y			
28	30	ABG60812_ABG60813_outer membrane transport energization protein ExbD_Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)	ABG60812	ABG60813_outer membrane transport energization protein ExbD_Cytophaga hutchinsonii ATCC 33406 (CFB group bacteria)	ABG60813	398	1	ABG60813	ABG60813.1	outer membrane transport energization protein ExbD		y			
29	31	ABL64659_ABL64660_outer membrane transport energization protein ExbD_Chlorobium phaeobacteroides DSM 266 (green sulfur bacteria)	ABL64659	ABL64660_outer membrane transport energization protein ExbD_Chlorobium phaeobacteroides DSM 266 (green sulfur bacteria)	ABL64660	408	1	ABL64660	ABL64660.1	outer membrane transport energization protein ExbD		y			
30	32	ABL64907_ABL64908_Cell division and transport-associated protein TolR_Chlorobium phaeobacteroides DSM 266 (green sulfur bacteria)	ABL64907	ABL64908_Cell division and transport-associated protein TolR_Chlorobium phaeobacteroides DSM 266 (green sulfur bacteria)	ABL64908	618	1	ABL64908	ABL64908.1	Cell division and transport-associated protein TolR		y			
31	36	ABY95376_ABY95375_OmpA/MotB domain protein_Thermoanaerobacter pseudethanolicus ATCC 33223 (firmicutes)	ABY95376	ABY95375_OmpA/MotB domain protein_Thermoanaerobacter pseudethanolicus ATCC 33223 (firmicutes)	ABY95375	906	1	ABY95375	ABY95375.1	OmpA/MotB domain protein		y			
32	37	ACB73533_ACB73532_hypothetical protein_Opitutus terrae PB90-1 (verrucomicrobia)	ACB73533	ACB73532_hypothetical protein_Opitutus terrae PB90-1 (verrucomicrobia)	ACB73532	368	1	ACB73532	ACB73532.1	hypothetical protein		y			
33	38	ACB73691_ACB73690_OmpA/MotB domain protein_Opitutus terrae PB90-1 (verrucomicrobia)	ACB73691	ACB73690_OmpA/MotB domain protein_Opitutus terrae PB90-1 (verrucomicrobia)	ACB73690	1207	1	ACB73690	ACB73690.1	OmpA/MotB domain protein		y			
34	39	ACB75629_ACB75628_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB75629	ACB75628_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB75628	334	1	ACB75628	ACB75628.1	Biopolymer transport protein ExbD/TolR		y			
35	40	ACB76604_ACB76603_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB76604	ACB76603_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB76603	725	1	ACB76603	ACB76603.1	Biopolymer transport protein ExbD/TolR		y			
36	41	ACB77180_ACB77179_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB77180	ACB77179_Biopolymer transport protein ExbD/TolR_Opitutus terrae PB90-1 (verrucomicrobia)	ACB77179	266	1	ACB77179	ACB77179.1	Biopolymer transport protein ExbD/TolR		y			
37	42	ACD89825_ACD89826_protein TolR_Chlorobium limicola DSM 245 (green sulfur bacteria)	ACD89825	ACD89826_protein TolR_Chlorobium limicola DSM 245 (green sulfur bacteria)	ACD89826	619	1	ACD89826	ACD89826.1	protein TolR		y			
38	43	ACD90995_ACD90994_conserved hypothetical protein_Chlorobium limicola DSM 245 (green sulfur bacteria)	ACD90995	ACD90994_conserved hypothetical protein_Chlorobium limicola DSM 245 (green sulfur bacteria)	ACD90994	409	1	ACD90994	ACD90994.1	conserved hypothetical protein		y			
39	44	ACF11057_ACF11058_protein TolR_Chlorobaculum parvum NCIB 8327 (green sulfur bacteria)	ACF11057	ACF11058_protein TolR_Chlorobaculum parvum NCIB 8327 (green sulfur bacteria)	ACF11058	616	1	ACF11058	ACF11058.1	protein TolR		y			
40	45	ACF11913_ACF11912_Biopolymer transport protein ExbD/TolR_Chlorobaculum parvum NCIB 8327 (green sulfur bacteria)	ACF11913	ACF11912_Biopolymer transport protein ExbD/TolR_Chlorobaculum parvum NCIB 8327 (green sulfur bacteria)	ACF11912	411	1	ACF11912	ACF11912.1	Biopolymer transport protein ExbD/TolR		y			
41	46	ACF14374_ACF14375_Biopolymer transport protein ExbD/TolR_Chloroherpeton thalassium ATCC 35110 (green sulfur bacteria)	ACF14374	ACF14375_Biopolymer transport protein ExbD/TolR_Chloroherpeton thalassium ATCC 35110 (green sulfur bacteria)	ACF14375	413	1	ACF14375	ACF14375.1	Biopolymer transport protein ExbD/TolR		y			
42	47	ACF14782_ACF14781_conserved hypothetical protein_Chloroherpeton thalassium ATCC 35110 (green sulfur bacteria)	ACF14782	ACF14781_conserved hypothetical protein_Chloroherpeton thalassium ATCC 35110 (green sulfur bacteria)	ACF14781	412	1	ACF14781	ACF14781.1	conserved hypothetical protein		y			
43	48	ACF43024_ACF43025_conserved hypothetical protein_Pelodictyon phaeoclathratiforme BU-1 (green sulfur bacteria)	ACF43024	ACF43025_conserved hypothetical protein_Pelodictyon phaeoclathratiforme BU-1 (green sulfur bacteria)	ACF43025	410	1	ACF43025	ACF43025.1	conserved hypothetical protein		y			
44	49	ACF44367_ACF44366_Biopolymer transport protein ExbD/TolR_Pelodictyon phaeoclathratiforme BU-1 (green sulfur bacteria)	ACF44367	ACF44366_Biopolymer transport protein ExbD/TolR_Pelodictyon phaeoclathratiforme BU-1 (green sulfur bacteria)	ACF44366	617	1	ACF44366	ACF44366.1	Biopolymer transport protein ExbD/TolR		y			
45	50	ACI21187_ACI20276_chemotaxis protein MotB_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI21187	ACI20276_chemotaxis protein MotB_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI20276	878	1	ACI20276	ACI20276.1	chemotaxis protein MotB		y			
46	51	ACI21445_ACI21439_chemotaxis protein MotB_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI21445	ACI21439_chemotaxis protein MotB_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI21439	1194	1	ACI21439	ACI21439.1	chemotaxis protein MotB		y			
47	52	ACI22061_ACI21831_TolR protein_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI22061	ACI21831_TolR protein_Thermodesulfovibrio yellowstonii DSM 11347 (bacteria)	ACI21831	649	1	ACI21831	ACI21831.1	TolR protein		y			
48	53	ACL22206_ACL22207_OmpA/MotB domain protein_Desulfitobacterium hafniense DCB-2 (firmicutes)	ACL22206	ACL22207_OmpA/MotB domain protein_Desulfitobacterium hafniense DCB-2 (firmicutes)	ACL22207	883	1	ACL22207	ACL22207.1	OmpA/MotB domain protein		y			
49	54	ACL63649_ACL63648_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL63649	ACL63648_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL63648	751	1	ACL63648	ACL63648.1	Biopolymer transport protein ExbD/TolR		y			
50	55	ACL64052_ACL64051_protein TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL64052	ACL64051_protein TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL64051	634	1	ACL64051	ACL64051.1	protein TolR		y			
51	56	ACL64950_ACL64949_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL64950	ACL64949_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL64949	808	1	ACL64949	ACL64949.1	Biopolymer transport protein ExbD/TolR		y			
52	57	ACL65905_ACL65906_OmpA/MotB domain protein_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL65905	ACL65906_OmpA/MotB domain protein_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL65906	867	1	ACL65906	ACL65906.1	OmpA/MotB domain protein		y			
53	58	ACL67494_ACL67493_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL67494	ACL67493_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL67493	818	1	ACL67493	ACL67493.1	Biopolymer transport protein ExbD/TolR		y			
54	59	ACL67782_ACL67781_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL67782	ACL67781_Biopolymer transport protein ExbD/TolR_Anaeromyxobacter dehalogenans 2CP-1 (d-proteobacteria)	ACL67781	177	1	ACL67781	ACL67781.1	Biopolymer transport protein ExbD/TolR		y			
55	60	ACL94252_AHI88541_hypothetical protein_Caulobacter vibrioides NA1000 (a-proteobacteria)	ACL94252	AHI88541_hypothetical protein_Caulobacter vibrioides NA1000 (a-proteobacteria)	AHI88541	1127	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
56	61	ACL95886_ACL95885_TonB accessory protein exbD_Caulobacter vibrioides NA1000 (a-proteobacteria)	ACL95886	ACL95885_TonB accessory protein exbD_Caulobacter vibrioides NA1000 (a-proteobacteria)	ACL95885	586	1	ACL95885	ACL95885.1	TonB accessory protein exbD		y			
57	62	ACL96805_ACL96804_ExbD/TolR family protein_Caulobacter vibrioides NA1000 (a-proteobacteria)	ACL96805	ACL96804_ExbD/TolR family protein_Caulobacter vibrioides NA1000 (a-proteobacteria)	ACL96804	601	1	ACL96804	ACL96804.1	ExbD/TolR family protein		y			
58	63	"ACO31817_ACO32642_transport energizing protein, ExbD/TolR family_Acidobacterium capsulatum ATCC 51196 (bacteria)"	ACO31817	"ACO32642_transport energizing protein, ExbD/TolR family_Acidobacterium capsulatum ATCC 51196 (bacteria)"	ACO32642	759	1	ACO32642	ACO32642.1	"transport energizing protein, ExbD/TolR family"		y			
59	64	"ACO32834_ACO31962_transport energizing protein, ExbD/TolR family_Acidobacterium capsulatum ATCC 51196 (bacteria)"	ACO32834	"ACO31962_transport energizing protein, ExbD/TolR family_Acidobacterium capsulatum ATCC 51196 (bacteria)"	ACO31962	642	1	ACO31962	ACO31962.1	"transport energizing protein, ExbD/TolR family"		y			
60	65	ACO33277_ACO31774_chemotaxis protein MotB_Acidobacterium capsulatum ATCC 51196 (bacteria)	ACO33277	ACO31774_chemotaxis protein MotB_Acidobacterium capsulatum ATCC 51196 (bacteria)	ACO31774	872	1	ACO31774	ACO31774.1	chemotaxis protein MotB		y			
61	66	ACO33337_ACO34085_chemotaxis protein MotB_Acidobacterium capsulatum ATCC 51196 (bacteria)	ACO33337	ACO34085_chemotaxis protein MotB_Acidobacterium capsulatum ATCC 51196 (bacteria)	ACO34085	1197	1	ACO34085	ACO34085.1	chemotaxis protein MotB		y			
62	67	ACV38437_ACV38438_Biopolymer transport protein ExbD/TolR_Leptotrichia buccalis C-1013-b (fusobacteria)	ACV38437	ACV38438_Biopolymer transport protein ExbD/TolR_Leptotrichia buccalis C-1013-b (fusobacteria)	ACV38438	195	1	ACV38438	ACV38438.1	Biopolymer transport protein ExbD/TolR		y			
63	68	ACX73656_ACX73655_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73656	ACX73655_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73655	150	1	ACX73655	ACX73655.1	Biopolymer transport protein ExbD/TolR		y			
64	70	ACX73814_ACX73813_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73814	ACX73813_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX73813	742	1	ACX73813	ACX73813.1	Biopolymer transport protein ExbD/TolR		y			
65	71	ACX74512_ACX74511_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX74512	ACX74511_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX74511	149	1	ACX74511	ACX74511.1	Biopolymer transport protein ExbD/TolR		y			
66	73	ACX75484_ACX75485_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX75484	ACX75485_Biopolymer transport protein ExbD/TolR_Fibrobacter succinogenes subsp. succinogenes S85 (bacteria)	ACX75485	172	1	ACX75485	ACX75485.1	Biopolymer transport protein ExbD/TolR		y			
67	74	ADB15652_ADB15651_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB15652	ADB15651_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB15651	297	1	ADB15651	ADB15651.1	Biopolymer transport protein ExbD/TolR		y			
68	75	ADB16663_ADB16661_hypothetical protein_Pirellula staleyi DSM 6068 (bacteria)	ADB16663	ADB16661_hypothetical protein_Pirellula staleyi DSM 6068 (bacteria)	ADB16661	301	1	NA	NA	NA					hypothetical protein; please try to check if it’s a MotB/TolR/ExbD homolog with web BLAST or Conserved Domain
69	76	ADB17134_ADB17135_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17134	ADB17135_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17135	275	1	ADB17135	ADB17135.1	Biopolymer transport protein ExbD/TolR		y			
70	77	ADB17385_ADB17384_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17385	ADB17384_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17384	1275	1	ADB17384	ADB17384.1	Biopolymer transport protein ExbD/TolR		y			
71	78	ADB17458_ADB17457_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17458	ADB17457_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17457	389	1	ADB17457	ADB17457.1	Biopolymer transport protein ExbD/TolR		y			
72	79	ADB17547_ADB17548_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17547	ADB17548_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB17548	281	1	ADB17548	ADB17548.1	Biopolymer transport protein ExbD/TolR		y			
73	80	ADB18835_ADB18836_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB18835	ADB18836_Biopolymer transport protein ExbD/TolR_Pirellula staleyi DSM 6068 (bacteria)	ADB18836	287	1	ADB18836	ADB18836.1	Biopolymer transport protein ExbD/TolR		y			
74	81	ADB18997_ADB18998_OmpA/MotB domain protein_Pirellula staleyi DSM 6068 (bacteria)	ADB18997	ADB18998_OmpA/MotB domain protein_Pirellula staleyi DSM 6068 (bacteria)	ADB18998	909	1	ADB18998	ADB18998.1	OmpA/MotB domain protein		y			
75	82	ADC89509_ADC89508_Biopolymer transport protein ExbD/TolR_Thermocrinis albus DSM 14484 (aquificales)	ADC89509	ADC89508_Biopolymer transport protein ExbD/TolR_Thermocrinis albus DSM 14484 (aquificales)	ADC89508	203	1	ADC89508	ADC89508.1	Biopolymer transport protein ExbD/TolR		y			
76	83	ADC89566_ADC89567_OmpA/MotB domain protein_Thermocrinis albus DSM 14484 (aquificales)	ADC89566	ADC89567_OmpA/MotB domain protein_Thermocrinis albus DSM 14484 (aquificales)	ADC89567	865	1	ADC89567	ADC89567.1	OmpA/MotB domain protein		y			
77	84	ADD67090_ADD67091_OmpA/MotB domain protein_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67090	ADD67091_OmpA/MotB domain protein_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67091	967	1	ADD67091	ADD67091.1	OmpA/MotB domain protein		y			
78	85	ADD67609_ADD67608_Biopolymer transport protein ExbD/TolR_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67609	ADD67608_Biopolymer transport protein ExbD/TolR_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67608	379	1	ADD67608	ADD67608.1	Biopolymer transport protein ExbD/TolR		y			
79	87	ADD67874_ADD67875_Biopolymer transport protein ExbD/TolR_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67874	ADD67875_Biopolymer transport protein ExbD/TolR_Denitrovibrio acetiphilus DSM 12809 (bacteria)	ADD67875	245	1	ADD67875	ADD67875.1	Biopolymer transport protein ExbD/TolR		y			
80	91	ADG94140_ADG94139_OmpA/MotB domain protein_Arcobacter nitrofigilis DSM 7299 (e-proteobacteria)	ADG94140	ADG94139_OmpA/MotB domain protein_Arcobacter nitrofigilis DSM 7299 (e-proteobacteria)	ADG94139	964	1	ADG94139	ADG94139.1	OmpA/MotB domain protein		y			
81	92	ADI15492_ADI15491_Biopolymer transport protein ExbD/TolR_Truepera radiovictrix DSM 17093 (bacteria)	ADI15492	ADI15491_Biopolymer transport protein ExbD/TolR_Truepera radiovictrix DSM 17093 (bacteria)	ADI15491	202	1	ADI15491	ADI15491.1	Biopolymer transport protein ExbD/TolR		y			
82	93	ADL00174_ADL00175_protein TolR_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL00174	ADL00175_protein TolR_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL00175	600	1	ADL00175	ADL00175.1	protein TolR		y			
83	94	ADL01024_ADL01025_Biopolymer transport protein ExbD/TolR_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL01024	ADL01025_Biopolymer transport protein ExbD/TolR_Brevundimonas subvibrioides ATCC 15264 (a-proteobacteria)	ADL01025	585	1	ADL01025	ADL01025.1	Biopolymer transport protein ExbD/TolR		y			
