feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	9068	10336	+	VEF78128.1			beta-lactamase			NCTC11427_00010	1269	422	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	10333	11610	+					tilS		NCTC11427_00011	1278		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	10333	11610	+	VEF78129.1			putative MesJ/Ycf62 family protein	tilS		NCTC11427_00011	1278	425	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	11615	12157	+					hgt		NCTC11427_00012	543		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	11615	12157	+	VEF78130.1			hypoxanthine guanine phosphoribosyltransferase	hgt		NCTC11427_00012	543	180	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	12173	14131	+					ftsH		NCTC11427_00013	1959		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	12173	14131	+	VEF78131.1			cell-division protein	ftsH		NCTC11427_00013	1959	652	
gene	tRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	14489	14560	+							NCTC11427_00014	72		
tRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	14489	14560	+				tRNA-Glu			NCTC11427_00014	72		
gene	rRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	14798	16334	+							NCTC11427_00015	1537		
rRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	14798	16334	+				16S ribosomal RNA			NCTC11427_00015	1537		
gene	tRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	16390	16464	+							NCTC11427_00016	75		
tRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	16390	16464	+				tRNA-Ala			NCTC11427_00016	75		
gene	rRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	16588	19488	+							NCTC11427_00017	2901		
rRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	16588	19488	+				23S ribosomal RNA			NCTC11427_00017	2901		
gene	rRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19569	19682	+							NCTC11427_00018	114		
rRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19569	19682	+				5S ribosomal RNA			NCTC11427_00018	114		
gene	tRNA	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19687	19760	+							NCTC11427_00019	74		
tRNA		GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19687	19760	+				tRNA-Asn			NCTC11427_00019	74		
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19969	20205	+							NCTC11427_00020	237		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	19969	20205	+	VEF78132.1			recombination regulator RecX			NCTC11427_00020	237	78	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	20399	21733	+					purA		NCTC11427_00021	1335		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	20399	21733	+	VEF78133.1			adenylosuccinate synthetase	purA		NCTC11427_00021	1335	444	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	21934	22401	+					tadA		NCTC11427_00022	468		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	21934	22401	+	VEF78134.1			cytidine/deoxycytidylate deaminase	tadA		NCTC11427_00022	468	155	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	22590	23033	+					dut		NCTC11427_00024	444		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	22590	23033	+	VEF78135.1			deoxyuridine 5'-triphosphate nucleotidohydrolase	dut		NCTC11427_00024	444	147	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	22984	23574	+							NCTC11427_00025	591		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	22984	23574	+	VEF78136.1			fructose-2,6-bisphosphatase			NCTC11427_00025	591	196	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	23726	24949	+					radA		NCTC11427_00026	1224		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	23726	24949	+	VEF78137.1			DNA repair protein	radA		NCTC11427_00026	1224	407	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	25022	25516	+							NCTC11427_00027	495		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	25022	25516	+	VEF78138.1			carbonic anhydrase			NCTC11427_00027	495	164	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	25730	26698	+					prsA_1		NCTC11427_00028	969		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	25730	26698	+	VEF78139.1			ribose-phosphate pyrophosphokinase	prsA_1		NCTC11427_00028	969	322	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	26818	27255	+					yccU		NCTC11427_00029	438		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	26818	27255	+	VEF78140.1			CoA-binding protein	yccU		NCTC11427_00029	438	145	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	27284	28294	-					yeiH		NCTC11427_00030	1011		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	27284	28294	-	VEF78141.1			membrane protein	yeiH		NCTC11427_00030	1011	336	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	28446	29615	+					aspC1		NCTC11427_00031	1170		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	28446	29615	+	VEF78142.1			aspartate aminotransferase	aspC1		NCTC11427_00031	1170	389	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	29612	30382	+					recO		NCTC11427_00032	771		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	29612	30382	+	VEF78143.1			DNA repair protein RecO	recO		NCTC11427_00032	771	256	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	30379	31371	+					plsX		NCTC11427_00033	993		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	30379	31371	+	VEF78144.1			fatty acid/phospholipid synthesis protein	plsX		NCTC11427_00033	993	330	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	31377	31613	+					acpP_1		NCTC11427_00034	237		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	31377	31613	+	VEF78145.1			acyl carrier protein	acpP_1		NCTC11427_00034	237	78	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32054	32242	+							NCTC11427_00035	189		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32054	32242	+	VEF78146.1			excreted peptide			NCTC11427_00035	189	62	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32260	32427	+							NCTC11427_00036	168		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32260	32427	+	VEF78147.1			Uncharacterised protein			NCTC11427_00036	168	55	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32437	32625	+							NCTC11427_00037	189		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	32437	32625	+	VEF78148.1			Uncharacterised protein			NCTC11427_00037	189	62	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	33060	35213	+					comA		NCTC11427_00038	2154		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	33060	35213	+	VEF78149.1			competence factor transporting ATP-binding protein/permease ComA	comA		NCTC11427_00038	2154	717	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	35226	36575	+					comB		NCTC11427_00039	1350		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	35226	36575	+	VEF78150.1			competence factor transport protein ComB	comB		NCTC11427_00039	1350	449	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	36743	37450	+					purC		NCTC11427_00040	708		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	36743	37450	+	VEF78151.1			phosphoribosylaminoimidazole-succinocarboxamide synthetase	purC		NCTC11427_00040	708	235	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	37507	41232	+					purL		NCTC11427_00041	3726		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	37507	41232	+	VEF78152.1			phosphoribosylformylglycinamidine synthase II (FGAM synthetase)	purL		NCTC11427_00041	3726	1241	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	41245	42687	+					purF		NCTC11427_00042	1443		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	41245	42687	+	VEF78153.1			amidophosphoribosyltransferase	purF		NCTC11427_00042	1443	480	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	42731	43753	+					purM		NCTC11427_00043	1023		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	42731	43753	+	VEF78154.1			phosphoribosylaminoimidazole synthetase	purM		NCTC11427_00043	1023	340	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	43750	44295	+					purN		NCTC11427_00044	546		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	43750	44295	+	VEF78155.1			5'-phosphoribosylglycinamide transformylase 1	purN		NCTC11427_00044	546	181	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	44311	45858	+					purH		NCTC11427_00045	1548		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	44311	45858	+	VEF78156.1			bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		NCTC11427_00045	1548	515	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	45979	47244	+					purD		NCTC11427_00046	1266		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	45979	47244	+	VEF78157.1			phosphoribosylglycinamide synthetase	purD		NCTC11427_00046	1266	421	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	47445	47936	+					purE		NCTC11427_00047	492		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	47445	47936	+	VEF78158.1			phosphoribosylaminoimidazole carboxylase catalytic subunit	purE		NCTC11427_00047	492	163	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	47923	49014	+					purK		NCTC11427_00048	1092		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	47923	49014	+	VEF78159.1			phosphoribosylaminoimidazole carboxylase ATPase subunit	purK		NCTC11427_00048	1092	363	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	49469	51358	+							NCTC11427_00049	1890		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	49469	51358	+	VEF78160.1			AIPR protein			NCTC11427_00049	1890	629	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	51375	52673	+					purB		NCTC11427_00050	1299		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	51375	52673	+	VEF78161.1			adenylosuccinate lyase	purB		NCTC11427_00050	1299	432	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	52731	56486	-					strH_1		NCTC11427_00051	3756		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	52731	56486	-	VEF78162.1			beta-N-acetylhexosaminidase	strH_1		NCTC11427_00051	3756	1251	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	56789	57505	-					frlR		NCTC11427_00052	717		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	56789	57505	-	VEF78163.1			GntR family transcriptional regulator	frlR		NCTC11427_00052	717	238	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	57827	59614	+					bgaC		NCTC11427_00053	1788		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	57827	59614	+	VEF78164.1			beta-galactosidase 3	bgaC		NCTC11427_00053	1788	595	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	59611	60087	+					PTS-EIIB		NCTC11427_00054	477		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	59611	60087	+	VEF78165.1			phosphotransferase system sugar-specific EIIB component	PTS-EIIB		NCTC11427_00054	477	158	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	60114	61019	+					PTS-EIIC		NCTC11427_00055	906		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	60114	61019	+	VEF78166.1			PTS system, IIC component	PTS-EIIC		NCTC11427_00055	906	301	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	61006	61827	+					manZ		NCTC11427_00056	822		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	61006	61827	+	VEF78167.1			PTS system transporter subunit IID	manZ		NCTC11427_00056	822	273	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	61831	62235	+					PTS-EII		NCTC11427_00057	405		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	61831	62235	+	VEF78168.1			phosphotransferase system sugar-specific EII component	PTS-EII		NCTC11427_00057	405	134	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	62340	63506	+					agaS		NCTC11427_00058	1167		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	62340	63506	+	VEF78169.1			tagatose-6-phosphate ketose/aldose isomerase	agaS		NCTC11427_00058	1167	388	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	63517	64512	+					lacD_1		NCTC11427_00059	996		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	63517	64512	+	VEF78170.1			tagatose 1,6-diphosphate aldolase	lacD_1		NCTC11427_00059	996	331	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	64658	65695	+					mro		NCTC11427_00060	1038		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	64658	65695	+	VEF78171.1			aldose 1-epimerase	mro		NCTC11427_00060	1038	345	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	65806	66660	+					catE		NCTC11427_00061	855		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	65806	66660	+	VEF78172.1			glyoxalase family protein	catE		NCTC11427_00061	855	284	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	66974	67546	+							NCTC11427_00062	573		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	66974	67546	+	VEF78173.1			Uncharacterised protein			NCTC11427_00062	573	190	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	67548	68210	+							NCTC11427_00063	663		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	67548	68210	+	VEF78174.1			Uncharacterised protein			NCTC11427_00063	663	220	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	68332	69003	+							NCTC11427_00064	672		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	68332	69003	+	VEF78175.1			Uncharacterised protein			NCTC11427_00064	672	223	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	69006	69662	+							NCTC11427_00065	657		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	69006	69662	+	VEF78176.1			Uncharacterised protein			NCTC11427_00065	657	218	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	69739	70296	+							NCTC11427_00066	558		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	69739	70296	+	VEF78177.1			Protein of uncharacterised function (DUF3592)			NCTC11427_00066	558	185	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	70496	70753	+					csoR		NCTC11427_00067	258		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	70496	70753	+	VEF78178.1			Copper-sensing transcriptional repressor CsoR	csoR		NCTC11427_00067	258	85	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	70975	71271	-					glpE_1		NCTC11427_00068	297		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	70975	71271	-	VEF78179.1			rhodanese-like domain-containing protein	glpE_1		NCTC11427_00068	297	98	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	71621	71926	-					glpE_2		NCTC11427_00069	306		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	71621	71926	-	VEF78180.1			rhodanese family protein	glpE_2		NCTC11427_00069	306	101	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	72101	72664	+					maa		NCTC11427_00070	564		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	72101	72664	+	VEF78181.1			maltose O-acetyltransferase	maa		NCTC11427_00070	564	187	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	72937	74172	+							NCTC11427_00071	1236		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	72937	74172	+	VEF78182.1			clostridium cellulosome enzyme, dockerin type I			NCTC11427_00071	1236	411	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	74600	75316	+					ybhF_1		NCTC11427_00072	717		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	74600	75316	+	VEF78183.1			ABC transporter ATP-binding protein	ybhF_1		NCTC11427_00072	717	238	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	75318	76400	+					ybhR		NCTC11427_00073	1083		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	75318	76400	+	VEF78184.1			ABC transporter	ybhR		NCTC11427_00073	1083	360	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	76440	77063	+					fadR_1		NCTC11427_00074	624		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	76440	77063	+	VEF78185.1			TetR family transcriptional regulator	fadR_1		NCTC11427_00074	624	207	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	77348	78112	+					deoD_1		NCTC11427_00075	765		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	77348	78112	+	VEF78186.1			phosphorylase, Pnp/Udp family protein	deoD_1		NCTC11427_00075	765	254	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	78146	79525	+					trk		NCTC11427_00076	1380		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	78146	79525	+	VEF78187.1			potassium uptake protein	trk		NCTC11427_00076	1380	459	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	79539	80204	+					ktrA		NCTC11427_00077	666		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	79539	80204	+	VEF78188.1			Trk family potassium uptake protein	ktrA		NCTC11427_00077	666	221	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	80359	82446	+							NCTC11427_00078	2088		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	80359	82446	+	VEF78189.1			LPXTG cell wall surface protein			NCTC11427_00078	2088	695	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	82527	83225	+					rr08		NCTC11427_00079	699		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	82527	83225	+	VEF78190.1			DNA-binding response regulator	rr08		NCTC11427_00079	699	232	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	83222	84256	+					hk08		NCTC11427_00080	1035		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	83222	84256	+	VEF78191.1			histidine protein kinase	hk08		NCTC11427_00080	1035	344	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	84459	85070	+					rpsD		NCTC11427_00081	612		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	84459	85070	+	VEF78192.1			30S ribosomal protein S4	rpsD		NCTC11427_00081	612	203	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	85894	86076	+							NCTC11427_00082	183		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	85894	86076	+	VEF78193.1			Uncharacterised protein			NCTC11427_00082	183	60	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86152	86367	+							NCTC11427_00083	216		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86152	86367	+	VEF78194.1			Uncharacterised protein			NCTC11427_00083	216	71	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86419	86667	+							NCTC11427_00084	249		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86419	86667	+	VEF78195.1			Uncharacterised protein			NCTC11427_00084	249	82	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86781	87068	+							NCTC11427_00085	288		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	86781	87068	+	VEF78196.1			Uncharacterised protein			NCTC11427_00085	288	95	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	87069	87260	+							NCTC11427_00086	192		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	87069	87260	+	VEF78197.1			Uncharacterised protein			NCTC11427_00086	192	63	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	87327	87539	+							NCTC11427_00087	213		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	87327	87539	+	VEF78198.1			Uncharacterised protein			NCTC11427_00087	213	70	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	88046	88942	-							NCTC11427_00088	897		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	88046	88942	-	VEF78199.1			Uncharacterised protein			NCTC11427_00088	897	298	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	89504	89653	-					rpmGA		NCTC11427_00089	150		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	89504	89653	-	VEF78200.1			LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent	rpmGA		NCTC11427_00089	150	49	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	89669	89851	-					rpmF		NCTC11427_00090	183		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	89669	89851	-	VEF78201.1			50S ribosomal protein L32	rpmF		NCTC11427_00090	183	60	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	90082	91785	+					ilvD		NCTC11427_00091	1704		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	90082	91785	+	VEF78202.1			dihydroxy-acid dehydratase	ilvD		NCTC11427_00091	1704	567	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	91846	92187	-							NCTC11427_00092	342		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	91846	92187	-	VEF78203.1			domain of uncharacterised function protein			NCTC11427_00092	342	113	
gene	protein_coding	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	92355	93635	+					hisS		NCTC11427_00093	1281		
CDS	with_protein	GCA_900637025.1	Primary Assembly	chromosome		LR134336.1	92355	93635	+	VEF78204.1			histidyl-tRNA synthetase	hisS		NCTC11427_00093	1281	426	
